target,crime_type,samples,crime_percent,from_crime_percent_found,from_crime_percent_payed
lr,all,15,0,0,0
lr,no_tax,18,0.666667,0,0.5
lr,no_crime,18,0.666667,0,0.5
lr,no_self_employ,18,0.666667,0,0.5
lr,all,18,0.666667,0,0.5
lr,no_tax,21,0.666667,0,0.5
lr,no_crime,21,0.666667,0,0.5
lr,no_self_employ,21,0.666667,0,0.5
lr,all,21,0.666667,0,0.5
lr,all_model_summary,21,0.466667,0,0.3
knnc,no_tax,9,1,0,0
knnc,no_crime,9,1,0,0
knnc,no_self_employ,9,1,0,0
knnc,all,9,1,0,0
knnc,no_tax,12,0.333333,0,0.5
knnc,no_crime,12,0.333333,0,0.5
knnc,no_self_employ,12,0.333333,0,0.5
knnc,all,12,0.333333,0,0.5
knnc,no_tax,15,0.666667,0,0.5
knnc,no_crime,15,0.666667,0,0.5
knnc,no_self_employ,15,0.666667,0,0.5
knnc,all,15,0.666667,0,0.5
knnc,no_tax,18,0.666667,0,0.5
knnc,no_crime,18,0.666667,0,0.5
knnc,no_self_employ,18,0.666667,0,0.5
knnc,all,18,0.666667,0,0.5
knnc,no_tax,21,0.666667,0,0.5
knnc,no_crime,21,0.666667,0,0.5
knnc,no_self_employ,21,0.666667,0,0.5
knnc,all,21,0.666667,0,0.5
knnc,all_model_summary,21,0.666667,0,0.4
dtc,no_tax,9,0.666667,0,0
dtc,no_crime,9,1,0,0
dtc,no_self_employ,9,1,0,0
dtc,all,9,1,0,0
dtc,no_tax,12,0.333333,0,0.5
dtc,no_crime,12,0.333333,0,0.5
dtc,no_self_employ,12,0.333333,0,0.5
dtc,all,12,0.333333,0,0.5
dtc,no_tax,15,0.666667,0,0.5
dtc,no_crime,15,0.666667,0,0.5
dtc,no_self_employ,15,0.333333,0.5,0.5
dtc,all,15,0.666667,0,0.5
dtc,no_tax,18,0.333333,0.5,0.5
dtc,no_crime,18,0.333333,0,0.25
dtc,no_self_employ,18,0.666667,0,0.5
dtc,all,18,0.333333,0.5,0.5
dtc,no_tax,21,0.666667,0,0.5
dtc,no_crime,21,0.333333,0.5,0.5
dtc,no_self_employ,21,0.666667,0,0.5
dtc,all,21,0.666667,0,0.5
dtc,all_model_summary,21,0.6,0.1,0.4
RFC,no_tax,9,1,0,0
RFC,no_crime,9,1,0,0
RFC,no_self_employ,9,1,0,0
RFC,all,9,1,0,0
RFC,no_tax,12,0.333333,0,0.5
RFC,no_crime,12,0.333333,0,0.5
RFC,no_self_employ,12,0.333333,0,0.5
RFC,all,12,0.333333,0,0.5
RFC,no_tax,15,0.333333,0,0.25
RFC,no_crime,15,0.666667,0,0.5
RFC,no_self_employ,15,0,0,0
RFC,all,15,0.666667,0,0.5
RFC,no_tax,18,0.333333,0,0.25
RFC,no_crime,18,0.333333,0.5,0.5
RFC,no_self_employ,18,0.666667,0,0.5
RFC,all,18,0.333333,0.5,0.5
RFC,no_tax,21,0.666667,0,0.5
RFC,no_crime,21,0.666667,0,0.5
RFC,no_self_employ,21,0.666667,0,0.5
RFC,all,21,0.666667,0,0.5
RFC,all_model_summary,21,0.6,0.1,0.4
lr,no_tax,9,0.666667,0,0
lr,no_crime,9,0.666667,0,0
lr,no_self_employ,9,0.666667,0,0
lr,all,9,0.666667,0,0
lr,no_tax,12,0.333333,0,0.5
lr,no_crime,12,0.333333,0,0.5
lr,no_self_employ,12,0.333333,0,0.5
lr,all,12,0.333333,0,0.5
lr,no_tax,15,0,0,0
lr,no_crime,15,0,0,0
lr,no_self_employ,15,0,0,0
lr,all,15,0,0,0
lr,no_tax,18,0.666667,0,0.5
lr,no_crime,18,0.666667,0,0.5
lr,no_self_employ,18,0.666667,0,0.5
lr,all,18,0.666667,0,0.5
lr,no_tax,21,0.666667,0,0.5
lr,no_crime,21,0.666667,0,0.5
lr,no_self_employ,21,0.666667,0,0.5
lr,all,21,0.666667,0,0.5
lr,all_model_summary,21,0.466667,0,0.3
knnc,no_tax,9,1,0,0
knnc,no_crime,9,1,0,0
knnc,no_self_employ,9,1,0,0
knnc,all,9,1,0,0
knnc,no_tax,12,0.333333,0,0.5
knnc,no_crime,12,0.333333,0,0.5
knnc,no_self_employ,12,0.333333,0,0.5
knnc,all,12,0.333333,0,0.5
knnc,no_tax,15,0.666667,0,0.5
knnc,no_crime,15,0.666667,0,0.5
knnc,no_self_employ,15,0.666667,0,0.5
knnc,all,15,0.666667,0,0.5
knnc,no_tax,18,0.666667,0,0.5
knnc,no_crime,18,0.666667,0,0.5
knnc,no_self_employ,18,0.666667,0,0.5
knnc,all,18,0.666667,0,0.5
knnc,no_tax,21,0.666667,0,0.5
knnc,no_crime,21,0.666667,0,0.5
knnc,no_self_employ,21,0.666667,0,0.5
knnc,all,21,0.666667,0,0.5
knnc,all_model_summary,21,0.666667,0,0.4
dtc,no_tax,9,0.333333,0,0
dtc,no_crime,9,1,0,0
dtc,no_self_employ,9,1,0,0
dtc,all,9,1,0,0
dtc,no_tax,12,0.333333,0,0.5
dtc,no_crime,12,0.333333,0,0.5
dtc,no_self_employ,12,0.333333,0,0.5
dtc,all,12,0.333333,0,0.5
dtc,no_tax,15,0.666667,0,0.5
dtc,no_crime,15,0.666667,0,0.5
dtc,no_self_employ,15,0.333333,0.5,0.5
dtc,all,15,0.666667,0,0.5
dtc,no_tax,18,0.333333,0.5,0.5
dtc,no_crime,18,0.333333,0.5,0.5
dtc,no_self_employ,18,0.666667,0,0.5
dtc,all,18,0.333333,0.5,0.5
dtc,no_tax,21,0.333333,0.5,0.5
dtc,no_crime,21,0.333333,0.5,0.5
dtc,no_self_employ,21,0.666667,0,0.5
dtc,all,21,0.333333,0.5,0.5
dtc,all_model_summary,21,0.533333,0.2,0.4
RFC,no_tax,9,1,0,0
RFC,no_crime,9,1,0,0
RFC,no_self_employ,9,1,0,0
RFC,all,9,1,0,0
RFC,no_tax,12,0.333333,0,0.5
RFC,no_crime,12,0.333333,0,0.5
RFC,no_self_employ,12,0.333333,0,0.5
RFC,all,12,0.333333,0,0.5
RFC,no_tax,15,0.666667,0.666667,0.75
RFC,no_crime,15,0.666667,0,0.5
RFC,no_self_employ,15,0.333333,0.5,0.5
RFC,all,15,0.333333,0,0.25
RFC,no_tax,18,0.666667,0.666667,0.75
RFC,no_crime,18,0.666667,0.666667,0.75
RFC,no_self_employ,18,0.666667,0,0.5
RFC,all,18,0.333333,0.5,0.5
RFC,no_tax,21,0.666667,0,0.5
RFC,no_crime,21,0.666667,0,0.5
RFC,no_self_employ,21,0.666667,0,0.5
RFC,all,21,0.666667,0,0.5
RFC,all_model_summary,21,0.533333,0.1,0.35
lr,no_tax,9,0.666667,0,0
lr,no_crime,9,0.666667,0,0
lr,no_self_employ,9,0.666667,0,0
lr,all,9,0.666667,0,0
lr,no_tax,12,0.333333,0,0.5
lr,no_crime,12,0.333333,0,0.5
lr,no_self_employ,12,0.333333,0,0.5
lr,all,12,0.333333,0,0.5
lr,no_tax,15,0,0,0
lr,no_crime,15,0,0,0
lr,no_self_employ,15,0,0,0
lr,all,15,0,0,0
lr,no_tax,18,0.666667,0,0.5
lr,no_crime,18,0.666667,0,0.5
lr,no_self_employ,18,0.666667,0,0.5
lr,all,18,0.666667,0,0.5
lr,no_tax,21,0.666667,0,0.5
lr,no_crime,21,0.666667,0,0.5
lr,no_self_employ,21,0.666667,0,0.5
lr,all,21,0.666667,0,0.5
lr,no_tax,9,0.666667,0,0
lr,no_crime,9,0.666667,0,0
lr,no_self_employ,9,0.666667,0,0
lr,all,9,0.666667,0,0
lr,no_tax,12,0.333333,0,0.5
lr,no_crime,12,0.333333,0,0.5
lr,no_self_employ,12,0.333333,0,0.5
lr,all,12,0.333333,0,0.5
lr,no_tax,15,0,0,0
lr,no_crime,15,0,0,0
lr,no_self_employ,15,0,0,0
lr,all,15,0,0,0
lr,no_tax,18,0.666667,0,0.5
lr,no_crime,18,0.666667,0,0.5
lr,no_self_employ,18,0.666667,0,0.5
lr,all,18,0.666667,0,0.5
lr,no_tax,21,0.666667,0,0.5
lr,no_crime,21,0.666667,0,0.5
lr,no_self_employ,21,0.666667,0,0.5
lr,all,21,0.666667,0,0.5
lr,no_tax,9,0.666667,0,0
lr,no_crime,9,0.666667,0,0
lr,no_self_employ,9,0.666667,0,0
lr,all,9,0.666667,0,0
lr,no_tax,12,0.333333,0,0.5
lr,no_crime,12,0.333333,0,0.5
lr,no_self_employ,12,0.333333,0,0.5
lr,all,12,0.333333,0,0.5
lr,no_tax,15,0,0,0
lr,no_crime,15,0,0,0
lr,no_self_employ,15,0,0,0
lr,all,15,0,0,0
lr,no_tax,18,0.666667,0,0.5
lr,no_crime,18,0.666667,0,0.5
lr,no_self_employ,18,0.666667,0,0.5
lr,all,18,0.666667,0,0.5
lr,no_tax,21,0.666667,0,0.5
lr,no_crime,21,0.666667,0,0.5
lr,no_self_employ,21,0.666667,0,0.5
lr,all,21,0.666667,0,0.5
lr,no_tax,9,0.666667,0,0
lr,no_crime,9,0.666667,0,0
lr,no_self_employ,9,0.666667,0,0
lr,all,9,0.666667,0,0
lr,no_tax,12,0.333333,0,0.5
lr,no_crime,12,0.333333,0,0.5
lr,no_self_employ,12,0.333333,0,0.5
lr,all,12,0.333333,0,0.5
lr,no_tax,15,0,0,0
lr,no_crime,15,0,0,0
lr,no_self_employ,15,0,0,0
lr,all,15,0,0,0
lr,no_tax,18,0.666667,0,0.5
lr,no_crime,18,0.666667,0,0.5
lr,no_self_employ,18,0.666667,0,0.5
lr,all,18,0.666667,0,0.5
lr,no_tax,21,0.666667,0,0.5
lr,no_crime,21,0.666667,0,0.5
lr,no_self_employ,21,0.666667,0,0.5
lr,all,21,0.666667,0,0.5
