,index,n_transactions,block_height_max-min,fee_mean,fee_median,fee_std,fee_min,fee_max,fee_max-min,size_mean,size_median,size_std,size_min,size_max,weight_mean,weight_median,weight_std,weight_min,weight_max,confirmations_mean,confirmations_median,confirmations_std,confirmations_min,confirmations_max,vin_sz_mean,vin_sz_median,vin_sz_std,vin_sz_min,vin_sz_max,vout_sz_mean,vout_sz_median,vout_sz_std,vout_sz_min,vout_sz_max,inputsAmount_mean,inputsAmount_median,inputsAmount_std,inputsAmount_min,inputsAmount_max,outputsAmount_mean,outputsAmount_median,outputsAmount_std,outputsAmount_min,outputsAmount_max,target
11,11,2,2.0,2181132.0,2181132.0,2787601.607627604,210000.0,4152264.0,3942264.0,18282.5,18282.5,18587.715957050776,5139.0,31426.0,73130.0,73130.0,74350.8638282031,20556.0,125704.0,153720.0,153720.0,15.556349186104043,153709,153731,117.0,117.0,118.79393923933998,33.0,201.0,28.5,28.5,28.991378028648448,8.0,49.0,2421967056.5,2421967056.5,3347741071.7625227,54756643,4789177470,2419785924.5,2419785924.5,3344953470.154895,54546643,4785025206,2
12,12,3,13.0,28983.666666666668,12628.0,28328.84565832737,12628.0,61695.0,49067.0,4300.666666666667,225.0,7059.261741381554,225.0,12452.0,17202.666666666668,900.0,28237.046965526217,900.0,49808.0,153720.66666666666,153715.0,9.814954576221538,153715,153732,25.33333333333333,1.0,42.146569650842686,1.0,74.0,3.333333333333333,2.0,2.309401076758504,2.0,6.0,47658630.0,9266020.0,66878154.65729087,8827414,124882456,47629646.333333336,9253392.0,66849825.96400435,8814786,124820761,4
13,13,5,773.0,789081.0,10405.0,1086889.730057746,10000.0,2253000.0,2243000.0,1641.2,521.0,1819.595064842725,225.0,3911.0,6564.8,2084.0,7278.3802593709,900.0,15644.0,288920.0,288883.0,341.0263919405652,288527,289273,10.6,3.0,12.340988615179905,1.0,26.0,2.0,2.0,0.0,2.0,2.0,216379255.2,107795128.0,215990587.88208812,20990682,563254789,215590174.2,107785128.0,214963665.36995485,20980277,561001789,4
14,14,8,85492.0,146105.125,65643.5,174690.92269608835,7106.0,517020.0,509914.0,3515.25,404.5,6344.159918494219,191.0,17572.0,14061.0,1618.0,25376.639673976875,764.0,70288.0,129202.25,128412.0,34577.00396320405,88706,174198,20.875,1.5,40.86017096670756,1.0,115.0,13.0,3.0,19.588626437662384,1.0,59.0,57064397539.75,11477991.0,159053597149.54446,58907,450676805099,57064251434.625,11328716.5,159053446736.00888,31907,450676288079,2
15,15,62,188948.0,5095956.774193549,1775416.0,8701912.096909925,10000.0,45071068.0,45061068.0,14074.17741935484,15396.5,12383.985115004867,226.0,58878.0,56272.08064516129,61586.0,49563.63793072311,904.0,235512.0,175599.9193548387,185005.5,34227.59162913883,4784,193732,67.7258064516129,51.5,74.85662127920934,1.0,227.0,119.46774193548389,90.5,224.27564405465213,2.0,1751.0,9289459193.258064,2614972252.0,21431859883.943256,2482018,136978871929,9284363236.483871,2610421683.5,21426491794.7638,2429194,136933800861,2
16,16,8,51493.0,173944.875,106480.5,166289.92095857978,5976.0,432460.0,426484.0,8044.75,3527.0,11870.83393086963,218.0,35844.0,32137.75,14108.0,47514.5513162622,542.0,143376.0,142477.875,154295.0,23025.752852202564,105240,156733,50.625,20.0,81.14878310855931,1.0,240.0,14.0,12.0,12.92837411057002,1.0,41.0,6708544715.625,3208326505.5,12172525326.710855,4088945,36268403112,6708370770.75,3208191818.5,12172526845.106936,4048945,36268299911,3
17,17,4,10.0,108260.0,116480.0,35588.17031917582,61400.0,138680.0,77280.0,1655.75,1537.5,1296.8043735788883,226.0,3322.0,6623.0,6150.0,5187.217494315553,904.0,13288.0,276039.75,276037.0,6.9462219947210615,276035,276050,10.75,10.0,8.770214744615247,1.0,22.0,1.75,2.0,0.5,1.0,2.0,641647165.0,651000812.5,715487420.5918716,3448000,1261139035,641538905.0,650903617.5,715455940.95076,3348000,1261000385,0
18,18,8,2995.0,126176.875,100000.0,121516.21080737394,5621.0,380000.0,374379.0,8170.375,3711.0,11685.657215303358,419.0,35775.0,32681.5,14844.0,46742.62886121343,1676.0,143100.0,153805.25,153880.5,1138.4309691099331,152218,155228,50.375,17.5,80.44152712196782,1.0,240.0,21.875,12.0,32.16225605093204,4.0,101.0,10900062918.625,8163897267.0,9404918788.39204,933202711,27818836562,10899936741.75,8163797267.0,9404889104.07095,933193903,27818621576,2
19,19,114,23603.0,47631.57894736842,10000.0,75143.55148799013,10000.0,550000.0,540000.0,3864.6403508771928,620.5,7040.1559404581385,225.0,54993.0,15458.561403508773,2482.0,28160.623761832558,900.0,219972.0,383828.27192982455,382924.5,4537.908333190974,371073,394644,21.44736842105263,3.0,39.24556050768265,1.0,305.0,2.0,2.0,0.0,2.0,2.0,531578072.54385966,47911475.0,955790642.9138204,10520700,6164811676,531530440.9649123,47901475.0,955723394.235677,10510700,6164261676,0
20,20,50,49804.0,3964751.4,858159.0,8724648.589672115,22763.0,47250164.0,47227401.0,16234.96,15426.0,10479.562837431413,553.0,33198.0,63065.62,61370.0,41436.94213359938,2212.0,132792.0,180178.5,176591.5,18705.59659158026,153721,203501,87.56,101.0,78.25316320137104,1.0,205.0,66.82,51.5,63.83994335325601,3.0,201.0,3504079287.92,850567609.0,5313949438.692787,24332341,21890372697,3500114536.52,847866795.5,5310732397.003829,23919803,21887829855,2
21,21,208,53699.0,937894.6442307692,81600.0,2701457.8119949643,5650.0,20000000.0,19994350.0,9089.259615384615,3668.5,16075.186173478189,192.0,97762.0,36357.03846153846,14674.0,64300.74469391276,768.0,391048.0,165931.1923076923,161168.0,12587.140688673571,153291,206958,37.50961538461539,2.0,111.3085970257106,1.0,655.0,103.22115384615384,33.0,123.36211624427524,1.0,601.0,5467750193.552885,165841155.5,16941933025.079058,1133261,99740689212,5466812298.908654,164081106.0,16941795648.8285,1114561,99739346044,3
22,22,17,9566.0,59600.23529411765,11074.0,77549.76916433197,2244.0,244868.0,242624.0,4732.235294117647,373.0,8906.879409544988,192.0,35764.0,18928.941176470587,1492.0,35627.517638179954,768.0,143056.0,150681.76470588235,150126.0,3143.6434977866834,147161,156727,30.352941176470587,2.0,59.53039263316533,1.0,240.0,7.411764705882353,3.0,7.714100915931582,1.0,25.0,4066912529.5882354,80000000.0,7343139312.136419,34216,25405322843,4066852929.352941,79997514.0,7343068475.43489,30036,25405107857,2
23,23,8,70.0,83250.0,100000.0,47225.87063403763,10000.0,144800.0,134800.0,1775.125,814.5,2435.108999467111,225.0,7309.0,7100.5,3258.0,9740.435997868444,900.0,29236.0,276002.5,276018.0,31.550413173646884,275949,276034,11.5,5.0,16.501082215591627,1.0,49.0,2.0,2.0,0.0,2.0,2.0,1006320450.625,1156096368.5,840483298.3155583,25470000,2134336568,1006237200.625,1156003968.5,840475442.1409174,25460000,2134226568,0
24,24,3,44745.0,40000.0,10000.0,51961.52422706632,10000.0,100000.0,90000.0,1698.6666666666667,373.0,2299.586991903836,369.0,4354.0,6794.666666666667,1492.0,9198.347967615344,1476.0,17416.0,336254.6666666667,351085.0,25796.95420652084,306467,351212,9.666666666666666,2.0,14.153915830374762,1.0,26.0,6.333333333333333,2.0,7.505553499465135,2.0,15.0,1244720416.3333333,1250241236.0,1131100111.5690486,110870000,2373050013,1244680416.3333333,1250231236.0,1131055222.0947545,110860000,2372950013,4
25,25,250,9302.0,12478.744,10000.0,6748.479778122398,5600.0,45040.0,39440.0,619.64,478.0,513.7097363031876,192.0,4059.0,2478.56,1912.0,2054.8389452127503,768.0,16236.0,285528.648,285839.0,1743.0599980273246,278900,288234,3.416,2.0,3.4864833665256807,1.0,27.0,2.448,2.0,1.541688429239645,1.0,7.0,168055205.224,107524631.0,270538528.78238535,1000000,3011024743,168042726.48,107516131.0,270536757.0207744,990000,3010990053,1
26,26,250,42742.0,212102.848,10000.0,444728.4479367897,1120.0,3790350.0,3789230.0,4330.596,404.0,8698.260010694004,217.0,36326.0,17313.276,1616.0,34795.69384184725,541.0,145304.0,153955.888,155411.0,6409.847351045985,119248,161990,23.032,2.0,55.93533788309841,1.0,240.0,17.652,3.0,29.18826330666897,1.0,101.0,23755163872.176,6919640.0,101605962224.30466,2730,1055078003348,23754951769.328,6909640.0,101605830093.9675,546,1055076420398,2
27,27,2,11.0,77340.0,77340.0,95233.14129020422,10000.0,144680.0,134680.0,1920.0,1920.0,2395.677774660023,226.0,3614.0,7680.0,7680.0,9582.711098640091,904.0,14456.0,275859.0,275859.0,15.556349186104043,275848,275870,12.5,12.5,16.263455967290593,1.0,24.0,2.0,2.0,0.0,2.0,2.0,750437387.5,750437387.5,828315330.9846138,164730000,1336144775,750360047.5,750360047.5,828220097.8433236,164720000,1336000095,0
28,28,250,9381.0,52677.168,12578.0,76874.3138197983,458.0,540534.0,540076.0,7765.628,1491.0,10742.826984368705,191.0,36587.0,30969.308,5964.0,43037.05371783696,541.0,146348.0,125371.316,123919.0,3087.838661351679,121952,131343,44.04,9.0,59.39222293009676,1.0,150.0,3.16,2.0,2.7895386902528654,1.0,24.0,340249980.04,8784658.5,1147133877.676651,39681,7492252033,340197302.872,8748945.5,1147137151.0520616,37421,7492246993,4
29,29,18,173509.0,1398100.5,186250.0,2503697.153616868,3780.0,10000000.0,9996220.0,8257.944444444445,2691.5,11194.689110951214,225.0,33654.0,32703.444444444445,10303.5,44588.661299670486,900.0,133611.0,111856.22222222222,153990.5,75057.48251099879,1106,174615,53.61111111111112,13.5,76.45001357202887,1.0,226.0,5.277777777777778,2.0,9.404664396899053,1.0,36.0,6096801600.5,2001807058.5,14500980264.638802,10715303,60589757732,6095403500.0,2000470421.0,14501316358.826435,10575489,60589753952,3
30,30,3,12324.0,175208.0,15624.0,281292.17868970335,10000.0,500000.0,490000.0,8115.333333333333,258.0,13667.365303281147,191.0,23897.0,32461.33333333333,1032.0,54669.46121312459,764.0,95588.0,327413.3333333333,331510.0,7110.362320819762,319203,331527,52.333333333333336,1.0,88.91194145520237,1.0,155.0,11.0,2.0,16.46207763315433,1.0,30.0,3283400000.0,272700000.0,5434998843.6061325,20000000,9557500000,3283224792.0,272684376.0,5434717576.130528,19990000,9557000000,4
31,31,192,93160.0,68620.328125,2165.0,178858.04632646247,0.0,896094.0,896094.0,79086.359375,59309.0,67584.76498474303,582.0,235203.0,316307.75,237236.0,270382.32022365823,1750.0,940812.0,141846.359375,149474.0,25692.447857940704,77452,170624,41.5,2.0,46.62392707522856,1.0,100.0,2135.7916666666665,1497.5,2221.5707919386928,1.0,7057.0,7913945030.875,4772093900.0,8638706397.19966,1467855,40760475444,7913876410.546875,4772058900.0,8638768971.026316,1457855,40760475444,4
32,32,14,5892.0,324461.5,215584.0,427494.3139347902,1747.0,1630535.0,1628788.0,7518.071428571428,5609.0,7739.651527280557,456.0,31548.0,30002.85714285714,22436.0,31026.53111540098,1396.0,126192.0,156532.5,156717.0,1987.707367024386,153702,159587,44.285714285714285,37.5,52.99844492846149,1.0,201.0,29.071428571428573,2.0,39.059056441622985,2.0,101.0,3299386041.571429,501000737.5,4844160908.655497,6190570,15818970981,3299061580.071429,500964217.0,4843805070.653734,6188823,15817340446,3
33,33,4,1055.0,53273.5,35678.0,64986.50549921883,2468.0,139270.0,136802.0,11160.25,7721.5,12598.610197822083,1234.0,27964.0,44641.0,30886.0,50394.44079128834,4936.0,111856.0,153599.25,153808.5,495.7333792809703,152866,153914,59.0,42.5,71.80993431738165,1.0,150.0,21.25,19.0,19.311050377094112,4.0,43.0,26439486.5,25533193.5,25883659.03765953,3095400,51596159,26386213.0,25497515.5,25823224.62815062,3092932,51456889,4
34,34,8,20237.0,2826047.625,314168.5,4465448.496427909,35324.0,10000000.0,9964676.0,15583.625,1406.0,31601.264454527765,259.0,90590.0,62334.5,5624.0,126405.05781811106,1036.0,362360.0,163327.25,162940.5,10065.119426585476,153714,173925,102.125,4.5,215.84944323036171,1.0,614.0,15.25,2.5,34.689438491522786,1.0,101.0,1149697060.125,482343952.5,1619702945.8161137,14056655,4081169018,1146871012.5,477324535.5,1617903213.3088295,13598918,4079374532,3
35,35,8,77929.0,46724.375,13608.0,73777.43776470555,1920.0,217156.0,215236.0,512.5,394.0,373.5532090613063,191.0,1109.0,2050.0,1576.0,1494.2128362452252,764.0,4436.0,127295.375,111594.0,33007.73273010649,102719,180631,2.75,1.0,2.549509756796392,1.0,7.0,2.875,2.0,3.720119045714225,1.0,12.0,329555947.375,22658998.5,631613463.2484664,5963445,1769909096,329509223.0,22649697.0,631551318.8141294,5961525,1769691940,1
36,36,75,5517.0,66666.66666666667,20000.0,73159.0886510504,10000.0,300000.0,290000.0,5053.48,907.0,7034.050675224172,225.0,29376.0,20213.92,3628.0,28136.202700896687,900.0,117504.0,365923.24,365788.0,1425.1238906788467,362839,368356,28.066666666666663,4.0,39.905744805334336,1.0,167.0,3.546666666666667,2.0,4.774066580150691,1.0,33.0,601826610.1333333,180700000.0,646896489.8444407,10020,1389300212,601759943.4666667,180660000.0,646837898.1612508,20,1389001296,0
37,37,10,12497.0,147161.9,169100.0,131340.0772874669,266.0,318600.0,318334.0,1726.0,1922.5,1123.1440987988435,225.0,3174.0,6871.0,7690.0,4541.705920319662,670.0,12696.0,146979.0,148576.5,5229.228963772337,141207,153704,9.7,10.0,8.340663442836346,1.0,21.0,8.1,2.0,16.669666396715254,2.0,55.0,1419352450.8,246251017.0,2888920614.9880924,29422430,9341890673,1419205288.9,246098277.0,2888959200.6375604,29422164,9341880614,3
38,38,41,34847.0,1244281.9268292682,87328.0,4663668.789645323,252.0,22565598.0,22565346.0,2673.512195121951,372.0,7975.694816509565,191.0,38256.0,10654.243902439024,1488.0,31896.83372043414,764.0,153024.0,165795.9756097561,171195.0,10099.530413558366,140761,175608,11.53658536585366,1.0,43.56667164299771,1.0,202.0,28.29268292682927,2.0,69.73028176568594,1.0,293.0,1089548202.195122,15262120.0,2953796595.2382364,2325400,14812497082,1088303920.268293,15128451.0,2950506434.3640924,2249434,14792140269,3
39,39,180,12722.0,64555.55555555556,40000.0,80482.63785995297,10000.0,620000.0,610000.0,3003.6277777777777,1941.5,3297.027240718481,496.0,30050.0,12014.511111111113,7766.0,13188.108962873925,1984.0,120200.0,338741.72777777776,339650.5,3749.095294712037,331359,344061,15.988888888888887,9.0,21.55854414319709,1.0,199.0,14.333333333333334,10.0,5.939170229649911,3.0,50.0,2075409558.6333332,1461670000.0,2041735375.4523785,60000,10596785388,2075345003.0777776,1461590000.0,2041699362.796452,30000,10596755388,0
40,40,2,3.0,579924.5,579924.5,526689.1930735811,207499.0,952350.0,744851.0,9545.5,9545.5,1740.1897885000935,8315.0,10776.0,38182.0,38182.0,6960.759154000374,33260.0,43104.0,153718.0,153718.0,19.79898987322333,153704,153732,47.5,47.5,28.991378028648448,27.0,68.0,16.0,16.0,8.48528137423857,10.0,22.0,6584181949.0,6584181949.0,7611771932.052852,1201846399,11966517499,6583602024.5,6583602024.5,7612298621.245925,1200894049,11966310000,2
41,41,4,3491.0,176525.25,153922.0,162207.861918743,3057.0,395200.0,392143.0,7354.5,7328.0,6463.76188195904,222.0,14540.0,29418.0,29312.0,25855.04752783616,888.0,58160.0,155459.25,155457.5,2018.1305499562377,153711,157211,43.75,38.0,48.81512743675537,1.0,98.0,26.75,2.0,49.5,2.0,101.0,1325397340.0,501000036.0,1996719613.0469089,126765,4299462523,1325220814.75,500846114.0,1996566443.6246307,123708,4299067323,3
42,42,250,15064.0,147354.836,82033.0,183914.40004207505,16375.0,2238217.0,2221842.0,1547.836,1196.5,2600.5775990148777,370.0,37364.0,5589.292,4457.5,6592.4766545281,862.0,84596.0,7366.648,8647.0,4434.524882762455,16,15080,2.952,2.0,13.723813911340113,1.0,211.0,32.636,31.0,32.999809905744314,2.0,101.0,534982227.812,27088994.0,2529589579.9070067,1011118,31492476398,534834872.976,26946887.5,2529565499.2098045,960214,31492169661,1
43,43,14,26824.0,1211320.2142857143,505452.0,1602763.6147857565,37860.0,5461620.0,5423760.0,6457.785714285715,1461.0,18233.68907008112,356.0,69677.0,25831.14285714286,5844.0,72934.75628032447,1424.0,278708.0,169268.0,172214.5,9971.220502410515,153700,180522,36.71428571428572,1.5,125.3177061413409,1.0,472.0,30.357142857142858,11.0,36.5126050792097,2.0,121.0,41885680033.21429,887134004.0,140294666211.4745,6867924,528590499070,41884468713.0,887033123.0,140293416866.2056,6734303,528585037450,3
44,44,6,2842.0,1518988.5,806600.5,1851357.5363085056,2910.0,4152264.0,4149354.0,15665.0,15402.5,16884.460950826946,250.0,31426.0,62605.0,61610.0,67598.20719220296,670.0,125704.0,152353.33333333334,152480.0,1279.2606718986854,150859,153731,101.0,101.0,109.54451150103324,1.0,201.0,19.83333333333333,12.0,21.45149567435023,2.0,49.0,18747476760.166668,2398374041.5,38394734252.23348,4041015,96613797883,18745957771.666668,2396296454.5,38394521784.71547,4029957,96612195740,2
45,45,2,9.0,118740.0,118740.0,153781.58277245035,10000.0,227480.0,217480.0,2733.5,2733.5,3546.140507650536,226.0,5241.0,10934.0,10934.0,14184.562030602145,904.0,20964.0,275868.0,275868.0,1.4142135623730951,275867,275869,18.0,18.0,24.04163056034261,1.0,35.0,2.0,2.0,0.0,2.0,2.0,670603875.0,670603875.0,898907904.5931408,34980000,1306227750,670485135.0,670485135.0,898754123.0103685,34970000,1306000270,0
46,46,250,8447.0,30990.352,18080.0,42641.229765236174,9900.0,465137.0,455237.0,458.832,226.0,539.0265915905883,190.0,7119.0,1835.328,904.0,2156.106366362353,760.0,28476.0,244626.68,243518.5,2083.3443614808443,240057,248504,2.608,1.0,3.5554042805837955,1.0,46.0,1.844,2.0,0.3635832381784633,1.0,2.0,150039153.132,5635724.0,635187677.4081175,26060,5496734642,150008162.78,5603009.5,635189224.8893465,10700,5496716842,1
47,47,41,18638.0,64924.439024390245,37294.0,101148.62370419304,3810.0,615860.0,612050.0,14589.414634146342,1659.0,16800.114919213513,441.0,36934.0,58221.34146341463,6572.0,67312.93859786904,1101.0,147736.0,146086.1463414634,147045.0,6429.606883632081,136669,155302,94.85365853658536,1.0,116.82969677603587,1.0,250.0,17.121951219512194,7.0,18.610743029163583,1.0,63.0,905326041.9756098,272630139.0,1479211044.8176267,6044837,5726492577,905261117.5365852,272540505.0,1479220946.9450183,6032765,5726471537,3
48,48,232,36045.0,121214.6077586207,37294.0,463962.865858865,226.0,4973258.0,4973032.0,12519.85775862069,1727.5,14807.338417340698,225.0,36931.0,49920.94827586207,6704.5,59351.68967734409,669.0,147724.0,143077.0948275862,142903.5,7087.644916225694,122138,158183,81.1896551724138,3.5,102.7667399319654,1.0,250.0,15.52155172413793,7.0,15.525972129587943,1.0,65.0,771948105.8405173,196806877.0,1771764235.058603,1511000,18755643335,771826891.2327586,194107208.5,1771785875.6709027,1510322,18755623543,3
49,49,2,663.0,66621.5,66621.5,74724.92331545078,13783.0,119460.0,105677.0,12199.5,12199.5,16937.32872976137,223.0,24176.0,48798.0,48798.0,67749.31491904549,892.0,96704.0,154036.0,154036.0,449.7199128346442,153718,154354,75.5,75.5,105.35891039679558,1.0,150.0,5.0,5.0,4.242640687119285,2.0,8.0,1519586016.5,1519586016.5,2145975139.6439707,2152443,3037019590,1519519395.0,1519519395.0,2145900414.7206552,2138660,3036900130,4
50,50,12,1187.0,620501.6666666666,52083.0,1130350.9487932045,52083.0,3137500.0,3085417.0,1371.75,362.0,2014.092311913506,260.0,5828.0,5487.0,1448.0,8056.369247654024,1040.0,23312.0,307612.5833333333,307782.5,387.93004484954,306612,307785,8.083333333333334,1.0,14.035398969834246,1.0,39.0,5.0,5.0,2.486326242032244,2.0,10.0,2727437172.4166665,2321575071.0,1726989282.857077,212074387,6030930646,2726816670.75,2321522988.0,1727585421.0227773,211001887,6030878563,4
51,51,30,3827.0,147320.23333333334,100000.0,151521.2172327767,7498.0,595700.0,588202.0,3680.9,1923.0,4166.239670212837,456.0,16192.0,14121.2,7692.0,15954.928730213964,1824.0,64768.0,155373.73333333334,154584.5,1308.6118713679184,153724,157540,17.4,4.0,27.64379334217407,1.0,97.0,28.5,17.0,29.79093821953246,2.0,108.0,1067475155.6333332,147268129.5,2729431023.215468,2756328,14599038619,1067327835.4,146966509.5,2729384871.4648566,2735345,14598642041,3
52,52,48,102571.0,105862.66666666669,33956.5,223397.7438034732,573.0,1021586.0,1021013.0,3720.25,2550.5,3749.59293960904,192.0,9025.0,14785.6875,9278.5,15033.207424014929,768.0,36100.0,131650.5,139346.0,31725.885973578595,67514,170085,20.52083333333333,10.0,21.12675986206838,1.0,50.0,2.75,1.0,5.696210012862789,1.0,38.0,1500472270.3333333,155739405.0,5660442349.933849,550377,38703909127,1500366407.6666667,155685534.5,5660416629.234036,549804,38703641870,2
53,53,4,14389.0,433449.0,261141.0,439346.78340842936,126097.0,1085417.0,959320.0,5089.5,5616.5,4351.225459568833,325.0,8800.0,20358.0,22466.0,17404.90183827533,1300.0,35200.0,160909.75,160914.5,8293.931330597496,153715,168095,26.5,27.5,27.184554438136374,1.0,50.0,14.5,3.0,24.40628334398064,1.0,51.0,2985614266.0,3199804587.5,2333430839.3331285,86253675,5456594214,2985180817.0,3199198830.5,2333275243.2134266,86001731,5456323876,2
54,54,2,17.0,212760.0,212760.0,237361.60430870028,44920.0,380600.0,335680.0,6435.5,6435.5,3721.5029893848,3804.0,9067.0,25742.0,25742.0,14886.011957539198,15216.0,36268.0,153723.0,153723.0,15.556349186104043,153712,153734,28.0,28.0,35.35533905932738,3.0,53.0,53.5,53.5,67.17514421272202,6.0,101.0,3615722463.5,3615722463.5,5035366599.829941,55180595,7176264332,3615509703.5,3615509703.5,5035129238.225633,55135675,7175883732,4
