,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
48,2,11,0,3,7228,1,1,1,0,0,4,1,39,0,0,2,1,1,1,0,0
49,2,12,1,0,2073,4,1,4,1,2,2,0,28,0,0,1,0,1,1,0,0
50,1,24,2,2,2333,0,4,4,0,0,2,1,29,1,0,1,1,1,1,0,0
51,1,27,2,4,5965,1,0,1,0,0,2,3,30,0,0,2,2,1,0,0,0
52,2,12,1,0,1262,1,1,3,0,0,2,3,25,0,0,1,0,1,1,0,0
53,2,18,1,4,3378,0,1,2,0,0,1,1,31,0,0,1,0,1,0,0,0
54,1,36,2,3,2225,1,0,4,0,0,4,2,57,1,1,2,0,1,0,0,1
55,2,6,4,3,783,0,1,1,0,1,2,0,26,2,0,1,1,2,1,0,0
56,1,12,1,0,6468,0,3,2,0,0,1,2,52,0,0,1,2,1,0,0,1
57,2,36,0,0,9566,1,1,2,1,0,2,3,31,2,0,2,0,1,1,0,0
58,3,18,1,3,1961,1,0,3,1,0,2,3,23,0,0,1,2,1,1,0,0
59,0,36,0,2,6229,1,4,4,1,2,4,2,23,0,2,2,1,1,0,0,1
60,1,9,1,5,1391,1,1,2,3,0,1,0,27,1,0,1,0,1,0,0,0
61,1,15,0,0,1537,0,0,4,0,1,4,0,50,0,0,2,0,1,0,0,0
62,1,36,3,5,1953,1,0,4,0,0,4,2,61,0,1,1,2,1,0,0,1
63,1,48,3,5,14421,1,1,2,0,0,2,3,25,0,0,1,0,1,0,0,1
64,2,24,1,0,3181,1,4,4,1,0,4,1,26,0,0,1,0,1,0,0,0
65,2,27,1,7,5190,0,0,4,0,0,4,1,48,0,0,4,0,2,0,0,0
66,2,12,1,0,2171,1,4,2,1,0,2,3,29,1,0,1,0,1,1,0,0
67,1,12,1,3,1007,3,1,4,3,0,1,0,22,0,0,1,0,1,1,0,0
68,2,36,1,1,1819,1,1,4,0,0,4,2,37,2,1,1,0,1,0,0,1
69,2,36,1,0,2394,0,1,4,1,0,4,3,25,0,0,1,0,1,1,0,0
70,2,36,1,4,8133,1,1,1,1,0,2,1,30,1,0,1,0,1,1,0,0
71,2,7,0,0,730,0,0,4,0,0,2,1,46,0,2,2,1,1,0,0,0
72,0,8,0,8,1164,1,0,3,0,0,4,2,51,1,1,2,2,2,0,0,0
73,1,42,0,5,5954,1,2,2,1,0,1,0,41,1,0,2,1,1,1,0,0
74,0,36,1,1,1977,0,0,4,0,0,4,2,40,0,0,1,2,1,0,0,1
75,0,12,0,4,1526,1,0,4,0,0,4,2,66,0,1,2,2,1,1,0,0
76,0,42,1,0,3965,1,4,4,0,0,3,3,34,0,0,1,0,1,1,0,1
77,1,11,2,0,4771,1,2,2,0,0,4,1,51,0,0,1,0,1,1,0,0
78,2,54,3,4,9436,0,1,2,0,0,2,1,39,0,0,1,1,2,1,0,0
79,1,30,1,2,3832,1,4,2,3,0,1,1,22,0,0,1,0,1,1,0,0
80,2,24,1,0,5943,0,4,1,1,0,1,3,44,0,0,2,0,1,0,0,1
81,2,15,1,0,1213,2,0,4,0,0,3,1,47,2,0,1,0,1,0,0,0
82,2,18,1,5,1568,4,1,3,1,0,4,1,24,0,2,1,1,1,1,0,0
83,0,24,1,8,1755,1,0,4,1,1,4,0,58,0,0,1,1,1,0,0,0
84,0,10,1,0,2315,1,0,3,0,0,4,0,52,0,0,1,1,1,1,0,0
85,2,12,0,5,1412,1,1,4,1,1,2,0,29,0,0,2,2,1,0,0,0
86,1,18,0,2,1295,1,4,4,1,0,1,1,27,0,0,2,0,1,1,0,0
87,1,36,1,1,12612,4,1,1,0,0,4,2,47,0,1,1,0,2,0,0,1
88,0,18,1,3,2249,4,2,4,0,0,3,3,30,0,0,1,2,2,0,0,0
89,0,12,3,7,1108,1,2,4,0,0,3,0,28,0,0,2,0,1,1,0,1
90,2,12,0,0,618,1,0,4,0,0,4,0,56,0,0,1,0,1,1,0,0
91,0,12,0,4,1409,1,0,4,0,0,3,0,54,0,0,1,0,1,1,0,0
92,2,12,0,0,797,0,0,4,1,0,3,1,33,1,0,1,1,2,1,0,1
93,3,24,0,2,3617,0,0,4,0,2,4,2,20,0,2,2,0,1,1,0,0
94,1,12,1,3,1318,3,0,4,0,0,4,0,54,0,0,1,0,1,0,0,0
95,1,54,3,5,15945,1,4,3,0,0,4,2,58,0,2,1,0,1,0,0,1
96,2,12,0,1,2012,0,2,4,1,0,2,3,61,0,0,1,0,1,1,0,0
97,1,18,1,5,2622,4,1,4,0,0,4,3,34,0,0,1,0,1,1,0,0
98,1,36,0,0,2337,1,0,4,0,0,4,0,36,0,0,1,0,1,1,0,0
99,1,20,2,4,7057,0,2,3,0,0,4,1,36,1,2,2,2,2,0,0,0
100,2,24,1,3,1469,4,0,4,3,0,4,0,41,0,2,1,1,1,1,0,0
101,1,36,1,0,2323,1,2,4,0,0,4,3,24,0,2,1,0,1,1,0,0
102,2,6,2,0,932,1,1,3,1,0,2,0,24,0,0,1,0,1,1,0,0
103,1,9,0,2,1919,1,2,4,0,0,3,3,35,0,2,1,0,1,0,0,0
104,2,12,1,4,2445,0,4,2,3,0,4,3,26,0,2,1,0,1,0,0,0
105,1,24,0,8,11938,1,1,2,0,2,3,3,39,0,0,2,2,2,0,0,1
106,2,18,4,3,6458,1,0,2,0,0,4,2,39,1,0,2,2,2,0,0,1
107,1,12,1,3,6078,1,2,2,0,0,2,3,32,0,0,1,0,1,1,0,0
108,0,24,1,2,7721,0,4,1,1,0,2,1,30,0,0,1,0,1,0,1,0
109,1,14,1,5,1410,2,0,1,3,0,2,0,35,0,0,1,0,1,0,0,0
110,1,6,2,5,1449,4,0,1,2,0,2,3,31,1,0,2,0,2,1,0,0
111,3,15,1,1,392,1,4,4,1,0,4,1,23,0,2,1,0,1,0,0,0
112,1,18,1,3,6260,1,2,3,0,0,3,0,28,0,2,1,1,1,1,0,0
113,2,36,0,3,7855,1,1,4,1,0,2,0,25,2,0,2,0,1,0,0,1
114,0,12,1,0,1680,2,0,3,3,0,1,0,35,0,0,1,0,1,1,0,0
115,2,48,0,0,3578,0,0,4,0,0,1,0,47,0,0,1,0,1,0,0,0
116,0,42,1,0,7174,0,2,4,1,0,3,3,30,0,0,1,2,1,0,0,1
117,0,10,0,2,2132,0,4,2,1,2,3,0,27,0,2,2,0,1,1,1,0
118,0,33,0,2,4281,2,1,1,1,0,4,3,23,0,0,2,0,1,1,0,1
119,1,12,0,3,2366,2,2,3,2,0,3,3,36,0,0,1,2,1,0,0,0
120,0,21,1,0,1835,1,1,3,1,0,2,0,25,0,0,2,0,1,0,0,1
121,2,24,0,4,3868,1,0,4,1,0,2,3,41,0,2,2,2,1,0,0,0
122,2,12,1,2,1768,1,1,3,0,0,2,0,24,0,2,1,1,1,1,0,0
123,3,10,0,3,781,1,0,4,0,0,4,2,63,0,1,2,0,1,0,0,0
124,1,18,1,2,1924,0,4,4,1,0,3,0,27,0,2,1,0,1,1,0,1
125,0,12,0,3,2121,1,1,4,0,0,2,1,30,0,0,2,0,1,1,0,0
126,0,12,1,0,701,1,1,4,3,0,2,0,40,0,0,1,1,1,1,0,0
127,1,12,1,7,639,1,1,4,0,0,2,3,30,0,0,1,0,1,1,0,1
128,1,12,0,4,1860,1,3,4,0,0,2,3,34,0,0,2,2,1,0,0,0
129,0,12,0,3,3499,1,1,3,1,2,2,0,29,0,0,2,0,1,1,0,1
130,1,48,1,3,8487,0,2,1,1,0,2,3,24,0,0,1,0,1,1,0,0
131,0,36,2,1,6887,1,1,4,0,0,3,1,29,2,0,1,0,1,0,0,1
132,2,15,1,2,2708,1,4,2,0,0,3,1,27,1,0,2,1,1,1,0,0
133,2,18,1,2,1984,1,1,4,0,0,4,2,47,1,1,2,0,1,1,0,0
134,2,60,1,0,10144,4,2,2,1,0,4,0,21,0,0,1,0,1,0,0,0
135,2,12,0,0,1240,0,0,4,1,0,2,0,38,0,0,2,0,1,0,0,0
136,2,27,2,4,8613,3,1,2,0,0,2,3,27,0,0,2,0,1,1,0,0
137,1,12,1,0,766,2,1,4,0,0,3,0,66,0,0,1,1,1,1,0,1
138,1,15,0,0,2728,0,2,4,0,1,2,0,35,1,0,3,0,1,0,0,0
139,3,12,1,0,1881,1,1,2,1,0,2,3,44,0,2,1,1,1,0,0,0
140,3,6,1,3,709,3,4,2,3,0,2,0,27,0,0,1,3,1,1,1,0
141,1,36,1,0,4795,1,4,4,1,0,1,2,30,0,0,1,2,1,0,0,0
142,0,27,1,0,3416,1,1,3,0,0,2,3,27,0,0,1,2,1,1,0,0
143,0,18,1,2,2462,1,1,2,0,0,2,3,22,0,0,1,0,1,1,0,1
144,2,21,0,2,2288,1,4,4,1,0,4,1,23,0,0,1,0,1,0,0,0
145,1,48,4,5,3566,4,2,4,0,0,2,3,30,0,0,1,0,1,1,0,0
146,0,6,0,3,860,1,0,1,1,0,4,2,39,0,0,2,0,1,0,0,0
147,2,12,0,3,682,4,2,4,1,0,3,3,51,0,0,2,0,1,0,0,0
148,0,36,0,2,5371,1,1,3,0,1,2,1,28,0,0,2,0,1,1,0,0
149,2,18,0,0,1582,3,0,4,0,0,4,3,46,0,0,2,0,1,1,0,0
150,2,6,1,0,1346,4,0,2,0,0,4,2,42,1,1,1,0,2,0,0,0
151,2,10,1,0,1924,1,1,1,0,0,4,1,38,0,0,1,0,1,0,1,0
152,3,36,1,0,5848,1,1,4,0,0,1,3,24,0,0,1,0,1,1,0,0
153,1,24,0,4,7758,3,0,2,1,0,4,2,29,0,2,1,0,1,1,0,0
154,1,24,2,5,6967,4,2,4,0,0,4,3,36,0,2,1,2,1,0,0,0
155,0,12,1,2,1282,1,1,2,1,0,4,3,20,0,2,1,0,1,1,0,1
156,0,9,0,7,1288,4,0,3,0,1,4,0,48,0,0,2,0,2,1,1,0
157,0,12,4,9,339,1,0,4,3,0,1,3,45,1,0,1,1,1,1,0,0
158,1,24,1,3,3512,4,2,2,0,0,3,3,38,1,0,2,0,1,0,0,0
159,2,6,0,0,1898,0,1,1,0,0,2,0,34,0,0,2,1,2,1,0,0
160,2,24,0,0,2872,4,0,3,0,0,4,0,36,0,0,1,0,2,0,0,0
161,2,18,0,3,1055,1,4,4,1,0,1,1,30,0,0,2,0,1,1,0,0
162,2,15,1,6,1262,2,2,4,0,0,3,1,36,0,0,2,0,1,0,0,0
163,1,10,1,3,7308,1,3,2,0,0,4,2,70,1,1,1,2,1,0,0,0
164,2,36,1,3,909,2,0,4,0,0,4,1,36,0,0,1,0,1,1,0,0
165,2,6,1,2,2978,2,1,1,0,0,2,3,32,0,0,1,0,1,0,0,0
166,0,18,1,2,1131,1,3,4,1,0,2,3,33,0,0,1,0,1,1,0,1
167,1,11,1,2,1577,3,4,4,1,0,1,0,20,0,0,1,0,1,1,0,0
168,2,24,1,2,3972,1,2,2,1,0,4,1,25,0,2,1,0,1,0,0,0
169,1,24,0,5,1935,1,0,4,2,0,4,0,31,0,0,2,0,1,0,0,1
170,0,15,3,3,950,1,0,4,0,0,3,3,33,0,2,2,0,2,1,0,1
171,2,12,1,2,763,1,1,4,1,0,1,0,26,0,0,1,0,1,0,0,0
172,1,24,2,2,2064,1,3,3,1,0,2,1,34,0,0,1,2,1,0,0,1
173,1,8,1,0,1414,1,1,4,0,1,2,0,33,0,0,1,0,1,1,1,0
174,0,21,2,1,3414,1,4,2,0,0,1,1,26,0,0,2,0,1,1,0,1
175,2,30,4,4,7485,0,3,4,1,0,1,0,53,1,0,1,2,1,0,0,1
176,0,12,1,2,2577,1,1,2,2,0,1,3,42,0,0,1,0,1,1,0,0
177,0,6,0,0,338,2,0,4,0,0,4,3,52,0,0,2,0,1,1,0,0
178,2,12,1,0,1963,1,2,4,0,0,2,3,31,0,2,2,2,2,0,0,0
179,0,21,0,3,571,1,0,4,0,0,4,0,65,0,0,2,0,1,1,0,0
180,2,36,2,5,9572,1,4,1,2,0,1,3,28,0,0,2,0,1,1,0,1
181,1,36,2,5,4455,1,1,2,2,0,2,0,30,2,0,2,2,1,0,0,1
182,0,21,4,3,1647,0,1,4,0,0,2,1,40,0,0,2,1,2,1,0,1
183,2,24,0,2,3777,3,1,4,0,0,4,0,50,0,0,1,0,1,0,0,0
184,1,18,0,3,884,1,0,4,0,0,4,3,36,1,0,1,0,2,0,0,1
185,2,15,0,0,1360,1,1,4,0,0,2,1,31,0,0,2,0,1,1,0,0
186,1,9,4,4,5129,1,0,2,1,0,4,2,74,1,1,1,2,2,0,0,1
187,1,16,0,3,1175,1,3,2,0,0,3,3,68,0,1,3,3,1,0,0,0
188,0,12,1,0,674,4,2,4,3,0,1,1,20,0,0,1,0,1,1,0,1
189,1,18,3,2,3244,1,1,1,1,0,4,3,33,1,0,2,0,1,0,0,0
190,2,24,1,5,4591,3,1,2,0,0,3,1,54,0,0,3,2,1,0,0,1
191,1,48,3,5,3844,4,2,4,0,0,4,2,34,0,1,1,1,2,1,0,1
192,1,27,1,5,3915,1,1,4,0,0,2,3,36,0,0,1,0,2,0,0,1
193,2,6,1,0,2108,1,2,2,3,0,2,0,29,0,2,1,0,1,1,0,0
194,1,45,1,0,3031,4,1,4,0,1,4,1,21,0,2,1,0,1,1,0,1
195,1,9,0,1,1501,1,0,2,1,0,3,3,34,0,0,2,2,1,0,0,1
196,2,6,0,0,1382,1,1,1,1,0,1,3,28,0,0,2,0,1,0,0,0
197,1,12,1,2,951,4,4,4,1,0,4,3,27,1,2,4,0,1,1,0,1
198,1,24,1,4,2760,0,0,4,0,0,4,2,36,1,1,1,0,1,0,0,0
199,1,18,2,2,4297,1,0,4,2,0,3,2,40,0,0,1,2,1,0,0,1
200,2,9,0,1,936,2,0,4,0,0,2,3,52,0,0,2,0,1,0,0,0
201,0,12,1,3,1168,1,1,4,3,0,3,0,27,0,0,1,1,1,1,0,0
202,2,27,2,5,5117,1,2,3,0,0,4,3,26,0,0,2,0,1,1,0,0
203,0,12,1,9,902,1,2,4,3,0,4,1,21,0,2,1,0,1,1,0,1
204,2,12,0,3,1495,1,0,4,0,0,1,0,38,0,0,2,1,2,1,0,0
205,0,30,0,4,10623,1,0,3,0,0,4,2,38,0,1,3,2,2,0,0,0
206,2,12,0,2,1935,1,0,4,0,0,4,0,43,0,0,3,0,1,0,0,0
207,1,12,0,6,1424,1,2,4,0,0,3,1,26,0,0,1,0,1,1,0,0
208,0,24,1,5,6568,1,1,2,3,0,2,3,21,2,0,1,1,1,1,0,0
209,2,12,1,4,1413,3,2,3,0,0,2,1,55,0,0,1,0,1,1,1,0
210,2,9,0,0,3074,0,1,1,0,0,2,0,33,0,0,2,0,2,1,0,0
211,2,36,1,0,3835,0,0,2,1,0,4,0,45,0,0,1,1,1,0,0,0
212,0,27,3,5,5293,1,3,2,0,0,4,1,50,2,0,2,0,1,0,0,1
213,3,30,2,5,1908,1,0,4,0,0,4,0,66,0,0,1,2,1,0,0,1
214,2,36,0,0,3342,0,0,4,0,0,2,3,51,0,0,1,0,1,0,0,0
215,1,6,0,9,932,0,2,1,1,0,3,1,39,0,0,2,1,1,1,0,0
216,0,18,3,5,3104,1,2,3,0,0,1,1,31,1,0,1,0,1,0,0,0
217,3,36,1,0,3913,1,1,2,0,0,2,0,23,0,0,1,0,1,0,0,0
218,0,24,1,2,3021,1,1,2,2,0,2,0,24,0,2,1,1,1,1,0,0
219,2,10,1,3,1364,1,1,2,1,0,4,3,64,0,0,1,0,1,0,0,0
220,1,12,1,0,625,1,4,4,3,1,1,0,26,1,0,1,1,1,1,0,0
221,0,12,1,1,1200,0,1,4,1,0,4,1,23,1,2,1,0,1,0,0,0
222,2,12,1,0,707,1,1,4,0,0,2,0,30,1,0,2,0,1,1,0,0
223,2,24,2,5,2978,0,1,4,0,0,4,0,32,0,0,2,0,2,0,0,0
224,2,15,1,4,4657,1,1,3,0,0,2,3,30,0,0,1,0,1,0,0,0
225,2,36,3,7,2613,1,1,4,0,0,2,3,27,0,0,2,0,1,1,0,0
226,1,48,1,0,10961,3,2,1,0,2,2,2,27,1,0,2,0,1,0,0,1
227,0,12,1,2,7865,1,0,4,0,0,4,2,53,0,1,1,2,1,0,0,1
228,2,9,1,0,1478,1,2,4,0,0,2,3,22,0,0,1,0,1,1,0,1
229,0,24,1,2,3149,1,4,4,0,0,1,2,22,1,1,1,0,1,1,0,0
230,3,36,1,0,4210,1,1,4,0,0,2,3,26,0,0,1,0,1,1,0,1
231,2,9,1,3,2507,2,0,2,0,0,4,2,51,0,1,1,1,1,1,0,0
232,2,12,1,0,2141,4,2,3,0,0,1,2,35,0,0,1,0,1,1,0,0
233,1,18,1,0,866,1,1,4,3,1,2,0,25,0,0,1,1,1,1,0,0
234,2,4,0,0,1544,1,2,2,0,0,1,0,42,0,0,3,1,2,1,0,0
235,0,24,1,0,1823,1,3,4,0,0,2,3,30,2,0,1,2,2,1,0,1
236,1,6,1,3,14555,0,3,1,0,0,2,1,23,0,0,1,3,1,0,0,1
237,1,21,1,5,2767,4,0,4,2,0,2,3,61,1,2,2,1,1,1,0,1
238,2,12,0,0,1291,1,1,4,1,0,2,1,35,0,0,2,0,1,1,0,0
239,0,30,1,0,2522,1,0,1,0,1,3,1,39,0,0,1,0,2,1,0,0
240,0,24,1,3,915,0,0,4,1,0,2,3,29,1,0,1,0,1,1,0,1
241,2,6,1,0,1595,1,2,3,0,0,2,1,51,0,0,1,0,2,1,0,0
242,0,48,3,4,4605,1,0,3,0,0,4,2,24,0,1,2,0,2,1,0,1
243,2,12,0,5,1185,1,1,3,1,0,2,0,27,0,0,2,0,1,1,0,0
244,2,12,4,9,3447,2,1,4,1,0,3,0,35,0,0,1,1,2,1,0,0
245,2,24,1,5,1258,1,2,4,0,0,1,0,25,0,0,1,0,1,0,0,0
246,2,12,0,0,717,1,0,4,0,0,4,0,52,0,0,3,0,1,1,0,0
247,2,6,3,3,1204,4,1,4,0,0,1,2,35,1,2,1,0,1,1,1,0
248,3,24,1,2,1925,1,1,2,0,0,2,0,26,0,0,1,0,1,1,0,0
249,2,18,1,0,433,1,3,3,1,2,4,0,22,0,2,1,0,1,1,0,1
250,0,6,0,3,666,3,2,3,1,0,4,0,39,0,0,2,1,1,0,0,0
251,3,12,1,2,2251,1,1,1,1,0,2,3,46,0,0,1,1,1,1,0,0
252,1,30,1,3,2150,1,1,4,1,1,2,2,24,1,0,1,0,1,1,0,1
253,2,24,2,2,4151,4,1,2,0,0,3,1,35,0,0,2,0,1,1,0,0
254,1,9,1,2,2030,0,2,2,0,0,1,3,24,0,0,1,0,1,0,0,0
255,1,60,2,0,7418,0,1,1,0,0,1,0,27,0,0,1,1,1,1,0,0
256,2,24,0,0,2684,1,1,4,0,0,2,0,35,0,0,2,1,1,1,0,0
257,0,12,4,0,2149,1,1,4,2,0,1,2,29,0,1,1,0,1,1,0,1
258,2,15,1,4,3812,4,4,1,1,0,4,3,23,0,0,1,0,1,0,0,0
259,2,11,0,0,1154,4,3,4,1,0,4,0,57,0,0,3,1,1,1,0,0
260,0,12,1,2,1657,1,1,2,0,0,2,0,27,0,0,1,0,1,1,0,0
261,0,24,1,0,1603,1,0,4,1,0,4,3,55,0,0,1,0,1,1,0,0
262,0,18,0,3,5302,1,0,2,0,0,4,2,36,0,1,3,2,1,0,0,0
263,2,12,0,1,2748,1,0,2,1,0,4,2,57,1,1,3,1,1,1,0,0
264,2,10,0,3,1231,1,0,3,0,0,4,0,32,0,0,2,1,2,1,1,0
265,1,15,1,0,802,1,0,4,0,0,3,3,37,0,0,1,0,2,1,0,1
266,2,36,0,5,6304,0,0,4,0,0,4,0,36,0,0,2,0,1,1,0,0
267,2,24,1,0,1533,1,4,4,1,0,3,3,38,2,0,1,0,1,0,0,0
268,0,14,1,3,8978,1,0,1,2,0,4,1,45,0,0,1,2,1,0,1,1
269,2,24,1,0,999,0,0,4,0,0,2,3,25,0,0,2,0,1,1,0,0
270,2,18,1,3,2662,0,2,4,0,0,3,1,32,0,0,1,0,1,1,1,0
271,2,12,0,2,1402,2,2,3,1,0,4,3,37,0,2,1,0,1,0,0,0
272,1,48,4,3,12169,0,3,4,0,2,4,2,36,0,1,1,2,1,0,0,0
273,1,48,1,0,3060,1,2,4,0,0,4,0,28,0,0,2,0,1,1,0,1
274,0,30,1,7,11998,1,4,1,2,0,1,2,34,0,0,1,1,1,0,0,1
275,2,9,1,0,2697,1,1,1,0,0,2,0,32,0,0,1,0,2,1,0,0
276,2,18,0,0,2404,1,1,2,1,0,2,3,26,0,0,2,0,1,1,0,0
277,0,12,1,2,1262,0,0,2,2,0,4,1,49,0,0,1,1,1,0,0,0
278,2,6,1,2,4611,1,4,1,1,0,4,1,32,0,0,1,0,1,1,0,1
279,2,24,1,0,1901,4,1,4,0,0,4,3,29,0,2,1,2,1,0,0,0
280,2,15,0,4,3368,3,0,3,0,0,4,2,23,0,2,2,0,1,0,0,0
281,2,12,1,2,1574,1,1,4,0,0,2,0,50,0,0,1,0,1,1,0,0
282,3,18,4,0,1445,0,2,4,0,0,4,3,49,1,0,1,1,1,1,0,0
283,2,15,0,2,1520,0,0,4,0,0,4,1,63,0,0,1,0,1,1,0,0
284,1,24,0,3,3878,4,4,4,2,0,2,3,37,0,0,1,0,1,0,0,0
285,0,47,1,3,10722,1,4,1,1,0,1,0,35,0,0,1,1,1,0,0,0
286,0,48,1,4,4788,1,2,4,0,0,3,1,26,0,0,1,0,2,1,0,0
287,1,48,2,8,7582,4,3,2,0,0,4,2,31,0,1,1,2,1,0,0,0
288,1,12,1,0,1092,1,1,4,1,1,4,0,49,0,0,2,0,1,0,0,0
289,0,24,2,0,1024,1,4,4,3,0,4,0,48,2,0,1,0,1,1,0,1
290,2,12,1,5,1076,1,1,2,3,0,2,0,26,0,0,1,0,1,0,1,0
291,1,36,1,4,9398,1,4,1,3,0,4,3,28,0,2,1,2,1,0,0,1
292,0,24,0,4,6419,1,0,2,1,0,4,2,44,0,1,2,2,2,0,0,0
293,3,42,0,4,4796,1,0,4,0,0,4,2,56,0,1,1,0,1,1,0,0
294,2,48,0,5,7629,0,0,4,2,0,2,3,46,1,0,2,2,2,1,0,0
295,1,48,1,2,9960,1,4,1,1,0,2,3,26,0,0,1,0,1,0,0,1
296,2,12,1,4,4675,0,4,1,1,0,4,3,20,0,2,1,0,1,1,0,0
297,2,10,1,3,1287,0,0,4,0,2,2,1,45,0,0,1,1,1,1,1,0
298,2,18,1,2,2515,1,1,3,0,0,4,0,43,0,0,1,0,1,0,0,0
299,1,21,0,2,2745,3,2,3,0,0,2,3,32,0,0,2,0,1,0,0,0
300,2,6,1,3,672,1,3,1,1,0,4,0,54,0,0,1,3,1,0,0,0
301,1,36,3,0,3804,1,1,4,1,0,1,3,42,0,0,1,0,1,0,0,1
302,3,24,0,3,1344,0,2,4,0,0,2,0,37,1,0,2,1,2,1,0,1
303,0,10,0,3,1038,1,2,4,0,2,3,1,49,0,0,2,0,1,0,0,0
304,2,48,0,3,10127,2,1,2,0,0,2,2,44,1,1,1,0,1,1,0,1
305,2,6,1,2,1543,3,1,4,2,0,2,0,33,0,0,1,0,1,1,0,0
306,2,30,1,4,4811,0,2,2,1,0,4,1,24,2,2,1,1,1,1,0,0
