,ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,target
120,151252,1,1,0,0,2,3,0.6235462115803201,1.0,1,1.0,0.0,10238,11000.0,0,0,0,0,0
121,706349,0,1,0,1,2,0,0.7270329897821235,1.0,1,1.0,1.0,10238,10000.0,0,1,1,2,0
122,602998,0,1,0,2,1,2,0.426828388879915,1.0,1,1.0,0.0,10238,14000.0,0,3,1,7,0
123,242772,2,0,0,1,1,3,0.5036589704487734,1.0,1,0.0,1.0,10238,10000.0,0,1,2,0,0
125,380740,0,1,0,3,2,0,0.7264400018455291,1.0,0,1.0,1.0,10238,7000.0,0,2,0,3,0
127,727943,1,1,0,0,2,3,0.5757707974509628,1.0,1,0.0,0.0,10238,11000.0,0,0,0,0,1
129,261229,1,1,0,0,2,2,0.468671965728324,1.0,0,0.0,1.0,32765,9000.0,0,0,0,0,1
130,60866,0,1,0,2,2,0,0.6970834558464781,0.0,0,0.0,1.0,10238,13000.0,0,3,0,2,0
131,752797,3,0,0,2,0,2,0.5429181079423034,1.0,1,0.0,0.0,10238,15000.0,0,1,1,0,0
132,45002,0,1,0,3,0,0,0.6722562535141292,1.0,1,1.0,1.0,10238,9000.0,0,4,1,2,0
133,482448,1,1,0,0,1,1,0.3864066185703315,0.0,1,0.0,0.0,32765,8000.0,0,0,0,0,1
134,549142,1,1,0,0,2,3,0.5512978330713669,1.0,1,1.0,1.0,10238,12000.0,0,0,0,0,1
135,95138,3,1,0,2,0,3,0.5985570254244251,0.0,0,1.0,0.0,10238,14000.0,0,4,1,4,0
137,615991,3,0,0,2,0,0,0.5824219946087406,1.0,0,1.0,1.0,10238,11000.0,0,2,0,1,0
139,807847,0,1,0,2,2,0,0.6330139475122963,1.0,0,0.0,1.0,10238,14000.0,0,3,1,4,0
140,758983,3,1,0,2,0,3,0.552204630296896,1.0,0,1.0,0.0,32765,12000.0,0,6,0,3,0
141,987114,2,0,0,0,2,3,0.3266816101781183,0.0,1,0.0,0.0,10238,16000.0,0,0,0,0,1
142,873457,3,1,1,2,0,3,0.5880825424047316,1.0,1,1.0,1.0,10238,13000.0,0,7,1,1,0
143,699703,0,0,0,0,2,0,0.7022748020975709,0.0,1,1.0,1.0,92101,10000.0,0,0,0,0,1
144,563342,0,0,0,0,2,0,0.7266055391975765,1.0,1,0.0,1.0,10238,13000.0,0,0,0,0,0
146,284106,0,1,0,3,2,0,0.73238212135242,1.0,1,1.0,1.0,10238,12000.0,0,5,1,5,0
147,78189,1,0,0,0,1,1,0.2012839211827758,1.0,1,0.0,0.0,32765,12000.0,0,0,0,0,1
148,427520,2,1,0,1,2,3,0.4641607076311848,0.0,1,0.0,0.0,10238,16000.0,0,0,1,0,0
149,689030,3,0,0,2,2,0,0.6579677428053038,1.0,0,1.0,0.0,92101,13000.0,0,1,0,1,0
150,966467,0,1,0,3,2,0,0.6002161554309658,1.0,1,1.0,1.0,10238,13000.0,0,5,2,4,0
151,288712,0,1,0,3,2,0,0.6663760181644964,1.0,0,1.0,1.0,10238,12000.0,0,3,0,7,0
152,228114,2,1,0,0,0,2,0.4031472802313768,1.0,1,1.0,1.0,10238,10000.0,0,0,0,0,0
153,63715,0,1,0,2,2,0,0.4169350441301069,1.0,1,0.0,1.0,10238,13000.0,0,5,1,5,0
154,624077,0,0,0,3,1,0,0.5948797136778915,1.0,1,1.0,1.0,32765,8000.0,1,10,0,1,0
155,726352,2,1,1,1,1,1,0.3804265034620669,0.0,1,1.0,1.0,10238,16000.0,0,1,0,1,0
157,792396,0,0,0,3,2,0,0.680617632406099,1.0,1,1.0,1.0,10238,12000.0,0,1,2,2,0
158,768933,3,1,1,0,0,2,0.3559504699938693,1.0,1,0.0,1.0,10238,16000.0,0,0,0,0,1
161,579336,0,0,0,1,2,0,0.5733880426029547,1.0,0,1.0,1.0,10238,10000.0,0,0,0,2,0
162,648922,1,1,0,0,2,3,0.2964062828237805,1.0,1,0.0,0.0,10238,13000.0,0,0,0,0,1
163,47909,0,1,0,1,2,0,0.4295096986208441,1.0,1,1.0,1.0,10238,10000.0,0,1,0,4,0
164,619577,0,0,0,3,2,0,0.6885687186194461,1.0,0,0.0,1.0,92101,11000.0,0,2,0,0,0
165,212678,0,0,0,2,2,0,0.700017431968704,1.0,0,0.0,1.0,32765,13000.0,0,1,0,1,0
167,995884,3,0,0,2,2,0,0.6900455818778344,1.0,0,1.0,0.0,10238,11000.0,0,2,1,1,0
168,226326,3,0,1,1,2,2,0.4960298730510012,1.0,0,0.0,0.0,10238,13000.0,0,0,0,1,0
169,943922,2,1,0,1,2,0,0.6563457625165399,0.0,0,1.0,1.0,32765,6000.0,0,8,0,0,0
170,510116,3,1,0,0,0,3,0.4983566259941653,1.0,0,0.0,1.0,10238,12000.0,0,0,0,0,0
171,536546,1,0,0,0,2,3,0.5463825431033477,1.0,1,1.0,1.0,10238,12000.0,0,0,0,0,0
172,75592,3,0,0,1,0,2,0.3158628767091658,1.0,1,0.0,1.0,10238,11000.0,0,0,0,1,0
174,936820,2,0,0,1,0,2,0.3578391720711443,1.0,1,0.0,1.0,32765,12000.0,0,1,0,0,1
175,634050,0,1,0,1,2,0,0.672756052841708,1.0,0,1.0,1.0,10238,9000.0,0,1,0,2,0
177,558748,0,0,0,3,2,0,0.6226519789949738,1.0,0,1.0,1.0,10238,11000.0,0,1,0,0,0
178,856630,1,0,0,0,0,3,0.4801406677163008,0.0,0,0.0,0.0,32765,14000.0,0,0,0,0,1
179,200009,0,1,0,3,2,0,0.6787954309829434,1.0,0,1.0,1.0,10238,11000.0,0,5,1,3,0
181,792252,3,0,0,2,2,0,0.5152467080125883,1.0,0,0.0,1.0,10238,12000.0,0,2,0,1,0
182,462586,2,1,0,1,1,2,0.4899205986325767,1.0,1,0.0,1.0,10238,13000.0,0,3,0,1,0
183,577965,0,1,0,3,0,3,0.4219579486132668,1.0,1,0.0,1.0,10238,11000.0,0,4,0,6,0
186,896587,0,0,0,3,0,0,0.5581569698935803,1.0,0,0.0,1.0,10238,14000.0,0,0,0,0,0
187,431538,1,1,0,0,0,1,0.19414954837432,0.0,1,1.0,0.0,10238,12000.0,1,0,0,0,1
188,164516,1,1,0,0,0,1,0.300497330390378,0.0,1,0.0,0.0,10238,13000.0,0,0,0,0,1
189,479577,3,0,0,2,2,0,0.6670906918498556,1.0,0,1.0,1.0,10238,7000.0,0,4,0,0,0
192,938476,2,1,1,1,0,3,0.5952817629709132,1.0,1,1.0,1.0,32765,8000.0,0,1,0,1,0
193,112454,2,1,0,0,1,1,0.3482357882933829,0.0,1,1.0,1.0,32765,7000.0,0,0,0,0,1
194,91246,2,1,0,1,0,2,0.3566396714745861,1.0,0,1.0,1.0,10238,8000.0,0,3,0,1,0
195,2743,2,0,0,1,1,2,0.3486591269429803,0.0,1,1.0,0.0,21217,12000.0,0,0,0,0,1
196,248888,3,1,0,0,0,3,0.5594684860915574,1.0,1,0.0,1.0,32765,12000.0,0,0,0,0,1
197,195523,1,1,0,0,0,1,0.514483730987584,0.0,1,0.0,0.0,10238,12000.0,0,0,0,0,1
198,981926,3,0,0,2,2,0,0.5626384060668865,1.0,0,0.0,1.0,10238,13000.0,0,2,1,0,0
199,593426,3,1,0,2,2,3,0.5717246252857962,1.0,1,0.0,1.0,32765,15000.0,0,2,2,1,0
200,235574,0,0,0,3,2,0,0.6510078690171576,1.0,0,1.0,1.0,10238,12000.0,0,5,0,2,0
201,440993,1,1,0,0,2,2,0.3707348173567914,1.0,1,0.0,0.0,10238,12000.0,0,0,0,0,1
202,446993,1,1,0,0,0,1,0.3051450776813433,1.0,1,0.0,0.0,10238,14000.0,0,0,0,0,0
204,301242,2,0,0,1,2,3,0.4500145680826032,1.0,1,0.0,1.0,10238,13000.0,0,1,0,1,0
207,7722,2,0,1,0,0,1,0.3357473732007096,0.0,1,0.0,1.0,10238,15000.0,0,0,0,0,1
209,123443,2,1,0,1,2,0,0.5578403271955679,1.0,0,1.0,1.0,10238,10000.0,0,2,0,0,0
210,112143,1,0,0,0,1,2,0.1924274124285441,0.0,1,0.0,1.0,32765,11000.0,0,0,0,0,1
211,912138,2,1,0,1,2,2,0.3528243251354439,0.0,1,1.0,1.0,32765,11000.0,1,6,1,3,1
212,601305,0,0,0,0,2,0,0.647569234863379,0.0,0,1.0,1.0,10238,11000.0,0,0,0,0,1
213,602274,1,0,0,0,0,3,0.4572362634438549,1.0,0,0.0,0.0,92101,10000.0,0,0,0,0,0
214,352099,2,1,0,1,1,3,0.5042469291759577,1.0,1,0.0,1.0,10238,13000.0,0,0,0,1,0
215,660400,1,1,0,0,0,1,0.3749625006784157,1.0,1,0.0,1.0,10238,15000.0,0,0,0,0,1
216,267614,1,0,0,0,2,0,0.6603156212983624,1.0,1,0.0,1.0,10238,11000.0,1,0,0,0,0
217,974380,3,0,0,2,0,0,0.4169178873741152,1.0,1,0.0,1.0,32765,12000.0,0,3,0,0,0
218,346585,2,0,0,1,0,0,0.6350840347750659,1.0,1,1.0,0.0,10238,17000.0,0,0,1,0,0
219,536135,2,1,0,1,0,3,0.4049288507406456,1.0,1,1.0,1.0,92101,11000.0,0,2,0,0,0
220,75569,3,0,0,2,0,0,0.4956283926329951,0.0,0,1.0,0.0,10238,11000.0,0,2,0,0,0
222,645135,3,0,0,1,0,0,0.5149450496137513,1.0,0,1.0,1.0,10238,11000.0,0,0,0,2,0
223,421596,0,1,0,3,2,0,0.5032225392796313,1.0,0,1.0,1.0,10238,9000.0,0,6,2,10,0
224,164636,2,0,0,1,2,0,0.7140339031205747,1.0,1,1.0,1.0,21217,11000.0,0,0,0,0,1
225,405100,2,1,0,1,0,2,0.3670512395145257,0.0,1,1.0,0.0,10238,14000.0,0,1,0,1,1
226,315223,3,0,0,2,0,3,0.5793929043624154,1.0,1,0.0,0.0,92101,13000.0,0,2,0,0,0
227,628723,3,0,0,2,0,3,0.5584702236402418,1.0,1,0.0,1.0,10238,10000.0,0,1,0,4,0
228,483693,1,0,0,0,0,2,0.2919776582051944,0.0,1,0.0,1.0,32765,12000.0,0,0,0,0,1
229,416795,3,0,0,2,0,3,0.6615841421190086,1.0,1,0.0,1.0,32765,12000.0,0,5,0,0,0
230,712973,1,0,0,0,1,1,0.3788290288330991,0.0,1,0.0,0.0,10238,17000.0,0,0,0,0,1
231,755061,1,0,1,0,0,1,0.3740705590179875,1.0,1,0.0,0.0,10238,15000.0,0,0,0,0,1
233,162614,0,1,0,3,2,0,0.4593785751523136,1.0,1,1.0,1.0,10238,13000.0,0,1,0,5,0
235,466761,3,0,0,0,2,0,0.4654506837575693,1.0,0,1.0,1.0,10238,11000.0,0,0,0,0,0
236,498232,1,1,1,0,0,3,0.4086866980912735,1.0,1,0.0,1.0,32765,9000.0,0,0,0,0,1
237,170391,0,0,0,2,0,0,0.5888021385021842,1.0,1,1.0,1.0,10238,11000.0,0,2,0,2,0
238,918640,3,1,0,2,0,0,0.61502467895473,1.0,1,1.0,1.0,32765,7000.0,0,3,1,0,0
240,273764,3,0,0,2,2,0,0.5464601140543317,1.0,0,1.0,1.0,10238,8000.0,0,1,0,1,0
242,344228,0,1,0,0,2,0,0.737994819837278,1.0,0,1.0,0.0,10238,17000.0,0,0,0,0,0
243,809278,3,0,0,1,1,2,0.4273733642706479,1.0,1,0.0,1.0,32765,10000.0,0,3,0,0,0
245,128369,3,1,0,2,2,0,0.6953231970861331,0.0,1,1.0,1.0,32765,7000.0,0,3,1,1,0
246,194925,1,0,0,0,0,1,0.2912344134674337,0.0,1,0.0,1.0,10238,13000.0,0,0,0,0,1
247,303507,1,0,0,0,0,1,0.2441332629984765,0.0,1,1.0,1.0,10238,11000.0,0,0,0,0,1
248,244931,0,1,0,0,2,0,0.5082740148521835,1.0,0,1.0,1.0,10238,9000.0,0,0,0,0,0
249,570030,1,0,0,0,1,1,0.2932584812581273,1.0,1,0.0,1.0,10238,14000.0,0,0,0,0,0
250,918038,2,0,0,1,1,1,0.3436417190829057,0.0,1,0.0,0.0,10238,13000.0,0,0,1,0,1
251,102325,1,0,0,0,2,1,0.5033225200786,0.0,1,0.0,0.0,10238,15000.0,1,0,0,0,1
254,761911,3,1,0,0,1,1,0.2027084379448271,0.0,1,0.0,1.0,32765,11000.0,0,0,0,0,1
255,271656,2,0,0,1,0,0,0.665343329329833,1.0,1,1.0,1.0,32765,12000.0,0,1,0,0,0
256,820690,0,1,0,3,2,0,0.5386236932875669,1.0,0,1.0,1.0,10238,9000.0,0,8,0,5,0
257,622930,1,0,0,0,0,2,0.4101367047885667,0.0,1,0.0,0.0,10238,15000.0,0,0,0,0,0
258,81394,1,1,0,0,1,1,0.3136455846123201,1.0,1,0.0,1.0,10238,13000.0,0,0,0,0,0
259,373844,2,1,0,0,2,0,0.5073241356207076,1.0,1,0.0,1.0,32765,12000.0,0,0,0,0,0
260,368392,1,1,0,0,1,1,0.2095073883823189,0.0,1,0.0,1.0,10238,14000.0,0,0,0,0,1
261,447175,1,0,0,0,0,2,0.4907240542637642,1.0,1,0.0,0.0,10238,15000.0,0,0,0,0,1
262,182095,3,1,0,2,2,3,0.5814986743175801,1.0,1,1.0,1.0,10238,14000.0,0,5,0,0,0
263,451696,2,0,0,0,0,0,0.6850359505244253,1.0,1,0.0,1.0,10238,12000.0,0,0,0,0,1
266,617007,3,1,0,1,2,0,0.5128461364179456,1.0,0,1.0,1.0,10238,10000.0,0,4,0,2,0
267,560773,3,1,0,1,2,0,0.6624617559275001,1.0,0,1.0,0.0,10238,13000.0,0,1,0,1,0
268,438008,3,0,0,2,0,0,0.5564133152355352,1.0,1,0.0,0.0,10238,17000.0,0,1,0,4,0
269,212573,1,0,1,0,0,1,0.2673466585061873,0.0,1,0.0,0.0,10238,17000.0,0,0,0,0,0
270,492516,0,0,0,3,2,0,0.8094112590513309,1.0,1,1.0,1.0,10238,9000.0,0,5,0,4,0
271,538225,1,0,0,0,1,1,0.3679435479917757,0.0,0,1.0,1.0,10238,11000.0,0,0,0,0,0
272,658402,0,0,0,3,2,0,0.5033547111991341,0.0,1,0.0,1.0,10238,11000.0,0,5,0,3,0
273,325516,0,0,0,0,1,3,0.5342877060116482,1.0,1,1.0,1.0,10238,13000.0,0,0,0,0,0
276,905750,3,1,0,2,1,3,0.4490117755463273,1.0,1,1.0,1.0,32765,7000.0,0,7,0,1,1
277,107029,3,1,0,2,2,0,0.8032523419405172,1.0,1,0.0,1.0,10238,10000.0,0,2,0,3,0
279,124204,1,0,0,0,1,1,0.186185114720855,0.0,1,0.0,0.0,10238,17000.0,0,0,0,0,1
283,968669,0,0,0,3,2,0,0.4836380123288594,1.0,0,1.0,1.0,32765,9000.0,0,4,1,2,0
284,993267,2,0,0,1,0,1,0.3858741008429725,1.0,1,0.0,0.0,10238,14000.0,0,0,1,0,0
285,423938,0,1,0,3,0,0,0.6343725020457226,1.0,0,1.0,0.0,32765,11000.0,0,11,1,5,0
286,125168,1,1,0,0,0,2,0.3621741186724681,1.0,1,0.0,0.0,10238,16000.0,0,0,0,0,1
288,525386,0,0,0,1,2,0,0.6928836357133882,1.0,1,1.0,1.0,10238,10000.0,0,2,0,1,0
289,500215,0,0,0,3,0,0,0.5777028525076912,1.0,1,0.0,1.0,10238,11000.0,0,2,0,3,0
290,572994,3,1,0,2,2,0,0.6640650143948857,1.0,0,1.0,1.0,10238,11000.0,0,0,1,1,0
292,319953,2,0,1,0,1,1,0.2828694808711571,0.0,1,1.0,0.0,10238,13000.0,1,0,0,0,1
293,487355,3,1,0,0,0,2,0.4317004117968687,0.0,1,0.0,1.0,10238,10000.0,0,0,0,0,1
294,232470,1,1,0,0,2,1,0.1264534313986037,1.0,1,0.0,1.0,10238,14000.0,0,0,0,0,1
295,565198,1,1,0,0,1,1,0.2859976102627207,0.0,1,0.0,1.0,10238,12000.0,0,0,0,0,1
