,Unnamed: 0,Gender,customer_type,age,type_of_travel,customer_class,flight_distance,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,onboard_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,target
103,103,1,1,27,1,0,1080,3,3,3,3,3,3,3,3,4,1,3,3,3,3,0,0.0,0
104,104,0,1,22,1,1,231,5,0,5,4,5,5,5,5,3,4,4,3,1,5,0,0.0,1
105,105,1,0,15,0,2,551,3,4,3,3,4,3,4,4,1,1,4,2,1,4,3,0.0,0
106,106,0,1,11,1,2,972,1,1,1,3,1,1,1,1,4,3,4,2,1,1,0,0.0,0
107,107,1,0,34,0,2,265,4,3,4,3,5,4,5,5,2,5,2,1,4,5,0,23.0,0
108,108,1,1,26,1,2,488,2,0,2,4,1,2,1,1,3,2,5,1,3,1,0,0.0,0
109,109,1,0,26,0,2,1144,3,5,2,2,4,2,4,4,5,4,5,3,5,4,0,0.0,0
110,110,0,0,53,1,1,2332,5,5,5,5,5,5,5,4,4,5,4,4,4,3,0,3.0,1
111,111,0,0,36,1,1,3024,4,2,2,2,1,3,4,4,4,4,4,4,4,1,30,13.0,0
112,112,0,0,32,1,1,1750,1,5,4,5,1,1,1,1,1,1,2,4,3,1,0,0.0,0
113,113,0,0,20,0,2,483,2,3,2,3,5,2,5,5,5,2,3,2,4,5,91,82.0,0
114,114,1,0,35,1,1,2128,2,2,2,2,1,5,1,4,4,4,4,5,4,4,0,0.0,1
115,115,0,0,15,0,2,235,2,4,2,1,1,2,1,1,3,3,4,4,4,1,1,10.0,0
116,116,0,0,52,0,2,689,2,5,2,3,3,2,3,3,1,1,2,2,2,3,0,0.0,0
117,117,0,0,45,1,1,1852,1,1,1,1,5,5,4,2,2,2,2,5,2,5,0,0.0,1
118,118,1,1,24,1,2,372,4,4,4,3,3,4,5,3,5,4,4,4,4,3,21,23.0,0
119,119,1,0,46,1,1,3705,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,0.0,0
120,120,0,1,26,1,2,416,3,0,3,3,1,3,1,1,3,5,2,3,3,1,0,9.0,0
121,121,0,0,28,1,2,337,4,1,1,1,4,4,4,4,1,3,2,3,2,4,3,0.0,0
122,122,0,0,11,0,2,335,1,5,1,3,3,1,3,3,4,2,4,5,5,3,0,0.0,0
123,123,0,0,45,1,1,1400,5,5,5,5,2,5,5,4,4,4,4,3,4,5,4,9.0,1
124,124,0,0,62,0,2,2521,4,5,4,3,4,1,1,5,3,5,4,1,4,1,7,30.0,0
125,125,1,0,34,1,1,374,3,3,3,3,4,4,1,4,4,4,4,5,4,3,0,0.0,1
126,126,0,0,51,1,1,308,2,2,2,2,4,5,5,4,4,4,4,3,4,5,17,8.0,1
127,127,1,0,58,1,0,575,1,4,4,4,2,3,4,2,2,1,2,2,2,4,14,16.0,0
128,128,0,0,22,0,2,618,3,5,3,2,3,3,3,3,4,5,4,5,5,3,0,0.0,0
129,129,0,0,8,1,2,1304,4,4,4,4,4,4,4,4,2,2,4,2,1,4,0,0.0,1
130,130,0,1,26,1,1,351,4,4,4,3,2,4,2,2,4,5,4,4,5,2,4,11.0,1
131,131,1,0,22,0,2,549,4,0,4,3,3,4,1,3,3,2,5,4,5,3,15,3.0,0
132,132,1,0,21,1,1,3510,3,1,1,1,3,2,3,3,3,3,3,1,3,3,0,0.0,0
133,133,0,0,31,1,1,1620,3,2,4,2,3,3,3,3,2,2,2,3,4,3,0,0.0,0
134,134,1,0,44,0,2,326,2,0,2,2,2,3,5,1,1,2,1,2,1,5,0,0.0,0
135,135,0,0,27,1,1,588,2,2,2,2,5,5,5,5,5,2,5,3,5,5,0,0.0,1
136,136,1,0,47,1,1,1020,3,1,3,3,2,4,5,5,5,5,5,3,5,5,0,0.0,1
137,137,0,0,24,1,1,2903,3,3,3,3,3,3,3,3,4,2,2,2,2,3,0,0.0,0
138,138,0,0,67,1,1,2659,1,1,1,1,1,3,3,1,1,1,1,1,1,1,0,0.0,0
139,139,0,0,32,1,1,3037,2,2,2,2,4,4,4,4,4,1,1,3,5,4,0,0.0,1
140,140,1,0,58,0,2,2475,4,4,4,3,4,1,1,3,3,3,4,1,3,1,29,10.0,1
141,141,0,0,12,0,2,978,4,5,4,5,1,4,1,1,3,4,4,5,4,1,0,0.0,0
142,142,1,0,56,1,1,2568,3,1,1,1,5,3,2,3,3,3,3,3,3,4,0,0.0,0
143,143,1,0,58,0,1,371,3,5,5,1,2,3,5,1,1,5,1,3,1,3,0,0.0,0
144,144,0,1,24,1,2,791,3,3,3,3,5,3,5,5,2,1,3,1,3,5,39,6.0,0
145,145,0,0,68,0,2,480,3,4,3,3,5,3,5,5,2,4,3,4,4,5,7,6.0,0
146,146,0,0,46,1,1,1786,1,1,1,1,3,5,5,5,5,5,5,5,5,3,1,7.0,1
147,147,0,0,43,1,1,1849,2,2,2,2,2,4,4,3,3,4,3,3,3,4,0,7.0,1
148,148,1,0,55,1,1,3634,0,4,0,4,4,5,5,4,4,1,1,4,4,3,0,0.0,1
149,149,1,0,54,0,1,844,4,5,5,2,2,4,4,3,3,5,3,3,3,4,0,0.0,0
150,150,1,0,42,1,1,3094,5,5,5,5,4,4,5,2,2,2,2,5,2,3,0,10.0,1
151,151,1,0,47,1,1,3465,1,3,3,3,3,3,4,1,1,1,1,1,1,4,13,15.0,0
152,152,1,1,29,1,1,1035,1,1,1,1,5,1,5,5,4,4,4,4,4,5,0,0.0,0
153,153,1,0,36,1,2,237,2,4,4,4,2,2,2,2,2,4,2,1,1,2,0,0.0,0
154,154,1,0,50,1,1,3175,4,4,4,4,2,4,5,5,5,5,5,4,5,3,0,0.0,1
155,155,1,0,31,0,2,760,4,2,4,4,1,4,1,1,3,4,4,4,4,1,17,27.0,0
156,156,0,0,13,0,2,853,1,4,1,4,4,1,4,4,5,2,5,4,4,4,105,122.0,0
157,157,0,1,24,1,2,446,3,4,4,4,5,4,5,5,4,4,4,2,4,5,0,0.0,0
158,158,1,0,60,1,1,1071,2,2,2,2,4,5,1,3,3,4,3,5,3,1,0,0.0,1
159,159,1,0,42,0,2,728,2,3,2,3,5,3,4,3,3,2,3,3,3,2,0,3.0,0
160,160,1,0,57,1,1,2585,2,2,2,2,4,4,4,4,3,5,4,4,3,4,0,0.0,1
161,161,1,0,42,1,1,707,2,2,4,2,2,5,4,3,3,4,3,4,3,3,27,11.0,1
162,162,0,1,20,1,2,861,0,0,0,5,2,0,2,2,4,3,5,3,5,2,0,0.0,1
163,163,1,0,51,0,2,719,3,5,2,4,3,5,4,4,4,2,4,4,4,3,19,0.0,0
164,164,0,0,45,1,1,1790,2,5,2,2,2,4,5,5,5,5,5,3,5,4,0,0.0,1
165,165,1,0,26,1,0,680,5,5,5,5,5,5,5,5,1,4,5,1,3,5,12,27.0,1
166,166,0,1,26,1,2,888,2,2,2,3,5,2,5,5,4,3,3,2,4,5,51,30.0,0
167,167,1,0,24,0,2,1660,2,1,2,3,3,2,5,3,1,4,2,2,2,3,0,2.0,0
168,168,0,0,49,1,2,578,5,1,1,1,5,5,5,1,1,1,4,5,4,5,162,179.0,1
169,169,1,0,17,1,2,606,5,1,4,1,5,5,4,5,5,1,2,5,3,5,15,15.0,1
170,170,1,0,39,1,1,1487,3,3,3,3,4,4,5,4,4,4,4,4,4,3,7,0.0,1
171,171,1,0,49,1,1,317,0,1,1,1,3,4,5,4,4,4,4,4,4,5,0,0.0,1
172,172,1,0,48,0,2,844,3,4,4,3,4,4,4,4,4,4,4,3,4,3,0,1.0,0
173,173,0,0,52,1,1,3747,5,5,5,5,2,4,5,4,4,4,4,5,4,5,24,20.0,1
174,174,1,0,25,1,1,2748,4,4,4,4,3,3,3,3,3,2,4,5,4,3,0,0.0,1
175,175,1,0,16,1,1,1503,3,5,5,5,3,3,3,3,2,4,3,2,3,3,0,0.0,0
176,176,0,0,58,1,1,1717,1,1,1,1,2,4,5,4,4,4,4,5,4,4,0,0.0,1
177,177,0,1,8,1,1,1117,4,3,4,3,3,4,3,3,4,5,4,4,3,3,0,7.0,0
178,178,0,0,42,1,1,1372,3,3,5,3,4,4,4,5,4,5,4,4,3,4,141,125.0,1
179,179,1,0,52,1,1,2768,4,1,1,1,2,4,4,4,4,3,4,2,4,4,0,0.0,0
180,180,1,0,47,1,2,370,5,3,3,3,2,1,1,5,5,5,5,3,5,4,0,0.0,1
181,181,1,0,69,0,2,1546,1,5,1,2,4,3,4,1,1,1,1,4,1,3,1,26.0,0
182,182,1,0,47,0,2,1023,2,3,3,3,5,3,3,4,4,3,1,3,4,4,0,0.0,0
183,183,1,0,41,1,1,3636,1,1,1,1,3,5,4,4,4,4,4,5,4,2,0,0.0,1
184,184,1,0,40,0,2,1325,4,4,4,3,1,4,1,1,4,2,4,5,5,1,0,9.0,0
185,185,1,0,56,0,2,2556,1,4,1,3,3,3,1,5,5,1,5,1,5,2,0,0.0,0
186,186,0,0,41,1,1,1052,2,2,2,2,4,4,4,4,4,4,4,3,4,4,6,0.0,1
187,187,1,0,40,1,2,773,3,4,4,4,3,3,3,3,2,5,4,4,4,3,15,26.0,0
188,188,0,0,12,0,1,817,2,3,2,2,1,2,1,1,1,3,5,3,2,1,0,0.0,0
189,189,0,0,59,0,2,516,4,5,3,4,1,3,1,1,5,3,4,5,4,1,3,0.0,1
190,190,1,0,21,0,2,447,1,5,1,1,2,1,2,2,3,5,5,3,4,2,34,19.0,0
191,191,0,0,12,0,2,462,2,4,2,3,2,2,2,2,3,4,2,2,1,2,0,0.0,0
192,192,0,0,31,1,2,361,1,5,5,5,1,1,1,1,2,5,3,4,4,1,0,0.0,0
193,193,1,0,37,0,2,125,3,2,3,3,2,3,2,2,3,3,3,4,3,2,6,4.0,0
194,194,1,0,38,0,2,271,4,0,5,3,2,5,2,2,4,2,4,3,5,2,0,0.0,1
195,195,0,0,45,0,2,173,2,5,0,1,2,0,5,2,5,5,4,4,4,2,0,0.0,0
196,196,0,0,43,1,1,1950,3,3,3,3,4,5,4,4,4,4,4,3,4,5,0,0.0,1
197,197,1,0,52,0,2,719,1,5,2,2,3,5,5,3,3,2,3,3,3,3,0,17.0,0
198,198,1,0,57,1,1,153,3,4,4,4,5,3,4,2,2,2,3,4,2,2,0,0.0,0
199,199,1,0,13,0,1,337,2,3,2,3,1,2,1,1,4,5,2,5,5,1,0,18.0,0
200,200,1,0,45,1,1,3732,5,5,5,5,5,5,5,5,5,5,5,3,5,4,17,0.0,1
201,201,1,0,43,1,1,3854,5,5,5,5,5,4,4,5,5,5,5,5,5,3,0,0.0,1
202,202,0,0,53,1,2,977,2,4,2,4,2,2,2,2,3,2,3,2,3,2,20,17.0,0
203,203,0,0,23,1,1,3073,4,4,1,4,5,5,5,5,1,3,1,3,3,5,0,3.0,1
204,204,1,0,16,0,2,1379,2,5,2,2,2,2,2,2,5,2,4,3,5,2,2,0.0,0
205,205,0,0,23,1,2,631,2,2,2,2,2,1,1,2,3,5,4,3,4,2,0,8.0,0
206,206,0,0,45,0,2,666,2,5,2,4,4,2,4,4,4,5,5,4,5,4,0,0.0,0
207,207,1,0,46,1,1,2820,2,2,2,2,2,1,2,5,5,5,5,2,5,3,1,0.0,1
208,208,1,0,49,0,2,577,2,5,2,2,3,4,5,1,1,2,1,4,1,3,23,2.0,0
209,209,1,0,40,1,1,2808,4,3,3,3,3,3,4,3,3,3,4,4,3,3,7,2.0,0
210,210,1,0,19,1,1,2172,5,5,5,5,4,4,4,4,4,4,4,4,4,4,0,0.0,1
211,211,1,0,48,0,2,1192,4,2,4,3,4,3,3,1,1,4,2,3,1,1,0,0.0,0
212,212,1,0,64,1,1,1773,2,4,3,4,5,3,3,2,2,3,2,4,2,4,0,0.0,0
214,214,0,0,23,0,2,1749,2,1,1,4,3,1,3,3,1,1,4,2,3,3,97,89.0,0
215,215,1,0,38,1,1,3753,2,2,2,2,1,1,5,4,4,4,4,4,4,1,0,0.0,1
216,216,0,0,41,0,2,214,1,4,1,2,2,1,1,2,4,3,5,4,5,2,16,34.0,0
217,217,0,0,29,0,2,1020,1,4,1,4,1,1,1,1,3,3,3,4,3,1,0,0.0,0
218,218,0,0,47,1,0,368,5,1,2,1,4,5,4,4,5,5,2,4,3,4,0,0.0,1
219,219,0,0,50,0,0,1448,2,3,2,5,4,2,4,4,4,3,4,3,1,4,20,4.0,0
220,220,1,0,18,0,2,1127,2,5,2,3,3,2,3,3,4,4,4,3,5,3,0,0.0,0
221,221,1,0,20,0,2,545,2,0,2,3,5,2,1,5,3,4,3,3,1,5,4,0.0,0
222,222,1,0,41,1,1,3238,2,2,2,2,5,4,5,4,4,4,4,3,4,4,0,0.0,1
223,223,1,0,12,0,2,2466,2,4,2,3,1,2,1,1,4,4,5,4,4,1,0,0.0,0
224,224,1,0,36,0,2,2715,2,3,2,3,2,3,2,4,5,3,3,2,3,2,0,0.0,0
225,225,0,0,49,1,1,337,3,4,3,3,4,5,5,4,4,4,4,5,4,3,10,0.0,1
226,226,1,0,55,0,2,1608,2,2,2,4,2,3,4,5,5,2,5,3,5,2,0,0.0,0
227,227,1,0,43,1,1,3004,3,3,3,3,2,4,3,2,2,2,3,1,2,2,0,0.0,0
228,228,1,1,49,1,1,980,2,2,2,2,3,2,3,3,3,5,5,4,4,3,11,6.0,0
229,229,1,1,35,1,2,1462,1,1,1,1,3,1,3,3,1,5,1,3,2,3,0,0.0,0
230,230,0,0,45,1,1,1521,1,1,3,1,3,5,4,5,5,5,5,4,5,4,0,0.0,1
231,231,1,0,28,1,1,862,5,5,5,5,5,5,5,5,2,3,1,1,2,5,9,5.0,1
232,232,0,0,60,1,1,1833,4,4,4,4,1,4,5,4,4,4,4,1,4,2,0,0.0,1
233,233,0,0,35,1,1,2398,2,4,2,4,1,3,2,2,2,2,2,4,2,3,0,9.0,0
234,234,1,1,38,1,1,349,3,3,3,5,4,3,4,4,5,4,4,5,5,4,29,28.0,0
235,235,0,0,48,1,1,1722,4,5,4,4,4,2,3,4,4,4,4,2,4,1,0,0.0,1
236,236,1,0,65,0,2,578,2,4,3,4,2,4,4,3,3,3,3,4,3,3,99,101.0,0
237,237,0,0,30,0,0,163,3,5,3,2,1,3,1,1,4,2,4,5,5,1,9,11.0,0
238,238,1,0,51,0,2,395,2,4,5,1,2,4,5,3,3,5,3,1,3,1,0,0.0,0
239,239,0,1,23,1,2,416,5,0,5,2,4,5,4,4,3,5,5,3,2,4,18,4.0,1
240,240,1,0,37,1,2,977,3,4,4,4,3,3,3,3,2,2,3,3,3,3,0,0.0,0
241,241,0,0,23,1,1,3095,5,5,5,5,5,5,3,5,2,5,4,3,3,5,9,0.0,1
242,242,0,0,32,1,1,738,4,4,4,4,4,4,4,4,4,2,4,3,3,4,0,3.0,0
243,243,0,0,67,0,2,719,3,3,3,4,1,3,1,1,2,2,3,1,5,1,24,14.0,0
244,244,0,0,65,0,1,226,1,4,1,1,5,5,4,4,4,1,4,5,4,3,37,20.0,0
245,245,1,0,48,1,1,1943,1,1,1,1,3,5,5,5,5,5,5,4,5,5,0,0.0,1
246,246,0,0,60,1,1,2371,4,4,4,4,2,4,5,4,4,4,4,3,4,3,66,61.0,1
247,247,1,0,31,1,1,551,3,1,1,1,3,3,3,3,3,4,3,4,4,3,53,48.0,0
248,248,0,0,22,1,0,493,4,1,5,5,4,4,4,4,2,4,2,3,4,4,19,6.0,1
249,249,0,1,27,1,2,925,2,2,2,5,5,2,5,5,2,5,5,1,4,5,4,3.0,0
250,250,1,0,19,0,2,405,2,2,2,4,1,2,1,1,3,2,4,4,3,1,0,0.0,0
251,251,1,1,26,1,2,1055,3,3,3,4,4,3,4,4,3,5,4,2,4,4,0,0.0,0
252,252,0,0,72,1,2,305,4,3,3,3,4,4,4,4,2,3,3,1,3,4,0,0.0,0
253,253,1,0,34,1,1,589,5,5,5,5,1,1,5,5,5,5,5,5,5,5,0,11.0,1
254,254,1,0,45,1,1,1587,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0.0,1
255,255,0,0,51,1,1,3090,2,4,4,4,3,3,4,2,2,2,2,4,2,1,0,0.0,0
256,256,1,1,26,1,2,804,2,2,2,3,4,2,3,4,1,4,4,1,4,4,7,0.0,0
257,257,1,0,12,0,2,719,3,4,3,3,1,3,1,1,5,2,4,4,4,1,0,0.0,0
258,258,1,0,72,1,0,67,2,5,3,5,2,3,4,3,3,2,3,4,3,3,28,18.0,0
259,259,0,0,45,1,2,550,4,2,4,4,4,4,4,4,4,4,3,5,5,4,0,0.0,1
260,260,1,0,22,1,1,2809,2,2,2,2,5,5,5,5,3,4,4,5,4,5,36,28.0,1
