,Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working%3F,Husbands_occupation,Standard-of-living_index,Media_exposure,target
65,24,2,4,1,1,1,3,1,0,0
66,44,4,2,8,1,1,3,3,0,0
67,30,2,3,3,1,1,3,1,0,0
68,23,3,4,2,1,1,3,4,0,0
69,25,4,4,1,1,0,3,3,0,0
70,47,2,3,4,1,1,2,3,0,0
71,48,2,3,8,1,1,1,4,0,0
72,29,2,3,1,1,1,1,1,0,0
73,29,2,3,1,1,1,1,2,0,0
74,21,3,4,0,1,1,2,3,0,0
75,21,3,4,1,1,1,2,3,0,0
76,29,4,4,0,1,0,2,4,0,0
77,45,3,4,3,1,1,1,4,0,0
78,33,2,3,2,1,1,3,2,0,0
79,38,4,4,1,1,0,1,4,0,0
80,24,4,4,0,0,1,1,4,0,0
81,49,4,4,6,0,0,1,4,0,0
82,24,2,4,1,1,0,4,4,0,0
83,28,4,4,0,0,0,1,4,0,0
84,30,4,4,2,1,1,1,4,0,0
85,33,4,4,2,1,1,1,4,0,0
86,25,4,4,1,1,1,1,3,0,0
87,35,4,4,3,0,1,1,4,0,0
88,27,2,4,4,1,1,1,4,0,0
89,24,2,2,3,1,0,2,1,0,0
90,25,2,3,0,1,1,2,1,0,0
91,46,2,4,6,1,1,1,4,0,0
92,26,2,2,3,1,1,2,1,0,0
93,38,2,2,1,1,0,3,2,0,0
94,47,1,2,3,1,1,1,3,0,0
95,41,1,3,10,1,1,2,3,1,0
96,41,2,3,1,1,0,2,3,0,0
97,28,4,4,5,1,1,2,1,0,0
98,17,2,2,3,1,1,3,1,0,0
99,27,2,3,5,1,1,2,1,0,0
100,27,1,2,4,1,1,3,1,1,0
101,19,2,3,0,1,0,2,2,0,0
102,27,2,4,3,1,0,3,2,0,0
103,26,4,3,4,1,1,2,3,0,0
104,23,2,4,2,1,1,3,3,0,0
105,40,3,3,3,1,1,3,2,0,0
106,22,4,4,0,1,1,1,1,0,0
107,44,3,4,4,1,0,1,3,0,0
108,29,2,3,2,1,1,3,1,0,0
109,26,2,3,3,1,1,3,1,0,0
110,45,4,4,1,1,0,3,3,0,0
111,32,3,3,7,1,0,2,3,0,0
112,21,4,4,1,1,1,1,4,0,0
113,31,2,2,4,1,1,3,3,0,0
114,21,3,4,0,1,1,1,3,0,0
115,37,4,4,1,1,1,1,4,0,0
116,34,4,4,3,0,0,3,3,0,0
117,44,3,4,1,1,1,1,3,0,0
118,49,4,3,5,1,1,2,3,0,0
119,26,2,3,2,1,1,3,3,0,0
120,38,1,2,1,1,1,2,4,1,0
121,36,2,3,5,1,1,2,3,0,0
122,26,3,4,2,1,1,3,3,0,0
123,20,2,3,1,0,1,3,2,0,0
124,44,2,1,3,1,0,3,2,0,0
125,31,3,4,2,1,1,1,2,1,0
126,45,4,4,1,1,1,1,3,0,0
127,36,2,3,2,1,1,3,2,1,0
128,43,1,3,2,1,0,2,2,1,0
129,25,3,4,0,1,1,1,3,0,0
130,48,3,4,3,1,1,3,1,0,0
131,30,4,4,0,0,0,1,3,0,0
132,48,1,2,8,1,1,3,1,0,0
133,28,3,4,1,1,1,3,1,1,0
134,26,4,4,1,1,1,1,3,0,0
135,26,3,3,3,1,0,2,4,0,0
136,24,4,4,2,1,1,3,3,0,0
137,21,3,3,2,1,1,2,2,0,0
138,30,4,4,2,0,1,3,1,0,0
139,20,4,4,1,1,1,1,4,0,0
140,33,4,4,2,1,1,1,3,0,0
141,30,4,4,0,0,0,3,3,0,0
142,47,4,4,1,1,0,1,3,0,0
143,35,4,4,2,0,1,3,3,0,0
144,30,2,4,2,1,1,3,4,0,0
145,33,4,4,3,1,1,1,4,0,0
146,45,4,4,4,1,1,2,3,0,0
147,41,4,4,2,1,1,1,4,0,0
148,32,4,4,1,1,0,1,3,0,0
149,43,4,4,5,1,1,1,4,0,0
150,44,4,4,3,1,1,2,4,0,0
151,21,1,3,4,1,1,3,2,0,0
152,44,3,4,2,1,1,1,4,1,0
153,23,4,4,2,1,1,2,4,0,0
154,47,1,2,4,1,1,2,2,0,0
155,47,1,1,7,1,1,2,3,1,0
156,35,4,4,2,1,0,2,4,0,0
157,32,2,4,4,1,1,3,2,0,0
158,45,1,4,5,1,1,1,2,1,0
159,22,2,2,2,1,1,3,1,0,0
160,23,1,1,3,1,1,2,1,1,0
161,30,4,4,0,1,0,1,4,0,0
162,44,1,3,0,1,1,2,3,0,0
163,40,3,3,1,1,0,3,3,0,0
164,34,4,4,4,1,1,2,3,0,0
165,37,3,4,1,1,1,2,4,0,0
166,49,3,4,5,1,1,1,4,0,0
167,26,4,4,1,1,1,1,4,0,0
168,22,4,4,0,1,1,2,4,0,0
169,20,3,4,0,1,0,2,4,0,0
170,47,4,4,4,1,1,1,4,0,0
171,49,2,2,8,1,0,3,1,0,0
172,22,2,4,1,1,1,2,4,0,0
173,22,3,3,2,1,1,3,4,0,0
174,25,3,2,2,1,1,3,2,0,0
175,32,2,4,0,1,0,3,4,0,0
176,28,4,4,0,0,1,1,3,0,0
177,30,2,4,4,1,0,1,4,0,0
178,45,2,4,2,1,0,2,4,0,0
179,49,2,1,10,1,0,2,4,0,0
180,34,4,4,2,1,0,1,4,0,0
181,25,2,4,1,1,1,2,2,0,0
182,42,1,3,12,1,1,3,3,0,0
183,48,2,1,3,1,0,4,3,0,0
184,35,3,4,5,1,0,2,2,0,0
185,33,2,3,1,1,1,3,4,0,0
186,20,2,4,0,1,1,3,2,0,0
187,36,2,3,4,1,1,3,1,1,0
188,19,3,3,2,1,1,3,2,0,0
189,27,3,2,3,1,1,3,2,0,0
190,30,1,2,4,1,1,4,1,0,0
191,31,3,4,3,1,0,3,2,0,0
192,44,1,1,11,1,1,4,1,1,0
193,24,3,3,2,1,1,3,3,0,0
194,18,3,4,0,1,0,3,1,0,0
195,45,1,2,6,1,1,3,3,1,0
196,25,2,2,3,1,0,3,1,0,0
197,36,3,4,6,1,1,2,4,0,0
198,30,1,1,5,1,1,2,2,0,0
199,32,2,4,2,1,1,3,3,0,0
200,42,1,4,11,0,1,2,2,1,0
201,22,2,4,0,1,1,3,3,0,0
202,36,2,4,2,1,0,2,4,0,0
203,27,2,3,2,1,1,3,3,0,0
204,40,3,4,1,1,1,1,2,0,0
205,22,2,3,2,1,1,3,1,0,0
206,26,2,4,0,1,1,3,1,0,0
207,31,3,4,0,1,0,2,3,0,0
208,32,4,4,1,1,1,1,4,0,0
209,34,2,3,3,1,0,3,2,0,0
210,40,3,3,1,0,1,3,4,0,0
211,45,1,2,1,1,0,3,3,0,0
212,26,3,4,3,1,1,3,2,0,0
213,48,1,3,5,1,1,3,2,0,0
214,43,1,3,8,1,1,3,1,0,0
215,27,3,4,2,1,0,2,2,0,0
216,42,3,2,1,1,1,3,3,0,0
217,34,3,2,8,1,0,2,3,1,0
218,32,3,2,4,1,1,2,2,1,0
219,31,3,3,2,1,0,2,3,0,0
220,22,2,3,1,1,1,3,3,0,0
221,27,3,4,0,1,1,3,3,0,0
222,37,1,2,2,1,1,2,2,1,0
223,22,1,2,0,1,1,2,4,0,0
224,47,4,4,4,1,1,1,4,0,0
225,32,4,4,4,1,0,1,3,0,0
226,37,3,3,2,1,1,1,4,0,0
227,45,1,3,1,1,1,2,3,1,0
228,47,1,4,8,1,1,3,3,0,0
229,28,3,4,0,1,1,3,2,0,0
230,48,1,3,4,1,1,3,4,1,0
231,26,2,4,1,1,1,1,3,0,0
232,21,3,4,0,1,0,3,1,0,0
233,20,2,3,1,1,1,2,4,0,0
234,39,1,1,5,1,0,3,1,1,0
235,27,2,3,1,1,0,3,4,0,0
236,37,2,3,5,1,0,3,2,0,0
237,24,4,4,1,1,1,3,3,0,0
238,39,3,3,6,1,1,3,3,0,0
239,20,3,3,1,1,1,2,3,0,0
240,19,3,4,1,1,1,2,3,0,0
241,40,3,3,4,1,1,2,2,0,0
242,41,1,4,4,1,1,3,3,0,0
243,22,4,4,2,1,1,1,3,0,0
244,32,3,4,4,1,1,1,4,0,0
245,34,4,4,2,0,1,1,4,0,0
246,34,4,4,2,1,0,1,3,0,0
247,23,4,4,2,1,1,1,4,0,0
248,27,4,4,1,1,1,1,2,0,0
249,46,3,2,11,1,0,2,2,1,0
250,34,4,4,3,0,1,1,2,0,0
251,33,4,4,5,1,1,3,3,0,0
252,25,3,3,1,1,1,3,2,0,0
253,26,4,4,1,1,0,1,4,0,0
254,48,1,3,4,1,1,3,3,1,0
255,36,4,4,2,1,1,3,3,0,0
256,38,3,4,2,0,1,2,4,0,0
257,44,1,2,7,1,1,3,4,0,0
258,44,2,2,1,1,0,3,2,0,0
259,39,3,3,1,0,1,3,4,0,0
260,47,1,2,7,1,0,3,2,0,0
261,43,1,3,5,1,0,3,2,0,0
262,29,3,3,3,1,0,2,4,0,0
263,22,3,3,0,1,1,2,2,0,0
264,31,2,4,5,1,1,3,2,0,0
265,22,4,4,0,1,1,1,3,0,0
266,45,3,4,6,1,1,2,4,0,0
267,42,3,4,10,1,0,3,2,0,0
268,38,3,3,7,1,1,3,1,0,0
269,47,1,1,6,1,0,3,1,0,0
270,30,4,4,2,1,1,1,4,0,0
271,28,3,4,1,1,1,3,4,0,0
272,25,3,4,1,1,1,2,1,0,0
273,49,2,4,6,0,1,2,3,0,0
274,23,3,4,2,1,0,2,3,0,0
275,35,3,4,1,0,1,2,3,0,0
276,47,2,1,5,0,1,2,4,0,0
277,35,2,3,0,1,1,2,4,0,0
278,44,3,4,6,1,1,3,4,0,0
279,48,4,4,3,1,1,2,4,0,0
280,43,2,3,6,1,0,3,3,0,0
281,21,2,4,2,1,1,3,1,0,0
282,22,4,4,0,1,1,1,4,0,0
283,41,3,3,5,1,1,3,4,0,0
284,29,2,4,2,1,0,4,4,1,0
285,44,4,4,5,0,1,2,4,0,0
286,22,4,4,0,1,0,1,4,0,0
287,23,2,4,4,1,1,3,3,0,0
288,22,2,1,0,1,1,3,2,0,0
289,35,1,3,0,1,1,2,2,1,0
290,24,4,4,1,1,1,2,2,0,0
291,36,4,4,4,1,1,1,4,0,0
292,47,1,2,2,1,1,2,4,0,0
293,40,4,4,3,1,1,3,4,0,0
294,29,4,4,1,1,1,1,3,0,0
295,49,3,4,6,1,1,1,4,0,0
296,49,3,4,9,1,1,1,4,0,0
297,47,4,4,2,1,1,1,4,0,0
298,28,4,4,3,0,1,1,4,0,0
299,26,4,4,1,1,1,1,4,0,0
300,29,1,2,7,1,1,2,4,0,0
301,29,4,2,0,1,0,2,2,0,0
302,25,3,3,1,1,1,3,4,0,0
303,24,2,4,2,1,1,3,4,0,0
304,23,4,4,1,1,0,2,4,0,0
305,23,4,4,2,1,0,3,3,0,0
306,44,1,2,2,1,1,2,4,0,0
307,39,3,4,6,1,1,1,4,0,0
308,21,3,3,0,1,1,2,2,0,0
309,22,3,4,2,1,1,2,3,0,0
310,47,3,4,3,1,1,2,3,0,0
311,36,3,3,2,1,0,2,4,0,0
312,25,1,4,2,1,0,3,3,1,0
313,40,4,4,2,1,1,3,4,0,0
314,36,2,2,0,0,0,3,3,0,0
315,37,2,3,5,0,0,2,4,0,0
316,28,1,4,2,1,0,2,3,0,0
317,30,3,3,5,1,0,3,4,0,0
318,16,3,4,1,1,1,3,3,0,0
319,32,2,3,4,0,1,2,4,0,0
320,40,4,4,3,0,1,3,4,0,0
321,40,1,1,2,1,0,3,4,0,0
322,45,3,4,2,0,1,1,4,0,0
323,21,1,3,0,1,0,3,4,1,0
324,28,4,4,1,0,1,1,3,0,0
325,25,4,4,1,0,1,2,3,0,0
326,44,1,3,4,1,1,3,3,1,0
327,35,4,4,2,0,1,3,4,0,0
328,49,4,4,4,1,1,3,4,0,0
329,39,3,4,1,0,1,3,4,0,0
330,32,3,4,1,0,1,2,4,0,0
331,35,1,2,0,1,0,4,4,0,0
332,21,1,2,1,1,0,3,4,0,0
333,47,4,4,1,0,1,1,4,0,0
334,27,4,4,1,0,1,3,4,0,0
335,31,2,2,8,1,1,2,2,1,0
336,34,4,3,0,0,0,3,3,0,0
337,30,4,4,3,1,0,2,4,0,0
338,25,4,4,0,1,0,2,4,0,0
339,28,3,4,3,1,1,2,1,0,0
340,30,2,3,4,1,0,3,2,0,0
341,42,3,3,8,1,1,4,3,0,0
342,23,4,4,0,0,1,2,4,0,0
343,45,3,4,3,0,1,3,4,0,0
344,21,4,4,1,1,1,3,3,0,0
345,28,4,4,1,0,1,2,4,0,0
346,33,4,4,1,0,0,3,4,0,0
347,32,1,2,4,1,1,3,2,1,0
348,25,2,2,3,1,1,3,3,0,0
349,25,3,3,1,1,1,3,1,0,0
350,19,2,2,2,1,1,3,1,0,0
351,40,1,2,6,1,1,3,1,1,0
352,24,2,2,2,1,1,3,1,1,0
353,32,2,2,1,1,1,2,1,0,0
354,35,2,3,8,1,1,3,2,0,0
355,27,2,2,1,1,0,3,2,1,0
356,23,2,4,2,1,1,1,4,0,0
357,22,2,4,4,1,1,3,4,0,0
358,49,2,3,0,1,1,1,2,0,0
359,25,2,3,0,1,1,2,4,0,0
360,18,3,4,1,1,1,3,1,0,0
361,43,3,3,4,1,1,2,4,0,0
362,37,1,3,0,1,1,3,4,0,0
363,30,2,3,2,1,0,2,4,0,0
364,29,3,2,0,1,1,2,2,0,0
365,20,2,3,3,1,1,3,4,0,0
366,42,3,3,3,1,0,2,4,0,0
367,23,4,4,1,1,1,2,3,0,0
368,34,2,3,7,1,0,3,3,0,0
369,23,3,3,6,1,1,3,3,0,0
370,38,3,3,5,1,1,1,4,0,0
371,37,2,3,4,1,1,2,3,0,0
372,17,2,3,1,1,1,3,2,0,0
373,39,3,4,3,1,1,1,4,0,0
374,49,1,3,0,1,1,3,3,1,0
375,23,3,3,2,1,1,2,2,0,0
376,40,3,3,3,1,1,2,2,1,0
377,32,2,4,5,1,1,2,3,0,0
378,18,2,3,1,1,1,2,3,0,0
379,46,1,2,8,1,1,3,3,1,0
380,37,3,3,6,1,1,2,2,0,0
381,38,2,4,5,0,1,2,2,0,0
382,37,2,3,2,0,0,3,3,0,0
383,25,2,3,1,1,0,2,1,0,0
384,38,2,4,5,1,1,3,3,0,0
385,39,4,4,2,1,0,1,4,0,0
386,44,4,4,3,1,0,1,4,1,0
387,19,4,4,0,0,1,3,4,0,0
388,28,2,4,1,1,0,3,4,0,0
389,20,2,3,1,1,1,3,4,0,0
390,33,4,4,0,1,0,3,3,0,0
391,33,4,4,5,1,1,3,4,0,0
392,47,1,4,6,1,1,1,4,0,0
393,25,3,3,0,1,1,3,4,0,0
394,29,4,4,0,1,0,2,4,0,0
395,37,4,4,2,0,1,1,4,0,0
396,49,1,3,6,1,1,2,4,0,0
397,48,1,1,8,1,0,2,2,1,0
398,19,2,2,0,1,1,2,2,0,0
399,46,1,2,3,1,1,2,1,1,0
400,39,1,2,2,1,1,3,1,1,0
401,30,3,4,5,1,1,1,4,0,0
402,40,2,2,8,1,1,2,2,0,0
403,43,1,2,1,1,1,3,4,1,0
404,29,3,4,4,1,0,1,3,0,0
405,23,3,3,2,1,1,3,3,0,0
406,24,2,2,3,1,1,2,4,0,0
407,47,3,3,2,1,1,2,4,0,0
408,35,3,3,2,1,0,2,2,0,0
409,19,3,3,1,1,1,2,4,0,0
410,45,2,3,4,1,0,2,4,0,0
411,42,2,4,2,1,1,3,4,0,0
412,47,1,1,1,1,1,3,4,0,0
413,25,2,2,2,1,1,3,1,0,0
414,20,2,3,3,1,1,3,4,0,0
415,33,3,3,6,1,1,3,4,0,1
416,46,4,3,5,1,1,1,4,0,1
417,35,4,4,4,1,1,1,4,0,1
418,26,4,4,2,1,0,1,4,0,1
419,36,3,3,5,1,0,1,3,0,1
420,37,3,4,3,1,1,1,3,0,1
421,44,2,4,4,1,1,3,3,0,1
422,32,4,4,2,1,1,1,4,0,1
423,25,2,4,6,1,1,3,4,0,1
424,42,2,3,7,1,1,3,4,0,1
425,30,4,4,2,0,0,1,4,0,1
426,39,4,4,4,1,1,1,4,0,1
427,26,1,1,2,1,1,3,4,0,1
428,30,2,4,3,1,1,3,4,0,1
429,38,4,4,4,0,0,1,2,0,1
430,23,4,4,1,1,1,1,2,0,1
431,18,3,4,1,1,1,3,4,0,1
432,25,3,4,3,1,1,2,3,0,1
433,37,4,4,2,1,0,3,3,0,1
434,20,3,4,1,1,1,3,2,0,1
435,45,4,4,7,1,1,1,4,0,1
436,28,2,1,2,1,0,3,3,0,1
437,33,2,2,3,1,1,2,3,0,1
438,28,2,3,2,1,1,3,3,0,1
439,30,2,4,1,1,0,3,4,0,1
440,32,4,4,4,1,1,2,4,0,1
441,48,4,3,7,1,0,2,4,0,1
442,46,4,4,2,1,0,1,4,0,1
443,32,4,4,2,0,0,1,4,0,1
444,49,4,4,10,1,1,1,4,0,1
445,33,2,2,6,1,0,3,4,0,1
446,39,4,4,3,1,1,1,4,0,1
447,35,4,4,5,0,0,1,4,0,1
448,36,4,4,3,0,1,1,3,0,1
449,20,3,4,1,1,1,2,4,0,1
450,23,4,4,1,1,1,3,4,0,1
451,26,2,4,2,1,1,1,3,0,1
452,25,3,3,1,1,1,3,1,0,1
453,31,4,4,1,1,1,1,4,0,1
454,36,4,4,2,1,1,2,4,0,1
455,32,3,3,2,1,0,3,4,0,1
456,36,4,4,3,1,1,1,4,0,1
457,40,4,4,3,1,1,1,4,0,1
458,46,4,4,4,1,1,1,4,0,1
459,42,4,4,8,0,1,1,4,0,1
460,39,4,4,4,1,0,1,4,0,1
461,34,4,4,2,1,1,1,4,0,1
462,36,4,4,3,1,1,1,4,0,1
463,37,4,4,3,1,1,1,4,0,1
464,36,4,4,4,0,1,1,4,0,1
465,38,4,4,2,1,1,1,4,0,1
466,27,3,3,1,0,0,2,4,0,1
467,37,4,3,8,1,1,1,4,0,1
468,24,1,4,1,1,0,4,2,1,1
469,42,2,4,8,1,1,1,4,0,1
470,31,4,4,3,0,0,4,4,0,1
471,34,2,3,2,1,1,3,3,0,1
472,34,4,4,4,1,1,3,3,0,1
473,36,4,4,4,0,0,1,4,0,1
474,47,4,4,8,1,1,1,4,0,1
475,34,4,4,3,1,1,1,4,0,1
476,44,4,4,6,0,1,1,3,0,1
477,21,4,4,1,1,1,1,4,0,1
478,42,4,4,6,1,1,1,3,0,1
479,44,4,4,4,1,0,2,3,0,1
480,19,4,4,1,1,1,2,3,0,1
481,35,1,3,7,1,0,2,3,1,1
482,24,4,4,1,1,1,3,2,0,1
483,32,3,4,7,0,1,1,3,0,1
484,31,3,3,2,1,0,3,3,0,1
485,47,3,4,11,1,0,2,3,0,1
486,38,4,4,6,1,0,3,3,0,1
487,40,4,4,4,1,1,1,3,0,1
488,35,3,3,4,1,1,3,2,0,1
489,26,3,4,3,1,1,3,4,0,1
490,23,4,3,3,1,1,3,3,0,1
491,40,4,4,6,0,0,1,4,0,1
492,37,4,4,3,1,1,1,4,0,1
493,39,4,4,5,1,1,2,4,0,1
494,25,4,4,2,1,1,2,4,0,1
495,48,4,4,4,0,1,1,4,0,1
496,31,4,4,3,1,1,1,4,0,1
497,26,4,4,1,0,1,2,4,0,1
498,44,4,4,5,1,0,1,4,0,1
499,29,4,4,1,1,0,2,4,0,1
500,36,2,1,6,1,1,2,1,0,1
501,29,4,4,2,1,0,1,3,0,1
502,37,2,3,7,1,1,3,4,0,1
503,28,3,3,3,1,1,1,2,0,1
504,40,2,3,6,1,1,1,2,0,1
505,33,4,4,4,1,1,1,4,0,1
506,22,4,4,1,1,1,1,2,0,1
507,35,3,4,5,1,0,1,3,1,1
508,32,4,4,3,0,1,3,3,0,1
509,35,4,4,5,1,0,1,3,0,1
510,29,4,4,2,1,1,1,4,0,1
511,23,3,3,2,1,0,3,4,0,1
512,35,4,4,2,1,0,1,4,0,1
513,36,4,4,3,1,0,2,4,0,1
514,32,4,4,2,1,0,1,4,0,1
515,30,4,1,4,1,1,3,3,0,1
516,36,4,4,4,0,1,2,4,0,1
517,33,4,4,3,1,1,3,4,0,1
518,33,3,4,5,0,1,3,3,0,1
519,43,2,4,13,1,1,2,3,0,1
520,35,3,3,6,1,1,2,3,0,1
521,38,4,4,5,1,1,1,3,0,1
522,25,3,1,4,1,1,3,1,0,1
523,26,3,3,2,1,1,3,2,0,1
524,24,4,4,1,1,1,3,4,0,1
525,22,3,4,1,1,1,4,4,0,1
526,33,2,3,5,1,0,2,1,0,1
527,45,3,3,7,1,1,3,4,0,1
528,29,4,4,2,1,0,1,3,0,1
529,47,2,2,7,1,1,2,4,0,1
530,36,3,2,6,1,1,3,2,0,1
531,45,3,3,8,1,1,2,3,0,1
532,47,4,4,6,1,0,1,4,0,1
533,43,3,4,2,1,0,2,4,0,1
534,44,4,4,7,1,1,3,2,0,1
535,24,2,4,2,1,1,3,3,0,1
536,28,4,4,2,1,0,1,3,0,1
537,34,4,4,5,1,1,3,4,0,1
538,31,3,4,4,1,1,1,3,0,1
539,27,4,4,3,1,1,1,4,0,1
540,27,3,3,1,1,0,3,4,0,1
541,26,4,4,1,1,0,1,3,0,1
542,36,3,4,7,1,1,2,2,0,1
543,35,4,4,4,0,1,3,3,0,1
544,38,4,4,6,1,1,3,3,0,1
545,44,4,4,7,1,1,2,4,0,1
546,25,4,4,1,1,1,1,4,0,1
547,25,4,4,2,0,1,1,3,0,1
548,41,4,4,4,1,1,1,4,0,1
549,41,3,4,5,1,1,1,3,0,1
550,24,4,4,1,1,0,1,4,0,1
551,33,4,4,3,1,1,3,3,0,1
552,29,4,4,3,1,0,3,3,0,1
553,47,4,4,4,1,0,1,4,0,1
554,28,4,4,4,1,1,1,3,0,1
555,21,2,2,1,1,1,3,2,0,1
556,32,3,3,6,1,0,3,3,0,1
557,30,3,4,2,1,1,1,4,0,1
558,37,4,4,5,1,1,3,4,0,1
559,29,4,3,4,1,0,3,2,0,1
560,38,4,4,3,1,0,1,4,0,1
561,49,3,3,11,1,1,1,4,0,1
562,41,3,3,5,1,1,1,4,0,1
563,43,3,4,5,1,1,3,2,1,1
564,47,1,1,10,1,1,3,3,0,1
565,22,4,4,1,1,1,1,3,0,1
566,27,4,4,1,0,0,1,4,0,1
567,34,3,4,2,0,1,2,3,0,1
568,42,3,3,4,1,1,2,4,0,1
569,39,4,4,3,0,0,1,4,0,1
570,36,4,4,3,0,1,2,4,0,1
571,21,4,4,1,1,1,2,1,0,1
572,36,3,4,4,0,0,2,4,0,1
573,25,2,3,1,1,0,4,4,0,1
574,41,4,4,4,0,0,2,4,0,1
575,32,4,4,4,0,0,2,4,0,1
576,41,4,4,4,0,0,2,4,0,1
577,43,4,4,3,0,1,1,4,0,1
578,35,4,4,3,1,1,2,3,0,1
579,24,4,4,2,1,0,1,3,0,1
580,43,4,4,6,1,1,1,4,0,1
581,48,4,4,7,0,1,1,4,0,1
582,28,4,4,2,1,1,1,3,0,1
583,24,4,4,1,1,1,1,4,0,1
584,42,4,4,3,1,0,1,4,0,1
585,39,4,4,3,1,1,1,4,0,1
586,24,4,4,1,1,1,1,4,0,1
587,33,4,3,5,1,1,2,4,0,1
588,29,4,4,2,1,1,3,4,0,1
589,44,4,4,5,1,1,1,4,0,1
590,17,4,4,1,1,1,2,4,0,1
591,35,3,4,3,1,1,2,2,0,1
592,32,3,4,5,1,1,1,2,0,1
593,27,4,4,2,1,0,1,3,0,1
594,44,4,4,4,1,1,1,4,0,1
595,42,4,4,5,1,1,1,4,0,1
596,40,4,4,6,1,1,1,3,0,1
597,44,4,4,3,1,1,1,4,0,1
598,33,4,4,5,1,1,2,4,0,1
599,35,2,4,3,0,0,3,4,1,1
600,31,4,2,2,0,1,1,3,0,1
601,37,4,4,3,0,1,3,4,0,1
602,45,4,4,3,0,1,2,4,0,1
603,26,4,4,2,0,1,1,4,0,1
604,40,3,4,2,0,1,3,4,0,1
605,30,4,4,1,0,1,2,4,0,1
606,36,3,4,3,0,0,3,4,0,1
607,33,3,4,3,0,1,2,4,0,1
608,41,4,4,5,0,1,2,4,0,1
609,45,3,3,6,0,1,2,4,0,1
610,48,4,4,6,0,1,2,4,0,1
611,35,4,4,3,0,0,3,4,0,1
612,37,4,4,4,0,0,2,4,0,1
613,46,4,4,3,0,0,1,4,0,1
614,38,4,4,4,0,1,3,4,0,1
615,30,3,4,7,1,1,2,4,0,1
616,42,4,3,7,1,0,1,4,0,1
617,35,2,2,6,1,1,3,4,0,1
618,34,4,4,6,1,1,3,4,0,1
619,37,4,4,4,1,1,1,4,0,1
620,38,4,4,6,1,1,1,4,0,1
621,30,3,3,2,1,1,2,3,0,1
622,46,4,4,4,1,1,1,4,0,1
623,31,4,4,3,0,1,2,4,0,1
624,41,4,4,6,0,1,1,4,0,1
625,41,4,4,7,1,1,2,4,0,1
626,32,4,4,2,0,0,2,4,0,1
627,44,4,4,4,1,1,1,4,0,1
