,ID,Age,Occupation,Gender,Same_ofiice_home_location,kids,RM_save_money,RM_quality_time,RM_better_sleep,calmer_stressed,RM_professional_growth,RM_lazy,RM_productive,digital_connect_sufficient,RM_better_work_life_balance,RM_improved_skillset,RM_job_opportunities,target
181,182,23,3,0,0,1,0,0,0,1,3,4,4,1,2,3,2,1
182,183,24,6,1,1,1,0,0,1,1,3,5,4,0,2,3,2,1
183,184,25,2,0,0,1,0,0,0,0,3,4,4,0,3,4,2,0
184,185,57,4,1,0,0,0,0,0,0,4,4,4,0,5,3,1,0
185,186,24,4,0,1,1,0,1,1,1,4,4,4,0,1,4,0,1
186,187,22,2,1,1,1,1,1,1,1,4,4,2,1,2,2,2,1
187,188,42,0,0,0,0,0,0,1,1,1,1,5,0,4,5,0,1
188,189,32,2,0,0,0,0,0,0,0,4,1,5,0,3,3,2,0
189,190,26,1,1,0,1,0,0,1,1,2,4,5,0,4,4,2,1
190,191,36,0,0,0,0,0,0,0,0,4,3,3,1,1,1,2,1
191,192,25,6,0,1,1,0,1,1,1,4,3,3,0,3,1,2,1
192,193,54,4,1,0,0,0,0,0,0,4,4,4,0,5,3,1,0
193,194,25,5,0,0,1,0,0,0,0,1,1,5,0,5,4,2,0
194,195,42,0,0,0,0,0,0,1,1,1,1,5,0,4,5,0,1
195,196,29,2,0,0,0,0,0,1,1,2,3,3,0,4,5,0,0
196,197,23,0,1,1,1,1,1,1,0,3,3,3,1,3,3,1,0
197,198,26,2,0,0,1,0,0,1,1,3,2,4,1,3,5,0,1
198,199,27,5,1,1,1,0,0,0,1,3,4,4,0,4,5,0,0
199,200,26,2,1,1,1,0,1,0,1,3,3,3,0,4,3,2,1
200,201,24,1,0,1,0,0,1,1,1,5,3,5,0,1,3,1,1
201,202,28,6,1,0,1,1,1,1,1,2,4,3,1,2,5,2,1
202,203,32,2,0,0,0,0,0,0,0,4,1,5,0,3,3,2,0
203,204,52,4,1,0,0,0,0,0,0,4,4,4,0,5,3,1,0
204,205,22,5,1,0,1,0,0,1,1,4,4,4,1,4,3,2,1
205,206,25,5,0,1,0,0,1,1,1,5,3,5,0,1,3,1,1
206,207,23,0,0,1,1,0,0,0,0,3,3,4,1,2,3,1,1
