,top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,target
68,0,0,0,2,0,1,2,2,0,0
69,0,0,0,2,1,0,0,0,0,0
70,0,0,0,2,1,0,1,1,0,0
71,0,0,0,2,1,0,1,0,1,0
72,0,0,0,2,1,0,1,2,2,0
73,0,0,0,2,1,0,2,0,2,0
74,0,0,0,2,1,0,2,2,0,0
75,0,0,0,2,1,1,1,0,2,0
76,0,0,0,2,1,1,1,2,0,0
77,0,0,0,2,1,1,2,0,0,0
78,0,0,1,0,2,0,1,0,1,0
79,0,0,1,0,0,2,0,0,0,0
80,0,0,1,0,0,0,0,0,1,0
81,0,0,1,0,0,0,0,2,2,0
82,0,0,1,0,0,1,0,0,2,0
83,0,0,1,0,0,1,0,2,0,0
84,0,0,1,0,1,0,0,0,2,0
85,0,0,1,0,1,1,0,0,0,0
86,0,0,1,1,2,2,1,1,0,0
87,0,0,1,1,2,2,1,0,1,0
88,0,0,1,1,2,0,0,0,1,0
89,0,0,1,1,2,0,1,1,1,0
90,0,0,1,1,2,0,2,1,2,0
91,0,0,1,1,2,0,2,2,1,0
92,0,0,1,1,2,1,1,1,2,0
93,0,0,1,1,2,1,1,2,1,0
94,0,0,1,1,2,1,2,1,0,0
95,0,0,1,1,2,1,2,0,1,0
96,0,0,1,2,2,0,1,1,2,0
97,0,0,1,2,2,0,1,2,1,0
98,0,0,1,2,2,0,2,0,1,0
99,0,0,1,2,2,1,1,1,0,0
100,0,0,1,2,2,1,1,0,1,0
101,0,0,2,0,0,0,0,0,2,0
102,0,0,2,0,0,0,0,2,0,0
103,0,0,2,0,0,1,0,0,0,0
104,0,0,2,0,1,0,0,0,0,0
105,0,0,2,1,2,0,1,1,2,0
106,0,0,2,1,2,0,1,2,1,0
107,0,0,2,1,2,0,2,1,0,0
108,0,0,2,1,2,0,2,0,1,0
109,0,0,2,1,2,1,1,1,0,0
110,0,0,2,1,2,1,1,0,1,0
111,0,0,2,2,2,0,1,1,0,0
112,0,0,2,2,2,0,1,0,1,0
113,0,1,0,0,2,0,0,0,0,0
114,0,1,0,0,2,0,1,0,1,0
115,0,1,0,0,0,0,0,1,0,0
116,0,1,0,0,0,0,0,2,2,0
117,0,1,0,0,0,1,0,2,0,0
118,0,1,0,0,1,0,0,0,2,0
119,0,1,0,0,1,0,0,2,0,0
120,0,1,0,0,1,1,0,0,0,0
121,0,1,0,1,2,2,0,0,0,0
122,0,1,0,1,2,2,1,0,1,0
123,0,1,0,1,2,0,0,1,0,0
124,0,1,0,1,2,0,0,0,1,0
125,0,1,0,1,2,0,0,2,2,0
126,0,1,0,1,2,0,1,1,1,0
127,0,1,0,1,2,0,2,2,1,0
128,0,1,0,1,2,1,0,0,2,0
129,0,1,0,1,2,1,0,2,0,0
130,0,1,0,1,2,1,1,2,1,0
131,0,1,0,1,2,1,2,0,1,0
132,0,1,0,1,0,2,1,1,1,0
133,0,1,0,1,0,2,2,2,1,0
134,0,1,0,1,1,2,1,2,1,0
135,0,1,0,1,1,2,2,0,1,0
136,0,1,0,2,2,0,0,0,2,0
137,0,1,0,2,2,0,0,2,0,0
138,0,1,0,2,2,0,1,2,1,0
139,0,1,0,2,2,0,2,0,1,0
140,0,1,0,2,2,1,0,0,0,0
141,0,1,0,2,2,1,1,0,1,0
142,0,1,0,2,0,2,1,2,1,0
143,0,1,0,2,1,2,1,0,1,0
144,0,1,1,0,2,2,0,0,0,0
145,0,1,1,0,2,2,1,1,0,0
146,0,1,1,0,2,2,1,0,1,0
147,0,1,1,0,2,2,1,2,2,0
148,0,1,1,0,2,2,2,0,2,0
149,0,1,1,0,2,2,2,2,0,0
150,0,1,1,0,2,0,0,0,1,0
151,0,1,1,0,2,0,0,2,2,0
152,0,1,1,0,2,0,1,1,1,0
153,0,1,1,0,2,0,2,2,1,0
154,0,1,1,0,2,1,0,0,2,0
155,0,1,1,0,2,1,0,2,0,0
156,0,1,1,0,2,1,1,2,1,0
157,0,1,1,0,2,1,2,0,1,0
158,0,1,1,0,0,2,0,1,0,0
159,0,1,1,0,0,2,0,2,2,0
160,0,1,1,0,0,0,0,1,1,0
161,0,1,1,0,0,1,0,1,2,0
162,0,1,1,0,0,1,0,2,1,0
163,0,1,1,0,1,2,0,0,2,0
164,0,1,1,0,1,2,0,2,0,0
165,0,1,1,0,1,0,0,1,2,0
166,0,1,1,0,1,0,0,2,1,0
167,0,1,1,0,1,1,0,1,0,0
168,0,1,1,0,1,1,0,0,1,0
169,0,1,1,0,1,1,0,2,2,0
170,0,1,1,1,2,2,0,0,1,0
171,0,1,1,1,2,2,1,1,1,0
172,0,1,1,1,2,2,2,2,1,0
173,0,1,1,1,2,0,0,1,1,0
174,0,1,1,1,2,1,0,2,1,0
175,0,1,1,1,2,1,2,1,1,0
176,0,1,1,1,0,2,0,1,1,0
177,0,1,1,1,1,1,0,1,1,0
178,0,1,1,2,2,2,1,2,1,0
179,0,1,1,2,2,2,2,0,1,0
180,0,1,1,2,2,0,0,2,1,0
181,0,1,1,2,2,0,2,1,1,0
182,0,1,1,2,2,1,0,0,1,0
183,0,1,1,2,2,1,1,1,1,0
184,0,1,1,2,2,1,2,2,1,0
185,0,1,1,2,0,1,0,1,1,0
186,0,1,1,2,1,0,0,1,1,0
187,0,1,2,0,2,2,1,0,2,0
188,0,1,2,0,2,2,1,2,0,0
189,0,1,2,0,2,2,2,0,0,0
190,0,1,2,0,2,0,0,0,2,0
191,0,1,2,0,2,0,0,2,0,0
192,0,1,2,0,2,0,1,2,1,0
193,0,1,2,0,2,0,2,0,1,0
194,0,1,2,0,2,1,0,0,0,0
195,0,1,2,0,2,1,1,0,1,0
196,0,1,2,0,0,2,0,2,0,0
197,0,1,2,0,0,0,0,1,2,0
198,0,1,2,0,0,0,0,2,1,0
199,0,1,2,0,0,1,0,1,0,0
200,0,1,2,0,0,1,0,2,2,0
201,0,1,2,0,1,2,0,0,0,0
202,0,1,2,0,1,0,0,1,0,0
203,0,1,2,0,1,0,0,0,1,0
204,0,1,2,0,1,0,0,2,2,0
205,0,1,2,0,1,1,0,0,2,0
206,0,1,2,0,1,1,0,2,0,0
207,0,1,2,1,2,2,1,2,1,0
208,0,1,2,1,2,2,2,0,1,0
209,0,1,2,1,2,0,0,2,1,0
210,0,1,2,1,2,0,2,1,1,0
211,0,1,2,1,2,1,0,0,1,0
212,0,1,2,1,2,1,1,1,1,0
213,0,1,2,1,2,1,2,2,1,0
214,0,1,2,1,0,1,0,1,1,0
215,0,1,2,1,1,0,0,1,1,0
216,0,1,2,2,2,2,1,0,1,0
217,0,1,2,2,2,0,0,0,1,0
218,0,1,2,2,2,0,1,1,1,0
219,0,1,2,2,2,0,2,2,1,0
220,0,1,2,2,2,1,1,2,1,0
221,0,1,2,2,2,1,2,0,1,0
222,0,1,2,2,0,0,0,1,1,0
223,0,2,0,0,0,0,0,0,2,0
224,0,2,0,0,0,0,0,2,0,0
225,0,2,0,0,0,1,0,0,0,0
226,0,2,0,0,1,0,0,0,0,0
227,0,2,0,1,2,0,0,0,2,0
228,0,2,0,1,2,0,0,2,0,0
229,0,2,0,1,2,0,1,2,1,0
230,0,2,0,1,2,0,2,0,1,0
231,0,2,0,1,2,1,0,0,0,0
232,0,2,0,1,2,1,1,0,1,0
233,0,2,0,1,0,2,1,2,1,0
234,0,2,0,1,0,2,2,0,1,0
235,0,2,0,1,1,2,1,0,1,0
236,0,2,0,2,2,0,0,0,0,0
237,0,2,0,2,2,0,1,0,1,0
238,0,2,0,2,0,2,1,0,1,0
239,0,2,1,0,2,2,1,0,2,0
240,0,2,1,0,2,2,1,2,0,0
241,0,2,1,0,2,2,2,0,0,0
242,0,2,1,0,2,0,0,0,2,0
243,0,2,1,0,2,0,1,2,1,0
244,0,2,1,0,2,0,2,0,1,0
245,0,2,1,0,2,1,0,0,0,0
246,0,2,1,0,2,1,1,0,1,0
247,0,2,1,0,0,2,0,0,2,0
248,0,2,1,0,0,2,0,2,0,0
249,0,2,1,0,0,0,0,1,2,0
250,0,2,1,0,0,0,0,2,1,0
251,0,2,1,0,0,1,0,1,0,0
252,0,2,1,0,0,1,0,0,1,0
253,0,2,1,0,0,1,0,2,2,0
254,0,2,1,0,1,2,0,0,0,0
255,0,2,1,0,1,0,0,0,1,0
256,0,2,1,0,1,0,0,2,2,0
257,0,2,1,0,1,1,0,0,2,0
258,0,2,1,0,1,1,0,2,0,0
259,0,2,1,1,2,2,1,2,1,0
260,0,2,1,1,2,2,2,0,1,0
261,0,2,1,1,2,0,0,2,1,0
262,0,2,1,1,2,0,2,1,1,0
263,0,2,1,1,2,1,0,0,1,0
264,0,2,1,1,2,1,1,1,1,0
265,0,2,1,1,2,1,2,2,1,0
266,0,2,1,1,0,1,0,1,1,0
267,0,2,1,1,1,0,0,1,1,0
268,0,2,1,2,2,2,1,0,1,0
269,0,2,1,2,2,0,0,0,1,0
270,0,2,1,2,2,0,1,1,1,0
271,0,2,1,2,2,0,2,2,1,0
272,0,2,1,2,2,1,1,2,1,0
273,0,2,1,2,2,1,2,0,1,0
274,0,2,1,2,0,0,0,1,1,0
275,0,2,2,0,2,0,0,0,0,0
276,0,2,2,0,2,0,1,0,1,0
277,0,2,2,0,0,2,0,0,0,0
278,0,2,2,0,0,0,0,1,0,0
279,0,2,2,0,0,0,0,0,1,0
280,0,2,2,0,0,0,0,2,2,0
281,0,2,2,0,0,1,0,0,2,0
282,0,2,2,0,0,1,0,2,0,0
283,0,2,2,0,1,0,0,0,2,0
284,0,2,2,0,1,0,0,2,0,0
285,0,2,2,0,1,1,0,0,0,0
286,0,2,2,1,2,2,1,0,1,0
287,0,2,2,1,2,0,0,0,1,0
288,0,2,2,1,2,0,1,1,1,0
289,0,2,2,1,2,0,2,2,1,0
290,0,2,2,1,2,1,1,2,1,0
291,0,2,2,1,2,1,2,0,1,0
292,0,2,2,2,2,0,1,2,1,0
293,0,2,2,2,2,0,2,0,1,0
294,0,2,2,2,2,1,1,0,1,0
295,1,0,0,0,2,0,0,0,0,0
296,1,0,0,0,2,0,1,1,0,0
297,1,0,0,0,0,2,1,0,1,0
298,1,0,0,1,2,2,0,0,0,0
299,1,0,0,1,2,0,0,1,0,0
300,1,0,0,1,2,0,0,0,1,0
301,1,0,0,1,2,0,0,2,2,0
302,1,0,0,1,2,0,2,1,2,0
303,1,0,0,1,2,1,0,0,2,0
304,1,0,0,1,2,1,0,2,0,0
305,1,0,0,1,2,1,2,1,0,0
306,1,0,0,1,0,2,0,0,1,0
307,1,0,0,1,0,2,2,2,1,0
308,1,0,0,1,1,2,2,0,1,0
309,1,0,0,2,2,0,0,0,2,0
310,1,0,0,2,2,0,0,2,0,0
311,1,0,0,2,2,0,1,1,2,0
312,1,0,0,2,2,0,2,1,0,0
313,1,0,0,2,2,1,0,0,0,0
314,1,0,0,2,2,1,1,1,0,0
315,1,0,0,2,0,2,1,2,1,0
316,1,0,0,2,0,2,2,0,1,0
317,1,0,0,2,1,2,1,0,1,0
318,1,0,1,0,2,2,0,0,0,0
319,1,0,1,0,2,2,1,1,0,0
320,1,0,1,0,2,2,1,0,1,0
321,1,0,1,0,2,2,1,2,2,0
322,1,0,1,0,2,2,2,0,2,0
323,1,0,1,0,2,2,2,2,0,0
324,1,0,1,0,2,0,1,1,1,0
325,1,0,1,0,2,0,2,1,2,0
326,1,0,1,0,2,1,1,1,2,0
327,1,0,1,0,2,1,2,1,0,0
328,1,0,1,0,0,0,0,1,1,0
329,1,0,1,1,2,2,0,1,0,0
330,1,0,1,1,2,2,2,1,2,0
331,1,0,1,1,2,0,0,1,1,0
332,1,0,1,1,2,1,0,1,2,0
333,1,0,1,1,2,1,2,1,1,0
334,1,0,1,1,0,2,0,1,1,0
335,1,0,1,1,1,1,0,1,1,0
336,1,0,1,2,2,2,1,1,2,0
337,1,0,1,2,2,2,2,1,0,0
338,1,0,1,2,2,0,0,1,2,0
339,1,0,1,2,2,0,2,1,1,0
340,1,0,1,2,2,1,0,1,0,0
341,1,0,1,2,2,1,1,1,1,0
342,1,0,1,2,2,1,2,1,2,0
343,1,0,1,2,0,1,0,1,1,0
344,1,0,1,2,1,0,0,1,1,0
345,1,0,2,0,2,2,1,0,2,0
346,1,0,2,0,2,2,1,2,0,0
347,1,0,2,0,2,2,2,0,0,0
348,1,0,2,0,2,0,1,1,2,0
349,1,0,2,0,2,0,2,1,0,0
350,1,0,2,0,2,1,1,1,0,0
351,1,0,2,1,2,2,2,1,0,0
352,1,0,2,1,2,0,0,1,2,0
353,1,0,2,1,2,0,2,1,1,0
354,1,0,2,1,2,1,0,1,0,0
355,1,0,2,1,2,1,2,1,2,0
356,1,0,2,1,0,1,0,1,1,0
357,1,0,2,1,1,0,0,1,1,0
358,1,0,2,2,2,2,1,1,0,0
359,1,0,2,2,2,0,0,1,0,0
360,1,0,2,2,2,0,1,1,1,0
361,1,0,2,2,2,0,2,1,2,0
362,1,0,2,2,2,1,1,1,2,0
363,1,0,2,2,2,1,2,1,0,0
364,1,0,2,2,0,0,0,1,1,0
365,1,1,0,0,2,2,0,0,0,0
366,1,1,0,0,2,2,1,1,0,0
367,1,1,0,0,2,2,1,0,1,0
368,1,1,0,0,2,2,1,2,2,0
369,1,1,0,0,2,2,2,0,2,0
370,1,1,0,0,2,2,2,2,0,0
371,1,1,0,0,2,0,0,1,0,0
372,1,1,0,0,2,0,0,0,1,0
373,1,1,0,0,2,0,0,2,2,0
374,1,1,0,0,2,1,0,0,2,0
375,1,1,0,0,2,1,0,2,0,0
376,1,1,0,0,0,2,1,1,1,0
377,1,1,0,0,0,2,2,2,1,0
378,1,1,0,0,0,0,0,1,1,0
379,1,1,0,0,1,2,1,2,1,0
380,1,1,0,0,1,2,2,0,1,0
381,1,1,0,1,2,2,0,1,0,0
382,1,1,0,1,2,2,0,0,1,0
383,1,1,0,1,2,2,0,2,2,0
384,1,1,0,1,2,2,2,2,1,0
385,1,1,0,1,2,0,0,1,1,0
386,1,1,0,1,2,1,0,1,2,0
387,1,1,0,1,2,1,0,2,1,0
388,1,1,0,1,0,2,0,1,1,0
389,1,1,0,1,1,2,0,2,1,0
390,1,1,0,1,1,2,2,1,1,0
391,1,1,0,1,1,1,0,1,1,0
392,1,1,0,2,2,2,0,0,2,0
393,1,1,0,2,2,2,0,2,0,0
394,1,1,0,2,2,2,1,2,1,0
395,1,1,0,2,2,2,2,0,1,0
396,1,1,0,2,2,0,0,1,2,0
397,1,1,0,2,2,0,0,2,1,0
398,1,1,0,2,2,1,0,1,0,0
399,1,1,0,2,2,1,0,0,1,0
400,1,1,0,2,2,1,0,2,2,0
401,1,1,0,2,0,2,0,2,1,0
402,1,1,0,2,0,2,2,1,1,0
403,1,1,0,2,0,1,0,1,1,0
404,1,1,0,2,1,2,0,0,1,0
405,1,1,0,2,1,2,1,1,1,0
406,1,1,0,2,1,2,2,2,1,0
407,1,1,0,2,1,0,0,1,1,0
408,1,1,2,0,2,2,0,0,2,0
409,1,1,2,0,2,2,0,2,0,0
410,1,1,2,0,2,2,1,1,2,0
411,1,1,2,0,2,2,1,2,1,0
412,1,1,2,0,2,2,2,1,0,0
413,1,1,2,0,2,2,2,0,1,0
414,1,1,2,0,2,2,2,2,2,0
415,1,1,2,0,0,1,0,1,1,0
416,1,1,2,0,1,0,0,1,1,0
417,1,1,2,1,2,1,0,1,1,0
418,1,1,2,1,1,2,0,1,1,0
419,1,1,2,2,2,0,0,1,1,0
420,1,1,2,2,0,2,0,1,1,0
421,1,1,2,2,1,1,0,1,1,0
422,1,2,0,0,2,2,1,0,2,0
423,1,2,0,0,2,2,1,2,0,0
424,1,2,0,0,2,2,2,0,0,0
425,1,2,0,0,2,0,0,0,2,0
426,1,2,0,0,2,0,0,2,0,0
427,1,2,0,0,2,1,0,0,0,0
428,1,2,0,0,0,2,1,2,1,0
429,1,2,0,0,0,2,2,0,1,0
430,1,2,0,0,1,2,1,0,1,0
431,1,2,0,1,2,2,0,0,2,0
432,1,2,0,1,2,2,0,2,0,0
433,1,2,0,1,2,2,2,0,1,0
434,1,2,0,1,2,0,0,1,2,0
435,1,2,0,1,2,0,0,2,1,0
436,1,2,0,1,2,1,0,1,0,0
437,1,2,0,1,2,1,0,0,1,0
438,1,2,0,1,2,1,0,2,2,0
439,1,2,0,1,0,2,0,2,1,0
440,1,2,0,1,0,2,2,1,1,0
441,1,2,0,1,0,1,0,1,1,0
442,1,2,0,1,1,2,0,0,1,0
443,1,2,0,1,1,2,2,2,1,0
444,1,2,0,1,1,0,0,1,1,0
445,1,2,0,2,2,2,0,0,0,0
446,1,2,0,2,2,2,1,0,1,0
447,1,2,0,2,2,0,0,1,0,0
448,1,2,0,2,2,0,0,0,1,0
449,1,2,0,2,2,0,0,2,2,0
450,1,2,0,2,2,1,0,0,2,0
451,1,2,0,2,2,1,0,2,0,0
452,1,2,0,2,0,2,0,0,1,0
453,1,2,0,2,0,2,1,1,1,0
454,1,2,0,2,0,2,2,2,1,0
455,1,2,0,2,0,0,0,1,1,0
456,1,2,0,2,1,2,1,2,1,0
457,1,2,0,2,1,2,2,0,1,0
458,1,2,1,0,2,2,0,0,2,0
459,1,2,1,0,2,2,0,2,0,0
460,1,2,1,0,2,2,1,1,2,0
461,1,2,1,0,2,2,1,2,1,0
462,1,2,1,0,2,2,2,1,0,0
463,1,2,1,0,2,2,2,0,1,0
464,1,2,1,0,2,2,2,2,2,0
465,1,2,1,0,0,1,0,1,1,0
466,1,2,1,0,1,0,0,1,1,0
467,1,2,1,1,2,1,0,1,1,0
468,1,2,1,1,1,2,0,1,1,0
469,1,2,1,2,2,0,0,1,1,0
470,1,2,1,2,0,2,0,1,1,0
471,1,2,1,2,1,1,0,1,1,0
472,1,2,2,0,2,2,0,0,0,0
473,1,2,2,0,2,2,1,1,0,0
474,1,2,2,0,2,2,1,0,1,0
475,1,2,2,0,2,2,1,2,2,0
476,1,2,2,0,2,2,2,0,2,0
477,1,2,2,0,2,2,2,2,0,0
478,1,2,2,0,0,0,0,1,1,0
479,1,2,2,1,2,0,0,1,1,0
480,1,2,2,1,0,2,0,1,1,0
481,1,2,2,1,1,1,0,1,1,0
482,1,2,2,2,0,1,0,1,1,0
483,1,2,2,2,1,0,0,1,1,0
484,2,0,0,1,2,0,0,0,2,0
485,2,0,0,1,2,0,0,2,0,0
486,2,0,0,1,2,0,1,1,2,0
487,2,0,0,1,2,0,2,1,0,0
488,2,0,0,1,2,1,0,0,0,0
489,2,0,0,1,2,1,1,1,0,0
490,2,0,0,1,0,2,1,2,1,0
491,2,0,0,1,0,2,2,0,1,0
492,2,0,0,1,1,2,1,0,1,0
493,2,0,0,2,2,0,0,0,0,0
494,2,0,0,2,2,0,1,1,0,0
495,2,0,0,2,0,2,1,0,1,0
496,2,0,1,0,2,2,1,0,2,0
497,2,0,1,0,2,2,1,2,0,0
498,2,0,1,0,2,2,2,0,0,0
499,2,0,1,0,2,0,1,1,2,0
500,2,0,1,0,2,1,1,1,0,0
501,2,0,1,1,2,2,1,1,2,0
502,2,0,1,1,2,2,2,1,0,0
503,2,0,1,1,2,0,0,1,2,0
504,2,0,1,1,2,0,2,1,1,0
505,2,0,1,1,2,1,0,1,0,0
506,2,0,1,1,2,1,1,1,1,0
507,2,0,1,1,2,1,2,1,2,0
508,2,0,1,1,0,1,0,1,1,0
509,2,0,1,1,1,0,0,1,1,0
510,2,0,1,2,2,2,1,1,0,0
511,2,0,1,2,2,0,1,1,1,0
512,2,0,1,2,2,0,2,1,2,0
513,2,0,1,2,2,1,1,1,2,0
514,2,0,1,2,2,1,2,1,0,0
515,2,0,1,2,0,0,0,1,1,0
516,2,0,2,0,2,0,1,1,0,0
517,2,0,2,1,2,2,1,1,0,0
518,2,0,2,1,2,0,0,1,0,0
519,2,0,2,1,2,0,1,1,1,0
520,2,0,2,1,2,0,2,1,2,0
521,2,0,2,1,2,1,1,1,2,0
522,2,0,2,1,2,1,2,1,0,0
523,2,0,2,2,2,0,1,1,2,0
524,2,0,2,2,2,0,2,1,0,0
525,2,0,2,2,2,1,1,1,0,0
526,2,1,0,0,2,2,1,0,2,0
527,2,1,0,0,2,2,1,2,0,0
528,2,1,0,0,2,2,2,0,0,0
529,2,1,0,0,2,0,0,0,2,0
530,2,1,0,0,2,0,0,2,0,0
531,2,1,0,0,2,1,0,0,0,0
532,2,1,0,0,0,2,1,2,1,0
533,2,1,0,0,1,2,1,0,1,0
534,2,1,0,1,2,2,0,0,2,0
535,2,1,0,1,2,2,0,2,0,0
536,2,1,0,1,2,2,1,2,1,0
537,2,1,0,1,2,2,2,0,1,0
538,2,1,0,1,2,0,0,1,2,0
539,2,1,0,1,2,0,0,2,1,0
540,2,1,0,1,2,1,0,1,0,0
541,2,1,0,1,2,1,0,0,1,0
542,2,1,0,1,2,1,0,2,2,0
543,2,1,0,1,0,2,0,2,1,0
544,2,1,0,1,0,2,2,1,1,0
545,2,1,0,1,0,1,0,1,1,0
546,2,1,0,1,1,2,0,0,1,0
547,2,1,0,1,1,2,1,1,1,0
548,2,1,0,1,1,2,2,2,1,0
549,2,1,0,1,1,0,0,1,1,0
550,2,1,0,2,2,2,0,0,0,0
551,2,1,0,2,2,2,1,0,1,0
552,2,1,0,2,2,0,0,1,0,0
553,2,1,0,2,2,0,0,0,1,0
554,2,1,0,2,2,0,0,2,2,0
555,2,1,0,2,2,1,0,0,2,0
556,2,1,0,2,2,1,0,2,0,0
557,2,1,0,2,0,2,1,1,1,0
558,2,1,0,2,0,2,2,2,1,0
559,2,1,0,2,0,0,0,1,1,0
560,2,1,0,2,1,2,1,2,1,0
561,2,1,0,2,1,2,2,0,1,0
562,2,1,1,0,2,2,0,0,2,0
563,2,1,1,0,2,2,0,2,0,0
564,2,1,1,0,2,2,1,1,2,0
565,2,1,1,0,2,2,1,2,1,0
566,2,1,1,0,2,2,2,1,0,0
567,2,1,1,0,2,2,2,0,1,0
568,2,1,1,0,2,2,2,2,2,0
569,2,1,1,0,0,1,0,1,1,0
570,2,1,1,0,1,0,0,1,1,0
571,2,1,1,1,2,1,0,1,1,0
572,2,1,1,1,1,2,0,1,1,0
573,2,1,1,2,2,0,0,1,1,0
574,2,1,1,2,0,2,0,1,1,0
575,2,1,1,2,1,1,0,1,1,0
576,2,1,2,0,2,2,0,0,0,0
577,2,1,2,0,2,2,1,1,0,0
578,2,1,2,0,2,2,1,0,1,0
579,2,1,2,0,2,2,1,2,2,0
580,2,1,2,0,2,2,2,0,2,0
581,2,1,2,0,2,2,2,2,0,0
582,2,1,2,0,0,0,0,1,1,0
583,2,1,2,1,2,0,0,1,1,0
584,2,1,2,1,0,2,0,1,1,0
585,2,1,2,1,1,1,0,1,1,0
586,2,1,2,2,0,1,0,1,1,0
587,2,1,2,2,1,0,0,1,1,0
588,2,2,0,0,2,0,0,0,0,0
589,2,2,0,0,0,2,1,0,1,0
590,2,2,0,1,2,2,0,0,0,0
591,2,2,0,1,2,2,1,0,1,0
592,2,2,0,1,2,0,0,1,0,0
593,2,2,0,1,2,0,0,0,1,0
594,2,2,0,1,2,0,0,2,2,0
595,2,2,0,1,2,1,0,0,2,0
596,2,2,0,1,2,1,0,2,0,0
597,2,2,0,1,0,2,0,0,1,0
598,2,2,0,1,0,2,1,1,1,0
599,2,2,0,1,0,2,2,2,1,0
600,2,2,0,1,1,2,1,2,1,0
601,2,2,0,1,1,2,2,0,1,0
602,2,2,0,2,2,0,0,0,2,0
603,2,2,0,2,2,0,0,2,0,0
604,2,2,0,2,2,1,0,0,0,0
605,2,2,0,2,0,2,1,2,1,0
606,2,2,0,2,0,2,2,0,1,0
607,2,2,0,2,1,2,1,0,1,0
608,2,2,1,0,2,2,0,0,0,0
609,2,2,1,0,2,2,1,1,0,0
610,2,2,1,0,2,2,1,0,1,0
611,2,2,1,0,2,2,1,2,2,0
612,2,2,1,0,2,2,2,0,2,0
613,2,2,1,0,2,2,2,2,0,0
614,2,2,1,0,0,0,0,1,1,0
615,2,2,1,1,2,0,0,1,1,0
616,2,2,1,1,0,2,0,1,1,0
617,2,2,1,1,1,1,0,1,1,0
618,2,2,1,2,0,1,0,1,1,0
619,2,2,1,2,1,0,0,1,1,0
620,2,2,2,0,2,2,1,0,2,0
621,2,2,2,0,2,2,1,2,0,0
622,2,2,2,0,2,2,2,0,0,0
623,2,2,2,1,0,1,0,1,1,0
624,2,2,2,1,1,0,0,1,1,0
625,2,2,2,2,0,0,0,1,1,0
626,0,0,1,0,2,0,1,2,0,1
627,0,0,1,0,2,0,2,0,0,1
628,0,0,1,0,2,1,1,0,0,1
629,0,0,1,0,0,2,1,0,2,1
