,A1,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A15,target
196,0,3.165,1,1,8,0,3.165,0,0,3.0,1,0,0.0,0
197,0,7.625,0,0,0,1,15.5,0,0,12.0,0,0,790.0,0
198,0,2.04,1,1,11,0,2.0,0,0,3.0,1,0,560.0,0
199,0,10.04,0,0,8,0,0.04,0,0,9.0,0,0,396.0,0
200,1,0.5,0,0,1,1,1.25,0,0,1.0,0,0,678.0,0
201,1,1.0,0,0,9,2,2.25,0,1,0.0,1,0,300.0,0
202,0,2.75,0,0,6,0,2.25,0,0,6.0,0,0,600.0,0
203,1,10.25,0,0,1,0,0.71,0,0,2.0,1,0,0.0,0
204,0,2.125,1,1,0,0,0.085,0,0,1.0,0,0,1187.0,0
205,1,12.0,0,0,1,1,14.0,0,0,8.0,0,0,6590.0,0
206,1,0.0,2,2,14,6,0.0,1,1,0.0,0,2,0.0,0
207,0,9.335,0,0,1,1,5.665,0,0,6.0,0,0,168.0,0
208,0,2.5,0,0,5,0,4.5,0,0,7.0,0,0,1270.0,0
209,0,4.25,0,0,6,2,6.5,0,0,16.0,0,0,1210.0,0
210,0,5.875,0,0,4,1,10.0,0,0,14.0,1,0,0.0,0
211,0,6.625,1,1,7,0,5.5,0,1,0.0,1,1,0.0,0
212,0,14.5,0,0,12,3,18.0,0,0,15.0,1,0,1000.0,0
213,0,11.5,0,0,9,0,3.5,0,0,9.0,0,0,742.0,0
214,0,2.71,1,1,4,0,5.25,0,0,1.0,0,0,0.0,0
215,0,3.5,0,0,11,0,3.5,0,1,0.0,0,1,0.0,0
216,0,4.04,0,0,4,1,7.0,0,0,8.0,0,0,0.0,0
217,0,11.5,0,0,12,3,5.0,0,0,5.0,0,0,8851.0,0
218,0,9.625,0,0,10,0,8.665,0,0,5.0,0,0,0.0,0
219,1,9.25,1,1,6,0,1.0,0,0,4.0,1,0,500.0,0
220,1,12.54,0,0,11,0,2.29,0,0,3.0,1,0,0.0,0
221,0,11.0,0,0,10,5,20.0,0,0,7.0,1,0,0.0,0
222,1,9.0,0,0,11,0,1.375,0,1,0.0,1,0,0.0,0
223,1,9.54,0,0,11,0,0.085,0,1,0.0,0,0,0.0,0
224,1,5.5,0,0,1,0,0.125,0,1,0.0,1,0,0.0,0
225,0,4.0,0,0,6,2,0.25,0,1,0.0,1,0,0.0,0
226,0,5.5,0,0,5,0,0.5,0,1,0.0,0,0,0.0,0
227,1,8.46,1,1,8,0,2.46,1,1,0.0,0,0,0.0,0
228,0,0.375,0,0,1,0,2.0,0,0,2.0,1,0,0.0,0
229,0,11.0,0,0,4,0,0.665,0,1,0.0,0,0,0.0,0
230,0,3.5,0,0,4,0,0.625,0,0,7.0,0,0,7059.0,0
231,1,3.0,0,0,8,0,13.875,0,0,2.0,1,0,1704.0,0
232,0,1.75,0,0,8,1,4.5,0,0,4.0,1,0,857.0,0
233,0,13.75,0,0,0,0,5.75,0,1,0.0,1,0,500.0,0
234,1,21.0,0,0,9,2,10.0,0,0,13.0,0,0,6700.0,0
235,1,1.835,0,0,1,0,2.085,0,0,5.0,0,0,2503.0,0
236,0,0.25,0,0,9,2,0.0,0,1,0.0,1,0,0.0,0
237,0,7.5,0,0,11,0,1.415,0,0,1.0,0,0,9800.0,0
238,0,4.625,0,0,1,0,4.58,0,1,0.0,0,1,0.0,0
239,0,10.125,0,0,8,0,2.5,0,0,6.0,0,0,196.0,0
240,0,10.0,1,1,6,0,2.5,0,1,0.0,0,1,0.0,0
241,0,25.085,0,0,0,0,1.75,0,0,3.0,0,0,14.0,0
242,0,5.0,0,0,0,0,11.0,0,1,0.0,1,0,0.0,0
243,1,7.5,0,0,1,0,2.71,0,0,5.0,0,0,26726.0,0
244,0,2.0,0,0,9,0,1.5,0,0,2.0,0,0,300.0,0
245,0,3.04,1,1,6,1,2.04,0,0,1.0,1,0,18027.0,0
246,0,8.5,0,0,4,1,14.0,0,0,1.0,1,0,2000.0,0
247,1,0.21,0,0,1,1,0.29,0,0,11.0,0,0,99.0,0
248,2,12.75,0,0,6,2,4.75,0,0,2.0,0,0,444.0,0
249,0,11.0,0,0,8,0,0.29,0,0,6.0,0,0,0.0,0
250,0,21.5,0,0,10,5,20.0,0,0,11.0,0,0,1200.0,0
251,0,5.0,0,0,1,1,5.0,0,0,6.0,1,0,0.0,0
252,1,11.0,0,0,8,1,1.0,0,0,11.0,0,0,3000.0,0
253,0,11.125,0,0,8,1,0.46,0,0,1.0,0,0,0.0,0
254,0,0.625,0,0,5,0,0.25,1,1,0.0,0,0,2010.0,1
255,0,10.25,0,0,6,1,1.085,1,1,0.0,0,0,13.0,1
256,0,11.045,0,0,6,0,2.0,1,1,0.0,1,0,0.0,1
257,0,0.0,0,0,7,0,0.5,1,1,0.0,0,0,0.0,1
258,1,9.54,0,0,9,0,0.04,1,1,0.0,0,0,1000.0,1
259,1,1.75,1,1,6,0,0.165,1,1,0.0,0,0,0.0,1
260,0,2.335,0,0,7,1,5.75,1,1,0.0,1,0,0.0,1
261,1,0.0,1,1,12,3,0.0,1,1,0.0,0,0,0.0,1
262,1,1.335,0,0,9,7,0.335,1,1,0.0,0,0,120.0,1
263,1,10.5,1,1,8,1,0.0,1,1,0.0,1,0,32.0,1
264,0,0.585,0,0,12,3,0.0,1,1,0.0,0,0,0.0,1
265,0,0.085,1,1,6,0,0.04,1,1,0.0,0,0,722.0,1
266,0,1.21,1,1,10,8,0.0,1,1,0.0,0,0,0.0,1
267,1,6.0,0,0,7,0,1.25,1,1,0.0,0,0,0.0,1
268,0,1.54,0,0,1,0,0.125,0,1,0.0,1,0,0.0,0
269,0,0.165,0,0,1,9,0.21,1,1,0.0,0,0,40.0,0
270,0,0.0,2,2,14,6,0.0,1,1,0.0,0,2,0.0,0
271,0,2.5,0,0,6,0,1.25,1,1,0.0,1,0,0.0,1
272,0,6.75,1,1,2,0,0.04,1,1,0.0,0,0,0.0,1
273,0,10.125,1,1,5,0,0.125,1,1,0.0,0,0,0.0,1
274,0,2.5,0,0,4,1,2.25,1,1,0.0,1,1,0.0,1
275,0,5.71,0,0,7,0,0.54,1,1,0.0,0,0,0.0,1
276,1,5.415,0,0,9,1,0.29,1,1,0.0,0,0,484.0,1
277,1,10.0,1,1,1,1,0.165,1,1,0.0,0,0,0.0,1
278,0,13.5,1,1,12,3,0.0,1,1,0.0,0,0,0.0,1
279,0,0.835,0,0,2,0,0.085,0,1,0.0,0,1,0.0,1
280,0,0.875,1,1,6,1,0.25,1,1,0.0,0,0,204.0,1
281,0,0.585,1,1,4,1,0.125,1,1,0.0,0,0,1.0,1
282,0,4.46,0,0,6,0,0.25,1,1,0.0,0,1,0.0,1
283,1,1.25,0,0,1,0,0.25,1,0,1.0,0,0,98.0,1
284,0,12.625,0,0,6,0,0.125,1,0,2.0,0,0,5552.0,1
285,0,10.0,0,0,0,1,0.165,1,0,1.0,0,0,1.0,1
286,1,1.5,0,0,12,3,0.0,1,0,2.0,1,0,105.0,1
287,0,0.58,0,0,0,0,0.29,1,0,1.0,0,0,2803.0,1
288,0,0.415,1,1,6,0,0.165,1,0,1.0,0,0,1.0,1
289,1,1.75,1,1,13,4,0.0,1,1,0.0,0,0,0.0,1
290,0,0.75,0,0,2,0,0.5,1,1,0.0,1,1,0.0,1
291,1,10.0,0,0,0,0,1.0,1,0,1.0,0,0,1.0,1
292,0,0.54,0,0,0,0,0.165,1,0,1.0,0,0,444.0,1
293,0,2.415,0,0,0,0,0.125,1,0,2.0,0,0,1.0,1
294,1,0.335,0,0,12,3,0.0,1,0,1.0,0,0,126.0,1
295,1,3.125,0,0,12,3,3.04,1,0,2.0,1,0,4.0,1
296,0,9.0,0,0,12,3,4.0,1,0,1.0,0,0,6.0,1
297,0,2.5,0,0,11,0,1.75,1,0,2.0,1,0,0.0,1
298,0,2.75,0,0,11,0,0.665,1,0,1.0,0,0,21.0,1
299,0,12.125,0,0,6,0,3.335,1,0,2.0,1,0,173.0,1
300,1,2.0,0,0,12,3,6.5,1,0,1.0,0,0,10.0,1
301,0,0.165,0,0,7,0,0.25,1,1,0.0,1,1,0.0,1
302,0,1.0,0,0,6,0,0.5,1,1,0.0,1,1,0.0,1
303,1,2.875,0,0,1,0,0.085,1,1,0.0,0,0,0.0,1
304,1,13.665,0,0,1,1,1.5,1,1,0.0,0,0,1.0,1
305,0,26.335,1,1,12,3,0.0,0,1,0.0,1,0,0.0,1
306,0,2.75,0,0,12,3,4.5,1,1,0.0,0,0,25.0,1
307,0,10.29,0,0,12,3,0.415,1,1,0.0,0,0,0.0,1
308,0,1.29,0,0,5,1,0.25,1,1,0.0,1,1,0.0,1
309,1,3.0,1,1,13,4,0.0,1,1,0.0,0,0,20.0,1
310,1,4.5,0,0,0,0,1.0,1,1,0.0,1,0,6.0,1
311,0,1.75,1,1,6,0,2.335,1,1,0.0,1,0,6.0,1
312,1,0.21,0,0,11,0,0.125,1,1,0.0,0,0,1.0,1
313,1,10.0,0,0,7,0,0.415,1,1,0.0,0,0,42.0,1
314,0,0.0,1,1,11,0,0.25,1,1,0.0,0,0,0.0,1
315,0,0.75,0,0,2,0,0.5,0,1,0.0,1,1,0.0,1
316,0,0.25,1,1,6,1,0.25,1,1,0.0,0,0,204.0,1
317,0,22.0,3,3,12,7,0.0,1,1,0.0,1,2,100000.0,0
318,0,0.0,1,1,2,2,0.0,1,1,0.0,1,1,1.0,0
319,0,0.125,1,1,6,0,1.5,1,1,0.0,1,0,113.0,0
320,0,1.5,0,0,0,0,1.5,1,1,0.0,0,0,8.0,0
321,1,0.375,3,3,4,3,10.0,1,1,0.0,1,1,0.0,0
322,1,0.375,0,0,4,0,0.375,1,1,0.0,0,0,44.0,0
323,0,0.205,1,1,5,0,0.25,0,0,11.0,0,0,2732.0,0
324,0,1.25,0,0,0,0,1.165,1,1,0.0,0,0,0.0,1
325,1,1.085,1,1,8,0,1.0,1,1,0.0,0,0,13.0,1
326,0,1.085,1,1,6,0,0.04,1,1,0.0,0,0,179.0,1
327,2,3.5,0,0,9,2,0.5,1,1,0.0,0,1,0.0,1
328,0,2.5,1,1,0,0,3.0,1,1,0.0,0,1,0.0,1
329,0,4.0,1,1,9,0,0.085,1,1,0.0,1,0,0.0,1
330,0,0.0,2,2,14,6,0.0,1,1,0.0,0,2,0.0,1
331,1,2.5,1,1,6,0,2.5,1,1,0.0,1,0,2.0,1
332,0,2.5,0,0,6,0,1.0,1,1,0.0,0,0,16.0,1
333,1,12.5,0,0,7,0,1.0,1,1,0.0,1,0,1062.0,1
334,0,2.5,0,0,4,2,0.5,1,1,0.0,0,0,0.0,1
335,0,0.75,0,0,1,1,0.165,1,1,0.0,1,0,251.0,1
336,0,6.5,0,0,6,0,1.0,1,1,0.0,1,0,228.0,1
337,1,1.25,1,1,9,1,0.5,1,1,0.0,1,0,0.0,1
338,1,3.0,1,1,11,0,2.0,1,1,0.0,0,0,0.0,1
339,0,3.0,0,0,0,0,0.75,1,1,0.0,1,0,67.0,1
340,1,4.0,0,0,6,0,3.0,1,1,0.0,0,0,0.0,1
341,0,4.085,0,0,11,0,0.04,1,1,0.0,0,0,100.0,1
342,0,2.25,0,0,9,2,0.5,1,1,0.0,1,0,4000.0,1
343,0,2.75,0,0,9,2,0.0,1,1,0.0,0,0,0.0,1
344,0,1.75,0,0,5,0,0.5,1,1,0.0,1,0,2.0,1
345,0,7.0,0,0,10,5,0.0,1,1,0.0,0,0,12.0,1
346,2,1.5,0,0,6,0,0.25,1,1,0.0,1,0,122.0,1
347,0,4.5,1,1,6,2,2.5,1,1,0.0,0,0,1210.0,1
348,0,0.54,0,0,6,0,0.585,0,0,3.0,1,0,0.0,1
349,0,1.5,0,0,0,0,2.25,1,0,1.0,1,0,3.0,1
350,1,2.0,0,0,13,4,0.0,1,1,0.0,1,0,1.0,1
351,0,0.585,1,1,12,3,0.0,1,1,0.0,0,0,0.0,1
352,0,11.5,1,1,2,0,1.5,1,1,0.0,1,0,4000.0,1
353,0,1.585,0,0,7,0,0.585,1,1,0.0,1,1,0.0,1
354,0,2.0,0,0,9,0,0.25,1,1,0.0,1,0,0.0,1
355,1,0.165,0,0,11,0,1.0,1,0,2.0,1,0,1.0,1
356,0,1.335,0,0,7,0,0.165,1,1,0.0,0,0,0.0,1
357,1,0.165,0,0,1,0,0.04,1,1,0.0,1,0,0.0,1
358,0,3.0,0,0,7,0,0.165,1,1,0.0,1,0,0.0,1
359,1,4.71,0,0,12,3,0.0,1,1,0.0,0,0,0.0,1
360,1,5.5,0,0,5,0,5.5,1,1,0.0,1,1,0.0,1
361,0,2.5,0,0,12,3,0.085,1,1,0.0,1,0,4208.0,1
362,0,0.54,0,0,5,3,0.0,1,1,0.0,0,0,0.0,1
363,0,0.335,1,1,5,0,0.29,1,1,0.0,0,1,0.0,1
