,surgery,Age,Hospital_Number,temperature_of_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,rectal_examination_-_feces,abdomen,abdominocentesis_appearance,outcome,site_of_lesion,type_of_lesion,subtype_of_lesion,pathology_cp_data,target
75,1,9,534092,0,0,5,0,2,1,3,0,0,3,3,1,1,1400,0,0,2,1
76,1,1,534615,0,0,4,1,1,1,1,0,0,0,3,0,2,3205,0,0,2,1
77,0,1,534753,4,1,4,1,5,3,2,1,2,2,2,0,2,0,0,0,2,0
78,1,1,530693,0,0,2,3,0,1,4,3,1,1,0,0,0,3025,0,0,2,1
79,1,1,527463,2,0,3,0,1,0,1,2,3,3,5,2,2,2208,0,0,1,1
80,1,1,527518,0,0,1,1,4,1,1,0,0,1,5,2,0,2205,0,0,1,1
81,1,1,534756,1,0,4,1,2,1,1,3,2,0,0,2,2,3111,0,0,2,1
82,1,9,5290760,0,2,6,1,1,0,2,0,0,2,3,0,2,3111,0,0,2,1
83,1,1,5279820,0,0,3,0,0,2,0,1,2,3,3,0,0,3205,0,0,2,1
84,1,1,529849,2,0,6,0,2,1,4,0,1,1,3,1,2,5206,0,0,1,1
85,0,1,529304,4,0,2,3,1,3,1,2,1,3,5,0,2,400,0,0,2,0
86,1,1,529388,0,0,1,0,0,0,4,3,0,1,0,2,0,4205,0,0,1,1
87,0,1,528006,1,1,0,1,3,2,3,0,0,3,3,1,1,2208,0,0,1,1
88,0,1,529703,2,2,5,1,1,1,1,2,2,0,4,1,2,5000,0,0,1,0
89,0,1,535381,2,2,4,1,5,3,2,0,0,3,3,0,2,0,0,0,2,0
90,0,1,534197,1,1,0,2,2,2,3,0,3,2,2,0,2,2322,0,0,2,1
91,0,1,529461,0,0,4,0,2,1,4,2,2,2,0,2,0,3205,0,0,1,1
92,0,1,530251,0,2,4,1,5,3,2,2,2,0,2,0,2,0,0,0,2,0
93,0,1,530310,0,0,4,1,0,1,4,1,2,1,0,0,0,3205,0,0,2,1
94,0,1,528729,3,2,2,1,3,4,2,1,2,2,2,0,2,0,0,0,2,0
95,1,1,535158,1,2,6,1,1,1,4,2,2,0,0,0,2,3205,0,0,2,1
96,0,1,530319,1,1,2,1,3,1,2,2,2,0,1,0,2,3111,0,0,2,1
97,1,1,534145,0,0,1,1,2,1,4,0,3,1,0,0,1,3205,0,0,2,0
98,0,1,534135,4,2,2,1,5,1,1,1,2,2,0,0,2,0,0,0,2,0
99,0,1,530002,0,0,3,0,2,0,4,1,1,0,0,1,2,4300,0,0,1,0
100,1,1,535364,0,0,4,1,5,1,3,0,0,2,2,0,2,0,0,0,2,0
101,1,1,534899,3,0,1,0,0,0,3,0,2,1,0,0,1,3205,0,0,2,1
102,0,1,534938,0,1,4,1,2,2,3,0,0,3,3,0,2,0,0,0,2,0
103,1,9,5292490,2,2,4,1,1,1,1,0,0,4,2,0,2,7111,0,0,2,1
104,1,1,527563,2,0,2,1,4,0,2,2,3,4,0,3,0,5400,0,0,2,1
105,1,1,530381,2,1,2,0,2,1,1,2,0,1,0,0,2,31110,0,0,2,1
106,1,1,528668,1,0,2,1,3,2,3,1,2,2,3,0,2,3209,0,0,1,1
107,0,1,529764,2,2,2,1,5,1,1,0,0,2,3,0,2,0,0,0,2,0
108,1,1,533696,3,0,6,0,4,0,0,0,0,1,0,2,1,3205,0,0,2,1
109,1,9,5297380,0,0,6,1,1,1,4,1,2,3,3,1,0,2205,0,0,1,1
110,1,1,527544,0,3,5,0,2,1,1,2,2,1,0,0,0,2112,0,0,2,1
111,1,1,533736,0,1,0,1,5,1,1,0,0,3,3,3,2,3111,7111,0,2,1
112,1,1,534963,4,2,4,1,5,1,2,1,2,3,0,0,2,3111,0,0,2,1
113,1,1,527933,1,1,0,2,3,2,3,0,0,3,3,0,0,3205,0,0,1,1
114,1,1,532349,0,1,1,2,0,0,4,2,2,1,0,0,2,3205,0,0,2,1
115,0,1,533723,0,2,4,1,1,1,1,0,0,3,3,0,2,0,0,0,2,0
116,1,1,535208,2,2,4,1,1,1,4,2,2,1,0,0,2,3205,3111,0,2,1
117,0,1,5290480,0,0,1,0,1,0,4,0,3,1,0,3,1,4205,0,0,2,1
118,1,1,533983,2,1,4,1,0,1,2,0,2,3,3,1,2,3112,6112,0,2,1
119,0,1,535166,4,2,6,1,5,1,2,1,2,3,3,0,2,0,0,0,2,0
120,1,1,528682,2,2,6,1,2,1,1,1,2,0,5,1,2,2206,0,0,1,1
121,1,1,534556,1,1,3,0,4,1,2,0,1,2,5,1,1,2208,0,0,2,1
122,0,1,534579,4,2,4,1,1,3,2,0,0,2,3,3,2,0,0,0,2,0
123,1,1,530360,2,2,2,1,4,0,4,2,2,1,5,3,0,3205,0,0,1,1
124,0,1,529840,0,2,1,1,5,3,4,2,2,2,2,0,1,2205,0,0,2,1
125,1,1,528461,3,2,4,1,1,1,1,2,1,1,5,0,2,2205,0,0,2,1
126,1,1,530384,0,2,2,1,0,0,1,0,0,3,3,1,2,31110,0,0,2,1
127,1,1,5262540,0,0,0,1,4,0,2,2,2,2,3,1,2,2208,0,0,1,1
128,1,1,535330,1,1,2,1,2,1,4,0,0,3,3,0,1,2208,0,0,2,0
129,1,1,527698,1,1,4,1,3,2,2,2,2,3,3,0,2,2206,0,0,2,1
130,1,1,528964,1,1,0,2,3,2,3,0,0,3,3,0,0,2113,0,0,2,1
131,0,1,530670,0,2,4,1,1,1,1,1,3,3,3,0,0,1400,0,0,2,1
132,2,1,534572,0,2,2,1,4,1,2,2,2,0,0,1,3,3111,0,0,2,1
133,0,1,530294,2,2,4,1,2,1,2,0,0,3,4,0,2,400,0,0,2,1
134,1,1,527524,0,1,1,0,0,0,3,2,0,4,3,0,0,4205,0,0,2,1
135,1,9,5287180,0,0,2,1,0,3,4,2,1,4,3,1,0,2205,0,0,1,1
136,1,1,530693,0,0,2,0,0,1,4,3,1,1,0,0,0,3025,0,0,2,1
137,1,1,534324,2,2,4,1,5,4,0,2,1,1,0,0,2,3111,0,0,2,1
138,0,1,532349,2,4,2,1,5,3,2,1,2,2,2,0,2,0,0,0,2,0
139,0,1,534491,2,2,0,1,1,1,3,1,2,3,3,3,2,0,0,0,2,0
140,1,1,529960,0,2,4,1,2,4,2,1,2,1,0,0,2,5124,0,0,2,0
141,0,1,522979,1,1,5,1,3,2,3,0,0,3,3,0,0,1400,0,0,2,0
142,1,1,530402,3,0,3,0,0,0,0,0,0,1,0,2,0,3205,0,0,1,1
143,1,1,529424,2,2,4,0,5,4,2,2,0,2,2,1,2,0,0,0,1,0
144,1,1,534519,0,0,3,1,2,0,0,3,1,1,0,0,1,1400,0,0,2,0
145,0,1,535246,0,0,6,1,2,1,4,2,2,0,3,0,2,0,0,0,2,1
146,1,1,534115,2,0,2,1,1,0,0,1,3,1,0,0,2,3111,0,0,2,1
147,0,1,530001,4,2,2,1,1,0,4,1,1,2,5,0,0,2209,0,0,2,1
148,1,1,529272,1,0,3,0,2,0,1,2,3,1,5,0,2,2112,0,0,1,1
149,0,1,535314,1,1,0,2,5,3,3,1,2,2,3,0,2,0,0,0,2,0
150,0,1,533793,0,2,4,1,2,1,1,0,0,3,1,0,2,0,0,0,2,0
151,1,1,529399,3,0,3,0,4,0,1,1,3,1,5,2,0,2207,0,0,1,1
152,1,1,533836,0,0,1,0,3,0,0,2,2,3,3,2,2,2209,0,0,2,1
153,0,1,528804,0,2,4,1,5,1,1,2,2,0,1,3,2,3111,0,0,1,0
154,0,1,535163,2,2,2,1,1,1,0,2,0,3,0,0,2,4124,0,0,2,1
155,0,1,528247,0,0,1,1,5,0,1,2,0,3,1,3,2,400,0,0,1,0
156,0,1,528996,2,2,4,1,1,1,1,1,2,2,4,3,2,0,0,0,1,0
157,1,1,533928,2,1,2,0,3,0,0,2,3,3,0,0,1,2205,0,0,2,1
158,0,1,528248,0,2,4,1,1,1,2,0,0,3,3,0,2,3111,0,0,2,0
159,0,1,528134,2,2,6,1,2,3,1,3,2,2,4,1,2,0,0,0,1,0
160,1,1,527916,1,1,0,2,4,2,3,1,2,3,0,1,2,4205,0,0,2,1
161,1,1,530431,1,1,0,1,3,2,3,0,0,3,3,0,0,7113,0,0,2,1
162,0,1,535176,0,1,0,0,1,1,1,2,2,0,3,3,2,0,0,0,2,0
163,1,1,533942,2,0,2,1,0,1,2,1,2,0,3,2,1,6209,0,0,2,1
164,1,1,528523,2,2,5,0,1,1,1,2,1,1,5,0,2,2208,0,0,1,1
165,1,1,534925,1,1,5,1,3,1,4,1,0,1,3,3,1,1400,0,0,2,0
166,1,1,527916,2,2,4,1,1,3,2,0,0,4,2,3,2,0,0,0,1,0
167,0,1,528299,2,2,4,1,1,1,2,2,2,3,2,0,2,3111,0,0,2,0
168,1,1,530254,2,2,2,1,2,0,1,2,3,3,5,0,2,2124,0,0,2,1
169,1,1,535085,1,1,0,0,0,2,0,3,2,3,0,0,1,3205,0,0,2,1
170,0,1,532985,2,2,2,1,3,3,2,0,0,2,3,0,2,0,0,0,2,0
171,0,1,527677,0,0,5,2,1,1,4,0,1,3,3,2,0,5400,0,0,1,1
172,1,1,535292,0,0,2,1,2,0,4,1,3,3,3,2,2,2206,0,0,2,1
173,1,1,529729,0,0,5,0,2,0,4,0,3,1,5,1,0,2207,0,0,1,1
174,0,1,518476,0,3,3,2,4,2,0,0,0,3,3,0,0,3400,0,0,1,1
175,1,1,527929,1,1,0,2,3,2,3,0,0,3,3,0,2,2208,0,0,2,1
176,1,1,535130,2,2,2,1,1,1,2,2,2,0,1,0,2,6112,0,0,2,1
177,1,1,523190,1,1,1,1,4,2,3,0,2,3,3,1,0,4205,0,0,1,1
178,1,1,533968,0,0,1,0,0,0,0,1,2,1,3,2,2,6111,3111,0,2,1
179,0,1,528151,0,0,5,0,4,1,0,2,2,1,0,0,1,1111,0,0,1,0
180,1,1,530239,0,2,5,0,4,1,4,2,3,1,5,2,0,2300,0,0,2,1
181,0,1,528305,1,1,4,1,1,2,1,1,3,2,3,0,2,3111,0,0,1,0
182,1,1,5279820,0,0,3,0,0,2,0,1,2,3,3,0,0,2205,0,0,2,1
183,0,1,534857,2,2,6,1,2,3,2,2,2,2,3,3,2,0,0,0,2,0
184,0,1,534053,4,4,6,1,5,3,2,3,2,2,2,0,2,0,0,0,2,0
185,1,1,534833,3,0,3,0,3,1,3,0,0,3,3,0,2,5400,0,0,2,1
186,1,1,5278330,4,0,4,1,3,1,2,1,1,3,3,0,2,21110,0,0,2,1
187,1,1,527365,3,0,4,1,1,1,4,3,3,1,0,2,2,7209,0,0,1,1
188,1,1,533887,2,2,0,1,3,3,2,0,0,3,3,3,2,4111,0,0,2,1
189,1,1,529960,0,2,4,1,2,3,2,2,1,2,5,3,2,31110,0,0,2,1
190,1,1,528742,1,2,1,1,1,1,2,1,2,0,4,2,2,3133,0,0,1,1
191,0,9,5287280,4,2,4,1,4,3,2,0,0,2,3,0,2,7111,0,0,2,0
192,1,1,534788,2,2,4,1,1,1,4,1,1,1,3,3,2,5111,0,0,2,1
193,1,1,529373,0,0,1,0,4,1,0,0,0,3,3,0,0,3205,0,0,2,1
194,0,1,534163,2,2,6,1,2,4,2,0,0,1,2,0,2,0,0,0,2,0
195,0,1,533697,0,2,4,2,3,3,1,0,0,2,3,0,2,0,0,0,2,0
196,0,1,529628,2,2,5,0,2,4,2,2,2,4,4,1,1,300,0,0,1,0
197,0,1,521399,0,0,0,0,2,0,1,1,1,1,0,0,0,1400,0,0,1,1
198,0,1,533885,2,2,4,0,5,1,2,0,0,0,3,0,2,0,0,0,2,0
199,0,1,534157,0,2,6,1,2,3,1,0,0,0,1,0,2,0,0,0,2,0
200,1,1,528047,2,1,2,1,1,3,4,2,2,0,4,1,2,3205,0,0,1,1
201,1,1,528641,2,2,2,1,4,0,4,2,2,0,0,3,0,3209,0,0,1,1
202,1,1,534073,1,1,0,2,3,2,3,1,2,3,0,2,1,2208,0,0,2,1
203,0,1,529685,2,2,4,1,2,1,2,2,2,1,2,0,2,31110,0,0,2,0
204,1,1,529528,0,2,2,1,4,0,1,2,0,3,3,3,2,3115,0,0,1,1
205,0,1,528151,0,0,5,0,4,1,0,2,2,1,0,0,1,4124,0,0,2,0
206,1,1,535137,4,0,1,0,4,0,4,2,2,0,0,0,2,6111,3112,0,2,1
207,1,1,530297,1,1,0,2,3,2,3,0,0,3,3,0,0,2208,0,0,2,1
208,1,1,535338,0,0,5,0,3,1,4,2,3,1,0,0,1,3205,0,0,2,1
209,0,1,534478,0,2,4,1,1,3,1,2,0,0,4,3,2,0,0,0,2,0
210,1,1,530401,1,2,6,1,2,0,1,0,0,2,0,2,0,5400,0,0,1,1
211,1,1,529893,3,0,1,1,2,0,0,1,2,1,0,3,0,3111,0,0,1,1
212,1,9,5294370,2,0,6,0,1,1,4,3,2,3,3,3,2,2124,0,0,2,0
213,1,1,528183,0,2,2,1,3,4,1,2,2,2,5,1,2,2112,0,0,1,1
214,0,1,529183,4,2,4,1,5,3,2,2,0,4,3,1,2,0,0,0,1,0
215,1,1,529135,2,2,4,1,5,4,2,2,2,2,1,0,2,3111,0,0,2,1
216,0,1,528977,1,1,0,2,3,2,3,0,0,3,3,0,2,0,0,0,2,0
217,1,1,5279440,1,1,0,0,3,2,3,0,0,3,3,0,2,2209,0,0,1,1
218,1,1,535240,2,4,6,1,2,4,3,0,0,3,3,0,1,3112,0,0,2,1
219,1,1,529736,0,0,1,1,1,0,4,2,2,1,5,0,2,2111,0,0,2,1
220,1,1,535029,3,3,0,0,0,0,3,0,0,3,3,1,1,3205,0,0,2,0
221,1,1,535031,3,0,0,1,2,0,4,0,0,1,3,1,2,2208,0,0,2,1
222,1,1,528800,3,3,1,1,2,1,2,2,2,1,5,2,2,2205,0,0,1,1
223,1,1,528178,2,2,2,1,1,1,1,2,0,1,5,1,2,2208,0,0,1,1
224,1,1,535392,2,2,4,1,1,3,2,1,2,0,0,0,2,3111,0,0,2,1
225,0,1,528931,2,2,4,1,5,1,2,2,2,0,1,3,2,3111,0,0,1,0
226,1,1,528503,3,0,5,0,2,1,4,1,3,3,5,2,0,2205,0,0,2,1
227,1,9,5289420,1,1,0,2,3,2,3,0,0,3,3,1,2,9000,0,0,1,1
228,1,1,535196,0,1,3,0,0,0,4,2,1,2,0,2,1,3205,0,0,2,1
229,1,9,534597,1,1,0,2,3,3,3,2,0,2,3,3,2,4205,3111,2209,2,1
230,1,1,534280,0,0,0,1,4,1,0,0,0,3,3,0,2,2124,0,0,2,1
231,0,1,530028,0,0,3,1,0,0,2,0,3,1,3,0,0,3300,0,0,2,0
232,1,1,5262540,1,1,0,2,3,2,3,0,0,3,3,0,2,2113,0,0,2,1
233,1,1,530526,3,0,2,0,1,1,4,2,2,0,0,1,2,3113,0,0,1,1
234,0,1,528729,3,2,2,1,3,4,2,1,2,2,2,0,2,400,0,0,2,0
235,1,1,528469,2,2,5,1,4,1,2,2,3,2,3,1,0,2206,0,0,1,1
236,0,1,528179,2,2,4,1,1,3,1,0,0,2,3,0,2,3111,0,0,2,0
237,0,1,533750,4,2,5,1,1,3,2,0,2,3,1,2,2,0,0,0,2,0
238,0,1,528702,0,0,2,1,1,1,1,2,3,3,5,2,1,2209,0,0,1,1
239,1,1,534183,1,2,0,1,0,1,3,0,0,3,0,0,1,3205,0,0,2,1
240,1,1,529160,3,0,1,0,0,0,0,0,0,1,0,0,0,3205,0,0,2,1
241,1,1,529045,2,2,6,1,5,4,2,1,2,2,3,0,2,0,0,0,1,0
242,1,1,530354,2,2,1,1,0,1,4,2,3,3,5,0,0,2205,0,0,2,1
243,1,1,5281090,2,1,0,0,3,1,4,0,0,2,3,0,2,2208,0,0,1,1
244,1,9,5291410,2,0,6,1,2,1,0,0,0,3,3,3,2,9400,0,0,1,1
245,0,1,528904,0,0,2,0,0,0,0,0,2,1,0,0,0,41110,0,0,2,1
246,1,1,530366,0,1,2,1,4,4,0,2,1,2,0,3,2,3209,0,0,2,1
247,1,1,530170,0,0,1,1,0,0,4,2,2,0,5,0,0,2209,0,0,2,1
248,1,1,527709,4,0,1,1,4,1,4,2,0,0,5,2,2,2205,0,0,2,1
249,0,1,528169,4,1,4,0,1,1,2,2,2,3,1,0,2,3111,0,0,2,0
250,1,1,535043,3,3,3,1,2,0,2,1,3,3,5,2,1,2113,0,0,2,1
251,0,1,527940,0,0,6,1,5,0,2,1,2,3,0,0,0,5111,0,0,2,1
252,1,9,5291720,0,2,6,1,2,1,0,1,2,1,5,2,0,2208,0,0,1,1
253,0,1,530561,0,0,1,0,0,0,1,0,0,1,3,2,2,400,0,0,1,0
254,1,1,533738,0,0,2,1,4,0,0,0,0,1,0,0,2,3111,0,0,2,1
255,1,9,5294540,2,1,4,1,4,3,4,0,0,4,3,0,0,7111,0,0,2,1
256,1,1,533871,4,2,4,1,2,3,2,1,2,2,3,1,1,7209,0,0,2,1
257,1,1,529812,0,0,1,1,3,0,3,0,3,3,3,0,0,2205,0,0,1,1
258,0,1,534719,2,2,4,1,2,1,1,2,2,0,0,3,2,0,0,0,2,0
259,1,1,527734,0,0,4,1,2,1,2,2,2,3,3,2,0,11400,0,0,1,1
260,0,1,534933,1,2,4,1,4,1,1,1,2,1,3,0,2,0,0,0,2,0
261,0,1,529296,4,2,4,1,5,2,1,2,2,3,1,0,2,3111,0,0,1,0
262,0,9,5305630,1,1,0,2,3,2,3,0,0,3,3,0,2,0,0,0,2,0
263,1,1,528743,1,1,2,0,4,0,1,2,3,1,5,2,0,12208,0,0,1,1
264,1,1,530478,0,2,6,1,1,1,4,2,2,2,0,1,2,2209,0,0,1,1
265,0,1,528590,0,2,4,1,1,1,2,2,2,2,3,0,1,5206,0,0,2,1
266,0,1,529865,4,2,2,1,1,1,1,1,2,2,0,3,2,5124,0,0,1,0
267,0,1,527829,0,2,6,1,2,1,1,0,3,3,5,2,2,2124,0,0,1,0
268,1,1,534403,1,1,4,1,3,1,3,0,0,0,3,0,2,0,0,0,2,0
269,1,1,527883,4,0,4,1,3,1,2,1,1,2,0,0,2,31110,0,0,2,1
270,1,1,528570,0,0,4,1,1,1,1,2,1,0,5,0,0,2209,0,0,2,1
271,1,1,534626,0,0,3,1,0,0,2,2,3,0,2,2,2,4206,0,0,2,1
272,1,1,529796,0,0,1,0,0,0,0,3,3,1,5,0,2,2124,0,0,2,1
273,1,1,528638,0,0,2,1,0,1,4,1,2,3,3,2,0,4205,0,0,1,1
274,1,1,534624,1,0,0,2,3,0,0,0,0,3,0,0,1,11124,0,0,2,1
275,1,9,5297160,2,0,3,0,0,1,1,1,2,3,3,0,0,4207,0,0,2,1
276,1,1,534787,0,2,4,1,4,4,1,3,3,0,3,1,1,3111,0,0,2,0
277,0,1,528620,4,0,2,1,5,1,1,3,2,3,3,0,2,3111,0,0,2,0
278,0,1,528019,2,2,4,1,5,3,2,0,0,2,2,0,2,0,0,0,2,0
279,0,1,529172,3,0,4,1,2,0,4,2,1,3,3,3,2,8300,0,0,1,0
280,1,1,534644,1,1,4,2,5,3,3,0,0,3,3,0,2,0,0,0,2,0
281,0,1,530624,0,0,5,1,2,1,2,1,2,1,2,0,0,8400,0,0,1,1
282,1,1,527544,0,3,5,0,2,1,1,2,2,1,0,0,0,1400,0,0,2,1
283,1,1,527758,1,1,0,2,3,2,3,0,0,3,3,0,2,3124,0,0,2,1
284,0,1,530439,2,2,4,1,1,3,2,2,2,2,3,1,2,0,0,0,1,0
285,1,1,5283430,2,2,4,1,1,1,2,2,2,1,0,3,2,31110,0,0,1,1
286,0,1,5275210,0,2,4,0,4,2,4,1,3,3,3,0,1,2205,0,0,2,1
287,0,9,5305130,1,1,0,1,3,2,3,0,0,3,3,0,2,0,0,0,2,0
288,1,1,529428,1,1,0,2,3,2,3,0,0,3,3,0,2,2124,0,0,2,1
289,1,1,529126,1,2,4,1,1,4,1,0,0,0,3,3,2,8400,0,0,1,1
290,0,1,535054,4,2,6,1,5,3,3,0,0,2,2,0,2,0,0,0,2,0
291,1,1,528890,0,0,2,1,2,1,4,2,1,0,2,2,0,7111,0,0,2,1
292,1,1,530034,2,0,6,1,4,1,4,1,0,2,0,1,0,31110,0,0,2,1
293,1,1,534004,0,0,2,1,3,1,3,2,2,3,5,0,1,2209,0,0,2,0
294,0,1,533902,2,2,4,1,2,3,2,0,0,0,1,0,2,0,0,0,2,0
295,1,1,533886,3,1,1,0,2,0,3,0,0,3,0,0,1,3205,0,0,2,0
296,0,1,527702,0,4,1,0,4,1,4,3,2,1,5,2,1,2208,0,0,1,1
