,ZIPCODE,TIME1,TIME2,VIS1,VIS2,XRN1,XRN2,XRN3,XRN4,XRN5,VAR1,VAR2,VAR3,VAR4,VAR5,TRN_AMT,TOTAL_TRN_AMT,target
46,127,10,10,0,0,1,1,1,0,1,2,1,22.072,27,0,11.01,11.01,0
47,625,14,14,0,0,0,1,1,0,1,3,1,-15.296,21,0,12.95,12.95,0
48,124,3,3,0,0,0,1,1,0,1,2,1,-9.832,26,0,12.95,12.95,0
49,115,0,0,1,0,1,1,0,0,2,3,1,16.816,7,0,12.95,12.95,0
50,107,18,18,0,0,0,1,0,0,1,1,1,18.424,7,0,49.95,49.95,0
51,110,17,17,0,0,1,0,0,0,2,3,0,-33.384,9,0,49.95,49.95,0
52,655,13,13,0,0,0,1,0,0,1,0,0,34.872,23,0,49.95,49.95,0
53,308,10,10,0,0,1,1,0,0,1,2,0,19.456,8,1,10.36,10.36,0
54,685,12,12,0,0,0,1,1,0,1,3,0,-49.304,21,0,12.95,12.95,0
55,600,14,13,0,0,0,0,0,0,1,2,1,-41.848,15,0,59.4,59.4,0
56,386,16,16,0,0,0,0,0,0,1,2,1,38.12,23,0,11.65,11.65,0
57,679,19,19,0,0,0,0,0,0,1,3,0,45.376,19,3,12.95,12.95,1
58,420,14,14,0,0,1,1,0,0,1,3,0,19.808,12,0,38.85,38.85,0
59,398,11,11,0,0,1,0,0,0,1,2,0,-28.208,10,0,12.95,12.95,0
60,105,18,18,0,0,1,1,1,0,1,3,0,-6.808,21,0,49.95,49.95,0
61,672,16,15,0,0,0,0,0,0,1,3,0,18.608,36,0,12.95,12.95,0
62,685,9,9,0,0,0,1,0,0,1,2,1,-20.44,10,2,38.85,38.85,0
63,109,14,14,0,0,1,0,0,0,1,3,1,4.848,8,0,38.85,38.85,0
64,685,9,9,0,0,1,0,0,0,1,3,0,44.856,9,4,38.85,38.85,0
65,685,10,10,1,0,0,0,0,0,2,3,1,9.984,8,0,38.85,38.85,0
66,386,22,22,0,0,0,0,0,0,1,0,0,-7.424,25,0,12.95,12.95,0
67,112,12,12,0,0,1,0,0,0,1,0,0,-6.4,9,1,38.85,38.85,0
68,693,12,12,0,0,1,1,0,0,1,3,1,21.176,6,0,38.85,38.85,0
69,672,14,14,0,0,1,1,1,0,2,0,1,-30.056,8,0,38.85,38.85,0
70,430,13,13,0,0,0,1,0,0,1,0,0,-13.616,10,1,49.95,49.95,0
71,685,12,12,0,0,1,0,1,0,1,0,1,-0.944,9,0,25.9,25.9,0
72,355,16,16,0,0,1,0,1,0,1,3,1,-5.224,8,0,12.95,12.95,0
73,428,14,14,0,0,1,1,1,0,1,2,1,47.352,8,8,25.9,25.9,0
74,128,16,16,0,0,1,1,0,0,1,2,0,21.304,6,0,12.95,12.95,0
75,602,7,7,0,0,1,0,0,0,1,2,0,-86.032,19,1,12.95,12.95,0
76,685,9,9,0,0,0,1,1,0,4,1,1,-68.808,13,0,38.85,38.85,0
77,655,14,14,0,0,0,1,1,0,1,2,0,16.392,17,0,12.95,12.95,0
78,693,8,8,1,0,1,1,0,0,1,3,1,29.88,9,4,12.95,12.95,0
79,102,18,18,0,0,0,0,0,0,1,3,1,-1.248,25,0,49.95,49.95,0
80,625,11,11,1,0,0,0,0,0,1,3,1,39.24,7,0,38.85,38.85,0
81,675,9,9,0,0,1,0,0,0,2,3,1,-58.632,27,0,38.85,38.85,0
82,113,16,16,0,0,1,1,0,0,1,3,0,-59.272,14,0,10.36,10.36,0
83,675,10,10,0,0,0,0,1,0,1,3,1,-60.632,13,0,31.08,31.08,0
84,166,7,7,0,0,1,1,1,0,1,3,0,2.688,21,0,38.85,38.85,0
85,355,18,18,0,0,0,0,0,0,1,3,1,-26.864,17,0,38.85,38.85,0
86,655,22,22,0,0,1,1,0,0,1,0,0,3.496,10,0,11.01,11.01,0
87,679,3,3,0,0,1,1,0,0,1,3,0,7.824,6,0,12.95,12.95,0
88,166,18,18,0,0,1,0,0,0,3,3,0,40.128,7,1,12.95,12.95,0
89,655,14,14,0,0,0,1,1,0,1,2,1,42.8,24,0,12.95,12.95,0
90,650,16,16,0,0,0,0,0,0,1,3,0,15.632,20,4,12.95,12.95,0
91,614,17,17,0,0,0,1,1,0,1,3,1,-34.392,6,6,10.36,10.36,0
92,625,22,22,0,0,0,1,1,0,1,0,0,-26.144,18,2,38.85,38.85,0
93,103,12,12,0,0,1,1,0,0,1,2,1,16.424,19,0,38.85,38.85,0
94,693,11,11,0,0,0,1,1,0,1,2,0,-43.352,17,0,12.95,12.95,0
95,398,14,14,0,0,1,1,1,0,2,3,0,9.216,7,0,12.95,12.95,0
96,649,10,10,0,0,1,1,0,0,2,3,1,-43.096,15,0,12.95,12.95,0
97,655,22,22,0,0,1,1,1,0,2,1,0,32.976,10,2,31.08,31.08,0
98,672,12,12,1,0,0,0,0,0,1,1,1,18.84,14,0,38.85,38.85,0
99,685,18,18,0,0,1,1,1,0,1,3,0,-25.296,8,0,49.95,49.95,0
100,398,6,6,0,0,1,0,0,0,1,3,1,-40.416,10,4,12.95,12.95,0
101,655,15,15,0,0,0,0,0,0,1,0,1,49.464,16,2,12.95,12.95,0
102,630,19,19,0,0,1,1,0,0,1,2,0,14.416,9,0,38.85,38.85,0
103,128,10,10,0,0,1,1,0,0,2,3,1,21.552,9,0,38.85,38.85,0
104,362,20,20,0,0,0,1,1,0,2,3,0,51.632,17,3,38.85,38.85,0
105,601,13,13,1,0,0,0,1,0,2,0,0,-16.336,28,0,38.85,38.85,0
106,107,21,21,0,0,1,1,0,0,3,3,0,6.336,9,1,38.85,38.85,0
107,166,14,14,1,0,0,1,1,0,1,2,0,-17.36,20,0,49.95,49.95,0
108,614,18,18,0,0,1,0,0,0,1,3,1,45.464,22,0,12.95,12.95,0
109,109,19,19,0,0,0,0,0,0,1,3,0,-38.728,24,0,12.95,12.95,0
110,166,9,9,0,0,1,1,0,0,1,3,1,16.816,10,0,12.95,12.95,0
111,308,13,13,0,0,1,0,0,0,1,3,1,29.648,25,4,59.4,59.4,0
112,386,12,12,0,0,0,0,0,0,1,2,1,39.344,14,3,12.95,12.95,0
113,127,10,10,0,0,0,1,0,0,1,3,0,44.048,16,3,12.95,12.95,0
114,601,20,20,0,0,0,0,0,0,1,3,0,7.392,8,0,49.95,49.95,0
115,127,14,14,0,0,1,1,0,0,1,3,0,40.632,20,3,12.95,12.95,0
116,675,16,16,0,0,0,1,0,0,1,3,1,45.248,27,0,38.85,38.85,0
117,105,18,18,0,0,1,0,0,0,2,3,0,-27.76,6,0,38.85,38.85,0
118,655,20,20,0,0,1,0,0,0,1,2,0,47.272,8,3,12.95,12.95,0
119,121,5,5,0,0,0,0,1,0,1,3,1,-11.576,19,0,38.85,38.85,0
120,630,17,17,0,0,0,0,1,0,1,2,0,46.928,19,0,12.95,12.95,0
121,685,16,16,0,0,0,1,0,0,1,3,0,17.704,19,0,12.95,12.95,0
122,430,8,8,0,0,0,0,0,0,1,2,0,53.28,15,2,38.85,38.85,0
123,685,20,20,0,0,0,1,0,0,1,2,1,52.2,15,4,31.08,31.08,0
124,634,20,20,0,0,1,1,0,0,1,3,1,-38.688,6,0,38.85,38.85,0
125,308,15,15,0,0,1,0,0,0,1,3,0,12.128,13,0,38.85,38.85,0
126,614,10,10,0,0,0,0,0,0,1,3,0,31.704,25,0,38.85,38.85,0
127,105,0,0,0,0,0,0,0,0,1,3,1,21.728,21,0,12.95,12.95,0
128,664,3,3,0,0,0,0,0,0,1,3,1,12.4,18,0,49.95,49.95,0
129,108,8,8,0,0,0,1,1,0,1,3,1,-35.448,7,0,49.95,49.95,0
130,356,10,10,0,0,0,0,0,0,1,3,0,-17.352,19,0,12.95,12.95,0
131,127,19,19,0,0,1,0,0,0,2,3,0,10.632,9,1,25.9,25.9,0
132,685,11,11,0,0,1,1,0,0,1,2,1,11.72,12,0,38.85,38.85,0
133,105,1,1,1,0,1,1,1,0,1,2,0,23.536,9,9,12.95,12.95,0
134,119,16,16,0,0,0,0,0,0,1,3,0,5.696,22,0,49.95,49.95,0
135,664,22,22,0,0,1,1,0,0,2,2,0,-10.088,9,9,31.08,31.08,0
136,119,17,17,0,0,1,0,0,0,1,2,1,-2.808,6,0,12.95,12.95,0
137,362,18,18,0,0,1,1,1,0,3,3,1,-0.6,9,0,11.01,11.01,0
138,625,13,13,0,0,0,1,0,0,1,3,0,23.68,20,1,11.65,11.65,0
139,452,11,11,0,0,1,1,0,0,1,3,1,-30.464,8,0,38.85,38.85,0
140,649,20,20,0,0,0,1,0,0,1,3,1,37.84,9,2,49.95,49.95,0
141,369,14,14,0,0,1,1,1,0,1,2,1,40.4,9,0,11.01,11.01,1
142,601,7,7,0,0,1,0,0,0,2,3,0,35.816,8,0,12.95,12.95,0
143,672,18,18,0,0,1,1,1,0,2,3,0,28.16,24,4,12.95,12.95,0
144,127,18,18,0,0,0,0,0,0,1,3,0,-60.352,19,2,12.95,12.95,0
145,308,11,11,0,0,1,1,0,0,1,3,1,15.344,32,0,38.85,38.85,0
146,630,16,16,0,0,1,1,0,0,1,3,0,-2.976,9,1,12.95,12.95,0
147,685,8,8,0,0,0,1,1,0,1,3,0,-5.88,22,0,49.95,49.95,0
148,103,1,1,1,0,0,1,1,0,1,3,1,36.304,20,0,38.85,38.85,0
149,685,10,10,0,0,1,1,1,0,2,0,1,22.144,8,2,12.95,12.95,0
150,108,2,2,0,0,0,1,1,0,1,3,0,11.288,11,0,12.95,12.95,0
151,128,22,22,0,0,0,0,1,0,1,2,1,-22.976,16,0,12.95,12.95,0
152,117,17,17,0,0,1,0,0,0,2,2,0,-43.36,11,1,31.08,31.08,0
153,672,16,16,0,0,0,1,1,0,1,2,1,-45.52,17,0,12.95,12.95,0
154,428,14,14,0,0,0,1,0,0,1,3,1,41.712,16,0,38.85,38.85,0
155,634,13,13,0,0,0,1,1,0,3,3,1,-2.6,10,4,12.95,12.95,0
156,675,17,17,0,0,1,0,0,0,1,3,0,-1.112,8,0,38.85,38.85,0
157,675,0,0,0,0,1,0,0,0,2,3,1,-3.272,8,0,12.95,12.95,0
158,614,15,15,0,0,1,1,0,0,1,2,1,-25.928,9,9,38.85,38.85,0
159,103,22,22,0,0,0,1,1,0,1,3,0,13.112,21,0,49.95,49.95,0
160,685,10,10,1,0,0,0,0,0,1,4,1,-30.728,9,1,38.85,38.85,0
161,688,10,10,0,0,0,0,0,0,1,2,0,39.936,19,1,12.95,12.95,0
162,151,20,20,0,0,1,0,0,0,1,3,0,36.512,8,0,38.85,38.85,0
163,398,5,5,0,0,0,0,0,0,1,2,1,-21.824,21,0,12.95,12.95,0
164,127,13,13,0,0,1,0,1,0,2,3,1,19.544,12,0,38.85,38.85,0
165,655,16,16,0,0,1,1,1,0,2,2,1,28.152,6,2,38.85,38.85,0
166,166,21,21,0,0,0,0,1,0,1,1,0,45.192,22,0,38.85,38.85,0
167,693,10,10,0,0,0,0,1,0,1,2,0,26.424,20,0,38.85,38.85,0
168,102,17,17,1,0,0,1,0,0,1,2,1,-1.256,22,0,10.36,10.36,0
169,369,12,12,0,0,1,0,0,0,1,3,0,23.416,8,0,10.36,10.36,0
170,634,10,10,0,0,1,1,0,0,1,3,0,11.24,10,0,38.85,38.85,0
171,687,14,14,0,0,1,0,0,0,2,3,0,-61.776,19,0,12.95,12.95,0
172,114,0,0,1,0,1,1,0,0,1,3,0,24.32,9,0,12.95,12.95,0
173,685,17,17,0,0,1,1,0,0,1,3,1,-23.16,23,0,12.95,12.95,0
174,369,11,11,0,0,0,1,0,0,1,3,0,32.448,15,1,38.85,38.85,0
175,308,9,9,0,0,1,1,1,0,1,3,0,15.256,25,0,38.85,38.85,0
176,644,17,17,0,0,0,0,0,0,1,3,1,33.92,10,0,11.01,11.01,0
177,614,11,11,0,0,0,0,0,0,1,3,1,2.608,10,0,11.01,11.01,0
178,428,12,12,0,0,1,0,0,0,1,1,1,0.832,12,4,12.95,12.95,0
179,672,11,11,0,0,0,1,1,0,1,1,1,23.784,11,0,25.9,25.9,0
180,355,11,11,0,0,1,1,0,0,2,3,1,10.176,8,0,38.85,38.85,0
181,647,18,18,0,0,1,1,1,0,2,3,0,-36.928,10,4,38.85,38.85,0
182,369,13,13,1,0,0,0,0,0,1,3,0,30.728,19,0,38.85,38.85,0
183,685,7,7,0,0,1,1,1,1,2,3,1,-1.664,9,9,38.85,38.85,0
184,385,13,13,0,1,1,0,0,0,2,3,0,44.184,20,0,12.95,12.95,0
185,166,18,18,0,0,1,1,1,0,1,2,0,17.976,9,4,44.85,44.85,0
186,122,19,19,0,0,0,0,0,0,1,4,1,50.648,21,4,0.0,0.0,1
187,602,16,16,0,0,0,1,1,0,1,2,0,0.048,24,0,38.85,38.85,0
188,124,15,15,0,0,0,1,1,0,1,3,0,14.6,9,0,49.95,49.95,0
189,683,15,15,0,0,1,1,0,0,1,2,1,3.696,8,0,38.85,38.85,0
190,398,11,11,0,0,0,0,0,0,1,3,0,-1.832,24,0,38.85,38.85,0
191,112,10,10,0,0,1,1,0,0,2,3,0,28.224,17,0,49.95,49.95,0
192,107,16,16,0,0,0,0,1,0,1,3,0,46.472,18,0,12.95,12.95,0
193,369,20,20,0,0,1,0,0,0,1,2,0,37.544,8,0,34.95,34.95,0
194,685,20,20,0,0,1,1,1,0,1,3,0,5.664,10,0,12.95,12.95,0
195,655,19,19,0,0,0,0,0,0,1,4,0,44.136,8,0,12.95,12.95,0
196,644,11,11,0,0,0,1,0,0,1,3,1,-18.312,19,0,12.95,12.95,0
197,125,16,16,0,0,0,1,1,0,1,2,0,-8.44,20,0,10.36,10.36,0
198,649,7,7,0,0,0,0,0,0,1,3,1,15.336,18,2,12.95,12.95,0
199,614,20,20,0,0,1,1,0,0,1,0,0,18.88,21,0,31.08,31.08,0
200,602,16,16,0,0,1,1,1,0,1,3,0,-5.808,11,0,38.85,38.85,0
201,106,12,12,0,0,1,0,0,0,3,3,1,-62.288,9,9,11.01,11.01,0
202,630,10,10,0,0,1,0,0,1,2,3,1,20.76,7,0,11.01,11.01,0
203,430,12,12,0,0,0,1,0,0,1,3,0,39.392,24,0,38.85,38.85,0
204,685,18,18,0,0,1,0,0,0,1,2,0,21.24,9,9,12.95,12.95,0
205,685,15,15,0,0,1,1,1,0,1,3,0,12.808,28,0,25.9,25.9,0
206,687,23,23,0,0,0,0,0,0,1,4,0,16.816,9,0,12.95,12.95,0
207,675,3,3,0,0,1,1,1,0,2,3,0,-67.224,10,1,12.95,12.95,0
208,655,20,20,0,0,0,1,1,0,1,3,1,-41.472,15,4,49.95,49.95,0
209,634,16,16,0,0,0,0,0,0,1,3,1,-34.696,23,0,49.95,49.95,0
210,675,20,20,0,0,0,1,0,0,2,3,0,41.776,18,0,49.95,49.95,0
211,166,13,13,0,0,0,1,1,0,1,3,0,37.864,16,2,12.95,12.95,0
212,648,19,19,0,0,0,1,1,0,2,3,0,-6.792,16,0,12.95,12.95,0
213,669,16,16,0,0,0,1,1,0,1,2,0,29.248,13,0,39.96,39.96,0
214,688,20,20,0,0,1,0,0,0,2,2,0,39.712,11,2,12.95,12.95,0
215,430,10,10,0,0,1,0,0,0,1,2,1,-6.464,7,2,12.95,12.95,0
216,614,17,17,0,0,0,0,0,0,1,3,1,1.176,26,0,38.85,38.85,0
217,625,17,17,0,0,1,0,0,0,2,3,0,29.632,12,0,25.9,25.9,0
218,647,21,21,0,0,0,1,0,0,1,3,1,19.152,21,3,38.85,38.85,0
219,127,21,21,0,0,0,1,1,0,1,3,0,15.984,15,0,12.95,12.95,0
220,647,22,22,1,0,0,0,1,0,1,3,0,55.504,16,0,12.95,12.95,0
221,166,16,16,1,0,1,0,0,0,1,3,1,-11.936,9,9,12.95,12.95,0
222,685,13,12,0,0,1,0,0,0,1,3,0,12.144,6,1,12.95,12.95,0
223,648,10,10,0,0,1,1,1,0,1,3,1,0.624,7,0,38.85,38.85,0
224,672,16,16,1,0,1,0,1,0,2,2,0,38.416,12,4,20.72,20.72,0
225,685,9,9,0,0,1,0,0,0,1,3,1,29.28,19,0,11.01,11.01,0
226,648,11,11,0,0,1,1,0,0,2,3,1,5.448,7,0,38.85,38.85,0
227,103,10,10,0,0,1,1,1,0,1,0,0,-17.664,9,9,12.95,12.95,0
228,647,14,14,0,0,0,1,1,0,2,3,0,29.824,16,0,10.36,10.36,0
229,685,17,17,0,0,0,0,0,0,1,4,0,27.448,6,0,12.95,12.95,0
230,111,13,13,1,0,0,1,1,0,2,3,0,-77.512,19,0,12.95,12.95,0
231,166,8,8,0,0,0,1,0,0,1,3,1,-49.872,26,0,38.85,38.85,0
232,685,22,22,0,0,1,1,1,0,2,0,0,-75.904,12,4,49.95,49.95,0
233,614,14,14,1,0,1,1,1,0,1,3,1,26.256,18,0,12.95,12.95,0
234,685,17,17,0,0,1,1,1,1,4,4,0,28.16,7,6,12.95,12.95,0
235,106,15,15,0,0,1,0,0,0,1,3,0,44.568,26,0,25.9,25.9,0
236,428,10,10,0,0,0,1,1,0,1,3,0,31.512,25,0,12.95,12.95,0
237,675,14,14,0,0,0,0,0,0,1,3,0,-31.888,20,7,12.95,12.95,0
238,127,11,11,0,0,0,0,1,0,1,2,0,42.456,21,0,38.85,38.85,0
239,672,0,0,0,0,1,1,0,0,1,3,0,46.992,6,0,12.95,12.95,0
240,634,14,14,0,0,1,0,1,0,1,3,0,49.144,6,1,10.36,10.36,0
241,453,12,12,1,0,0,0,0,0,1,3,0,31.24,8,1,12.95,12.95,0
242,120,18,18,0,0,1,0,0,0,1,3,1,-7.44,14,1,12.95,12.95,0
243,420,4,4,0,0,0,1,1,0,1,2,0,-45.68,16,4,12.95,12.95,0
244,108,16,17,0,0,1,0,0,0,1,3,0,4.696,8,0,38.85,38.85,0
245,600,16,16,0,0,1,1,0,0,1,3,0,15.296,9,9,38.85,38.85,0
246,308,13,13,0,0,0,1,1,0,1,3,1,-0.992,15,4,12.95,12.95,0
247,308,8,8,0,0,1,0,1,0,2,2,0,-19.24,9,0,12.95,12.95,0
248,685,18,18,0,0,1,1,0,0,2,0,1,-40.784,8,0,12.95,12.95,0
249,649,14,14,0,0,1,0,0,0,1,3,0,12.64,25,0,12.95,12.95,0
250,625,1,1,0,0,1,0,0,0,1,3,0,54.192,6,0,10.36,10.36,0
251,453,13,13,0,0,0,1,1,0,1,3,0,52.496,10,0,38.85,38.85,0
252,634,12,12,0,0,0,0,0,0,1,3,0,-24.08,21,2,14.95,14.95,0
253,634,16,16,0,0,0,1,0,0,1,0,1,46.088,23,0,38.85,38.85,0
254,670,18,18,0,0,0,1,0,0,1,3,1,12.872,24,0,12.95,12.95,0
255,685,22,22,0,0,0,0,0,0,1,2,1,15.736,11,0,12.95,12.95,0
256,386,14,15,1,0,0,0,0,0,1,3,0,37.864,18,0,31.08,31.08,0
257,693,11,11,0,0,1,0,0,0,1,3,1,11.728,11,2,49.95,49.95,0
258,693,11,11,0,0,1,1,0,0,1,3,0,-5.936,9,2,12.95,12.95,0
259,103,16,16,0,0,1,1,1,0,1,3,0,-19.4,9,9,38.85,38.85,0
260,675,15,15,0,0,0,0,0,0,1,3,1,-58.648,8,0,12.95,12.95,0
261,193,12,12,0,0,1,0,0,0,1,3,0,-0.08,28,0,49.95,49.95,0
262,625,16,16,0,0,0,0,0,0,1,0,0,-79.424,17,0,25.9,25.9,0
263,102,11,11,1,0,1,1,1,0,1,3,1,-18.608,6,0,12.95,12.95,0
264,102,18,18,0,0,1,1,0,0,1,3,1,-22.584,26,0,38.85,38.85,0
265,664,0,0,1,0,1,0,1,0,1,3,1,33.632,9,9,12.95,12.95,0
266,166,13,13,0,0,0,1,1,0,1,3,1,7.504,20,0,38.85,38.85,0
267,625,12,12,0,0,1,1,1,0,4,0,1,30.176,11,4,38.85,38.85,0
268,601,8,8,0,0,1,0,0,0,1,0,1,33.28,16,6,12.95,12.95,0
269,128,20,20,0,0,1,1,1,0,2,2,0,17.192,7,0,38.85,38.85,0
270,672,10,10,0,0,1,0,0,0,1,2,0,1.912,11,0,12.95,12.95,0
271,101,20,20,0,0,0,0,0,0,1,3,0,1.952,16,0,38.85,38.85,0
272,166,10,10,0,1,0,1,1,0,1,3,1,-17.296,7,0,38.85,38.85,0
273,606,6,6,0,0,1,0,0,1,3,0,0,-29.984,6,0,38.85,38.85,0
274,125,15,15,0,0,0,1,1,0,2,3,0,10.776,22,0,38.85,38.85,0
275,125,3,3,0,0,0,0,0,0,1,3,1,15.24,14,3,12.95,12.95,0
276,116,15,15,1,0,1,0,0,0,2,2,1,-32.176,9,9,38.85,38.85,0
277,625,10,10,0,0,1,1,1,0,2,3,0,41.48,13,0,59.4,59.4,0
278,109,10,10,0,0,1,1,1,0,1,2,0,-19.4,9,9,25.9,25.9,0
279,398,11,11,1,0,1,0,0,0,1,3,0,39.08,12,1,38.85,38.85,0
280,685,16,16,0,0,1,0,0,0,1,4,0,-12.832,10,0,12.95,12.95,0
281,308,10,10,0,0,1,1,0,0,1,2,0,4.896,6,1,10.36,10.36,0
282,685,13,13,0,0,1,1,1,0,2,3,0,11.88,22,0,10.36,10.36,0
283,120,13,13,0,0,1,0,0,0,1,3,1,39.848,8,0,36.26,36.26,1
284,420,10,10,0,0,0,1,1,0,1,3,0,-27.392,28,0,38.85,38.85,0
285,308,8,7,0,0,0,1,1,0,1,3,1,-16.704,18,0,49.95,49.95,0
286,385,1,1,0,0,0,1,0,0,1,2,1,32.072,24,0,38.85,38.85,0
287,685,21,21,0,0,1,1,0,0,1,1,1,-14.64,9,9,12.95,12.95,0
288,675,20,20,0,0,0,1,0,0,1,3,1,34.488,16,0,12.95,12.95,0
289,693,19,19,0,0,0,1,1,0,1,2,0,-49.904,18,0,38.85,38.85,0
290,670,21,21,0,0,0,1,1,0,1,0,0,-9.624,24,0,12.95,12.95,1
291,614,22,22,0,0,1,0,0,0,2,3,1,0.448,13,2,12.95,12.95,0
292,614,6,6,0,0,0,0,0,0,1,3,0,0.736,6,3,10.36,10.36,0
293,614,13,13,0,0,0,0,1,0,1,3,0,11.856,19,1,49.95,49.95,0
294,601,14,14,0,0,1,1,1,0,1,3,0,13.344,8,2,12.95,12.95,0
295,430,8,8,0,0,0,0,1,0,1,4,1,20.888,7,2,12.95,12.95,0
296,625,14,14,0,0,0,1,1,0,1,3,0,15.608,18,0,38.85,38.85,0
297,601,7,7,0,0,0,0,0,0,1,3,1,37.64,17,1,38.85,38.85,0
298,647,12,12,1,0,1,1,0,0,1,2,0,-12.704,9,9,38.85,38.85,0
299,428,14,14,0,0,0,0,0,0,1,2,0,15.64,22,3,38.85,38.85,0
300,601,15,14,0,0,0,1,1,0,1,2,1,-72.344,24,1,10.36,10.36,0
301,369,7,7,0,0,0,1,1,0,1,3,0,9.824,26,0,38.85,38.85,0
302,420,12,12,0,0,0,0,1,0,1,3,0,-30.712,16,3,38.85,38.85,0
303,602,16,16,0,0,0,1,1,0,3,2,1,-0.28,10,2,38.85,38.85,0
304,644,13,13,0,0,0,1,1,0,1,0,1,-2.16,10,0,38.85,38.85,0
305,601,8,8,0,0,1,1,1,0,2,3,1,-3.784,9,0,10.36,10.36,0
306,308,19,19,0,0,0,1,0,0,1,0,1,-21.392,16,0,20.72,20.72,0
307,601,14,14,0,0,0,0,1,0,1,2,0,-34.136,27,0,12.95,12.95,0
308,112,20,20,0,0,1,0,1,0,2,2,0,-28.952,9,0,12.95,12.95,1
309,672,16,16,0,0,0,1,1,0,1,2,1,9.208,32,0,49.95,49.95,0
