,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,target
37,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
39,2,1,1,2,2,1,1,1,1,0,2,1,0,1,1,0,1
40,2,0,1,2,2,1,1,1,1,1,0,1,2,1,0,1,1
41,2,0,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
42,2,1,1,2,2,1,1,1,1,1,1,1,2,1,0,0,1
43,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,0,1
44,2,0,1,2,2,1,1,1,1,1,2,1,2,1,0,1,1
45,2,0,1,2,2,1,1,1,2,1,2,1,2,1,1,1,1
46,2,0,1,2,2,1,1,1,1,1,1,1,2,1,0,0,1
47,2,1,1,2,2,1,1,1,2,1,1,1,2,1,0,1,1
48,2,0,1,2,2,1,1,1,0,1,1,1,2,0,0,0,1
49,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
50,2,0,1,2,2,1,1,1,1,1,2,1,2,1,1,0,1
51,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0
52,2,0,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1
53,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
54,2,0,1,2,2,0,2,1,0,1,2,0,2,0,0,1,1
55,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
56,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
60,2,0,1,2,2,2,1,1,1,0,1,1,2,1,1,1,1
61,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
62,2,0,1,2,2,1,1,1,1,1,1,1,2,1,0,1,1
63,2,0,1,2,2,1,1,1,1,1,2,1,2,1,0,0,1
64,2,0,1,2,2,1,1,1,1,1,2,2,2,1,0,0,1
65,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
66,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
68,2,2,1,2,2,1,1,1,1,1,1,1,0,1,1,0,1
69,2,0,1,2,2,1,1,1,1,1,1,1,2,1,1,0,1
70,2,1,1,2,2,1,1,1,1,1,1,1,0,1,1,1,1
71,2,0,1,0,2,1,1,1,1,0,2,1,2,0,0,0,0
72,2,0,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1
73,2,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0
74,2,1,1,2,2,0,1,1,1,0,2,1,2,0,1,0,1
75,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,2,1
76,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,1,1
77,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,1
78,2,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,1
79,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
80,2,1,1,2,2,0,1,1,1,0,1,0,2,0,0,1,1
81,2,1,1,2,2,1,1,1,2,0,2,0,2,0,0,0,1
82,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
83,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
84,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
85,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,1
86,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
87,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
88,0,0,1,2,0,0,1,0,1,0,2,1,0,0,0,0,1
89,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0
90,2,1,1,2,2,1,1,1,1,0,1,1,2,1,1,0,1
91,2,1,1,2,2,1,1,1,1,0,2,1,2,1,1,0,1
92,2,0,1,2,2,1,1,1,0,0,2,1,2,2,1,0,1
93,2,1,1,2,2,1,1,0,1,0,2,1,2,1,1,0,1
94,2,1,1,2,0,0,0,0,0,1,1,1,2,1,0,0,1
95,2,1,1,2,0,0,0,2,2,1,2,2,1,2,1,0,1
96,0,1,2,2,0,0,0,0,0,1,2,0,0,0,0,0,1
97,2,1,0,2,0,0,1,0,0,0,2,1,2,0,0,0,1
98,2,0,1,2,2,0,1,1,1,0,1,1,2,1,0,0,1
99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
100,2,1,0,2,0,0,0,0,0,1,2,0,2,0,0,0,1
101,2,1,1,2,0,0,1,0,0,1,2,1,2,0,0,0,1
102,2,1,1,2,0,0,1,0,2,1,2,1,0,0,1,1,1
103,2,1,0,2,0,0,2,0,2,1,1,1,2,0,2,2,1
104,1,2,2,1,2,0,1,1,1,0,0,1,0,0,0,1,1
105,2,0,1,2,2,1,0,1,1,1,2,1,2,1,1,0,1
106,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
107,0,2,2,1,1,2,2,2,2,2,0,2,1,0,2,1,0
108,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
109,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
110,0,1,1,2,2,1,1,1,1,0,1,1,2,1,1,0,1
111,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
112,0,2,1,2,2,0,1,1,0,0,1,1,2,1,1,1,1
113,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
114,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
115,0,2,1,2,1,2,1,1,1,0,0,2,2,1,1,0,1
116,2,1,1,2,2,1,1,1,1,1,2,1,2,1,1,0,1
117,2,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
118,0,0,1,2,2,1,0,1,1,0,2,1,2,1,1,0,1
119,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
120,0,2,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0
121,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
122,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
123,2,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
124,0,2,1,2,2,1,1,1,1,1,1,1,2,1,1,0,1
125,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
126,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
127,0,2,1,2,2,1,1,1,1,0,2,1,2,0,1,0,1
128,0,2,1,2,2,0,0,1,0,0,2,1,2,1,1,0,1
129,1,2,1,2,2,1,1,1,2,1,0,2,1,2,2,1,1
130,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1
131,0,1,1,2,2,0,0,1,1,0,1,1,2,0,0,0,1
132,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
133,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
134,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
135,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
136,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
137,0,2,1,2,2,0,1,1,1,0,1,1,2,0,1,0,1
138,0,1,1,2,2,0,1,1,1,0,1,1,2,0,0,0,1
139,2,1,1,2,2,0,1,1,1,1,1,1,2,1,1,0,1
140,0,1,0,0,2,1,1,1,1,0,1,1,0,0,0,0,0
141,0,1,0,0,0,0,1,1,1,0,1,0,0,0,2,0,0
142,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
143,1,0,0,2,2,1,1,1,1,0,2,1,2,0,1,0,1
144,0,2,0,2,2,0,1,1,1,0,1,1,2,0,0,1,1
145,0,1,1,2,2,0,1,1,1,0,1,1,2,0,2,0,1
146,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
147,0,1,0,2,2,1,1,1,1,0,1,0,0,0,1,0,1
148,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
149,0,1,1,2,2,1,1,1,1,0,1,1,0,1,1,0,1
150,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
151,2,0,2,0,0,0,0,0,1,1,2,2,0,0,0,2,1
152,0,0,1,2,2,0,0,1,1,0,2,1,0,1,1,0,1
153,0,1,1,2,2,0,1,1,1,0,2,1,0,0,0,0,1
154,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
155,2,0,0,0,0,0,0,2,0,1,2,0,0,0,0,2,0
156,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0
157,0,0,1,2,2,0,0,1,1,1,2,1,1,2,2,1,1
158,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
159,0,0,1,2,1,0,1,1,1,0,2,1,2,2,0,1,1
160,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,1
161,0,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1
162,0,0,1,2,0,0,1,0,0,1,2,0,0,0,0,0,1
163,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
164,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1
165,0,0,1,2,2,0,1,1,1,0,2,1,0,1,1,1,1
166,2,1,1,0,0,0,1,1,0,0,1,0,2,0,1,0,0
167,2,1,1,0,0,0,1,1,0,0,2,0,2,0,1,0,0
168,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1
169,2,1,1,2,2,1,1,1,1,0,2,1,2,0,0,0,1
170,2,1,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1
171,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
172,0,0,1,2,2,1,1,1,1,0,1,1,1,1,1,0,1
173,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1
174,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
175,0,0,1,2,2,1,1,1,1,0,1,1,2,1,1,0,1
176,0,1,1,0,2,1,1,1,1,0,1,1,2,0,1,0,0
177,0,1,1,2,2,1,1,1,1,0,2,2,2,1,1,0,1
178,1,1,1,2,2,1,1,1,1,0,2,2,2,1,1,1,1
179,2,1,1,2,2,1,1,1,1,0,1,1,2,1,1,0,1
180,1,2,1,2,2,1,1,1,1,2,0,1,2,1,2,1,1
181,0,1,1,2,2,1,1,1,1,0,2,1,2,1,1,0,1
182,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,0,1
183,1,2,2,1,1,2,2,2,1,2,0,2,1,2,2,1,1
184,0,1,1,2,2,1,1,1,1,0,2,1,2,1,1,0,1
185,2,1,1,2,2,1,1,1,1,0,1,2,2,1,1,0,1
186,0,0,1,2,2,1,1,1,1,0,2,1,2,1,1,0,1
187,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
188,2,2,0,0,0,0,1,1,0,1,1,0,1,0,2,1,0
189,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,0,1
190,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
191,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0
192,0,1,0,2,2,0,1,1,1,1,2,1,2,0,1,0,1
193,0,1,1,2,2,1,1,1,1,1,1,1,2,1,1,0,1
194,0,1,1,2,2,0,1,2,1,0,2,1,2,1,1,0,1
195,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
196,0,1,1,2,2,0,1,1,1,1,2,0,2,0,1,1,1
197,0,2,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0
198,0,1,1,2,2,1,1,1,1,0,2,1,1,1,1,1,1
199,2,0,0,2,2,1,1,1,2,1,2,1,2,1,1,1,1
200,0,1,1,2,2,1,1,1,1,1,1,1,2,0,1,0,1
201,2,0,1,2,2,1,1,1,1,1,1,1,2,1,1,0,1
202,2,1,1,2,2,0,1,1,1,0,2,1,2,1,1,0,1
203,2,1,1,2,2,1,1,1,1,0,1,1,2,1,1,0,1
204,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
205,0,1,1,2,2,0,1,1,1,0,1,0,2,1,0,0,1
206,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
207,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
208,0,1,1,2,2,1,1,1,1,1,1,2,2,1,1,0,1
209,2,0,1,2,2,1,1,1,1,0,2,1,2,1,0,0,1
210,0,1,1,2,2,0,1,1,1,1,1,1,2,1,1,0,1
211,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
212,0,1,1,2,2,1,1,1,1,1,2,1,2,1,1,0,1
213,0,0,1,2,2,0,0,1,1,1,2,1,0,1,1,0,1
214,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
215,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,1
216,2,0,1,2,0,0,0,0,2,0,1,1,2,0,1,1,1
217,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
218,2,2,1,2,2,1,1,1,1,1,0,1,2,1,1,1,1
219,0,0,1,2,2,1,0,1,1,1,2,1,2,0,1,0,1
220,0,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
221,0,0,1,2,0,0,0,0,0,1,2,1,2,1,1,1,1
222,2,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1
223,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0
225,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
226,0,1,1,2,2,0,1,1,1,1,2,1,2,0,1,0,1
227,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,0,1
228,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0
229,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
232,0,0,1,2,2,1,1,1,0,1,2,1,2,1,1,1,1
233,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
234,0,1,1,2,2,0,1,1,1,0,1,0,2,0,1,1,1
235,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
236,0,1,1,2,2,1,1,1,1,1,1,1,2,1,1,0,1
237,2,1,1,2,2,0,1,1,0,1,1,0,0,1,0,0,1
238,2,0,1,2,2,1,1,1,2,0,1,1,2,1,1,1,1
239,0,1,0,0,0,0,1,0,0,0,1,1,2,0,1,0,0
240,0,1,0,0,2,0,1,2,1,1,1,0,0,0,0,0,0
241,2,1,1,2,2,1,1,1,1,0,2,1,2,0,1,0,1
242,0,1,0,2,0,0,1,0,0,1,1,2,2,0,1,0,0
243,0,0,1,2,2,1,1,1,2,0,1,1,0,1,1,0,1
244,2,1,1,2,2,1,0,1,1,0,1,1,2,1,1,0,1
245,2,1,1,2,2,1,1,1,1,0,2,1,2,1,1,0,1
246,0,1,1,2,0,1,1,1,1,1,1,1,2,0,2,0,1
247,0,0,0,0,0,0,2,0,0,1,1,2,0,0,0,2,0
248,1,2,2,1,1,2,2,2,2,2,0,2,1,2,2,1,0
249,2,1,1,2,2,1,1,1,2,1,2,1,2,1,1,0,1
250,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
251,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
252,2,0,1,2,2,0,1,1,1,1,1,1,2,1,1,0,1
253,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
254,2,1,1,2,2,1,1,1,1,0,1,1,2,1,0,0,1
255,2,1,1,2,2,1,1,1,1,0,1,1,2,0,1,0,1
256,0,1,0,0,0,1,0,0,0,1,1,0,2,0,0,2,0
257,0,1,0,0,0,1,0,0,0,1,1,0,2,0,2,0,0
258,0,1,1,2,2,1,1,1,1,1,2,1,2,1,1,0,1
259,2,1,1,2,2,1,1,1,1,1,1,1,2,1,0,0,1
260,2,1,1,2,2,1,1,1,1,0,1,1,2,1,0,0,1
261,2,1,1,2,2,2,1,1,1,1,0,2,2,2,2,1,1
262,2,1,1,2,2,1,1,1,1,0,1,1,1,1,1,0,1
263,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
264,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
265,2,1,1,2,2,1,1,1,1,0,1,1,2,1,0,0,1
266,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
267,2,1,0,2,2,1,1,1,1,0,1,1,2,0,0,0,0
268,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
269,2,1,1,2,2,1,1,1,1,1,1,1,2,1,0,0,1
270,2,0,1,2,2,1,1,1,1,1,1,1,2,1,1,0,1
271,0,0,1,2,2,0,1,1,1,1,0,1,2,1,0,0,1
272,2,1,1,2,2,1,1,1,1,0,1,1,2,1,1,1,1
273,0,1,0,0,0,1,1,1,0,0,1,0,0,0,2,0,0
274,2,1,0,0,0,1,1,0,0,0,1,1,2,0,1,0,0
275,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,2,1
276,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0
277,0,1,1,0,0,0,1,1,0,0,1,1,2,0,0,0,0
278,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
279,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
280,0,1,1,2,2,1,1,1,1,0,1,1,2,0,0,0,1
281,2,1,1,0,0,0,1,1,0,1,1,1,2,0,0,1,0
282,2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0
283,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
284,0,1,1,2,2,0,1,1,1,0,2,1,2,1,2,0,1
285,0,1,1,2,2,0,1,1,1,0,2,1,2,1,1,0,1
286,0,1,1,2,2,0,2,1,2,0,2,0,2,0,1,1,1
287,2,0,1,1,2,0,1,1,1,1,2,1,0,1,2,0,1
288,2,0,1,2,0,0,0,1,0,0,2,1,0,0,1,0,1
289,2,0,1,2,0,0,0,1,0,0,2,1,0,0,0,1,1
290,2,1,1,2,1,0,2,1,1,0,1,1,0,0,0,0,1
291,2,1,1,2,2,0,1,1,1,0,1,2,2,0,0,0,1
292,2,1,1,2,2,0,1,1,0,0,2,1,0,0,1,0,1
293,2,0,1,2,2,0,1,1,1,0,2,1,0,0,1,0,1
294,0,0,1,2,2,0,1,1,0,0,2,1,0,0,0,1,1
295,0,0,0,0,0,0,2,2,0,0,1,0,1,2,2,1,0
296,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
297,2,0,1,2,2,0,1,1,1,0,1,1,1,1,1,1,1
298,0,0,0,2,2,1,1,1,1,0,2,1,2,1,1,0,1
299,0,0,1,2,2,0,1,1,1,0,1,1,0,0,1,0,1
300,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
301,0,1,2,2,2,0,1,1,1,1,1,1,2,1,1,0,1
302,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
303,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
304,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
305,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
306,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
307,2,1,1,2,2,0,1,1,1,1,1,1,2,0,0,1,1
308,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
309,2,1,0,2,2,0,1,1,1,0,1,1,2,0,1,0,1
310,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0
311,0,1,1,2,2,0,1,1,1,0,1,1,0,1,0,0,1
312,2,0,1,2,2,1,1,1,1,0,1,1,2,1,1,0,1
313,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
314,0,0,0,0,0,0,1,1,0,1,2,0,0,0,1,0,0
315,0,0,1,0,0,0,1,2,0,1,1,1,1,2,1,1,0
316,0,1,0,2,2,0,0,1,1,1,2,0,0,0,1,2,1
317,2,1,0,2,2,1,1,1,1,0,1,1,2,1,1,0,1
318,0,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
319,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
320,0,0,1,2,2,0,0,1,1,0,1,1,0,0,0,0,1
321,2,0,1,2,2,1,1,1,1,0,1,1,0,1,0,0,1
322,2,0,1,2,1,0,0,2,0,1,2,1,0,0,0,1,1
323,2,0,1,2,0,0,0,1,2,0,1,1,0,0,0,1,1
324,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0
325,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,1
326,2,0,0,0,2,1,1,1,1,1,2,1,2,0,0,0,1
327,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
328,2,0,1,2,2,1,1,1,1,1,2,1,2,1,0,0,1
329,2,2,1,2,2,0,1,1,1,0,1,1,2,1,1,1,1
330,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
331,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
332,2,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1
333,0,1,1,2,2,1,1,1,1,1,1,1,2,1,1,0,1
334,0,0,1,2,2,0,1,1,2,1,2,0,2,1,1,0,1
335,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
336,0,1,1,2,2,0,1,1,0,1,2,1,2,0,2,0,1
337,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,0,1
338,2,1,1,2,2,1,1,1,1,0,1,1,2,0,1,0,1
339,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0
340,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
341,0,2,1,1,2,0,1,1,1,0,2,1,1,2,1,0,1
342,0,0,1,2,0,2,1,0,0,0,2,1,0,1,1,0,1
343,0,1,0,0,0,1,1,0,1,0,1,1,2,0,0,0,0
344,0,1,1,2,2,1,1,1,1,0,2,1,2,1,1,0,1
345,0,1,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0
346,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
347,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
348,2,1,1,2,2,1,1,1,1,0,1,0,2,1,1,1,1
349,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
350,0,0,0,2,2,0,1,0,1,1,2,1,2,1,1,0,1
351,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0
352,0,0,0,0,2,0,1,1,1,1,2,1,0,1,1,1,1
353,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0
354,0,0,1,2,2,0,1,1,1,0,1,2,2,1,1,0,1
355,2,1,1,0,2,1,0,1,1,0,1,1,2,0,1,0,0
356,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
357,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
358,2,0,1,2,2,0,1,1,1,0,2,0,0,0,0,1,1
359,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,2,1,1,2,2,0,1,1,1,0,1,1,0,1,0,0,1
361,2,1,1,2,0,0,1,0,1,0,1,1,0,0,0,1,1
362,2,0,1,2,2,0,1,1,1,0,2,0,0,1,0,0,1
363,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0
364,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0
365,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,2,1
366,2,1,1,2,2,1,1,1,0,0,2,1,2,1,0,1,1
367,2,0,1,2,0,0,1,1,0,0,2,1,2,1,1,1,1
368,0,0,1,2,2,0,1,1,0,0,1,1,2,1,1,0,1
369,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
370,2,0,1,2,1,0,1,1,0,0,0,2,2,1,1,0,1
371,2,0,1,2,1,1,1,1,1,0,1,1,2,1,1,1,1
372,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,2,1
373,0,0,1,1,0,0,0,1,0,0,0,1,0,0,2,0,1
374,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
375,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,2,1
376,2,2,1,2,2,1,1,1,1,1,2,1,2,1,1,0,1
377,0,0,0,0,0,0,2,2,0,1,0,2,0,2,2,1,0
378,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
379,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
