,ID,Age,RM_professional_growth,RM_lazy,RM_productive,RM_better_work_life_balance,RM_improved_skillset,Tutor,HR,Engineer,Recruiter,Business,Marketing ,Manager,Female,Male,Yes,No,yes,CALMER,STRESSED,Not sure,target
134,135,54,4,4,4,5,3,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
135,136,25,4,4,4,4,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
136,137,25,5,3,5,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
137,138,24,3,3,4,2,3,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
138,139,25,4,4,3,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
139,140,36,3,4,3,3,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
140,141,26,3,3,5,4,2,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
141,142,45,5,1,5,5,5,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
142,143,24,2,2,2,3,3,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
143,144,53,3,3,4,5,3,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
144,145,26,3,4,4,4,5,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
145,146,25,4,5,3,2,3,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1
146,147,40,3,3,3,3,5,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
147,148,24,3,4,2,2,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
148,149,25,2,4,3,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
149,150,26,3,2,4,4,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
150,151,27,4,4,4,4,4,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
151,152,25,4,3,4,3,4,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
152,153,29,1,2,3,5,3,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
153,154,28,3,3,4,3,3,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
154,155,25,4,3,2,3,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1
155,156,24,1,5,2,3,5,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
156,157,44,4,1,3,4,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
157,158,25,4,3,4,2,5,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
158,159,44,2,1,3,3,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
159,160,29,5,5,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
160,161,41,3,2,4,3,4,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
161,162,30,2,4,3,2,5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
162,163,30,3,3,4,4,4,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
163,164,26,3,3,5,3,4,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1
164,165,53,2,3,4,4,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
165,166,42,1,1,5,4,5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
166,167,27,2,4,3,2,3,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
167,168,25,4,4,4,4,4,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
168,169,28,3,1,5,4,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
169,170,25,2,4,3,5,3,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
170,171,29,5,1,3,1,3,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
171,172,26,3,5,5,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
172,173,25,1,1,5,5,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
173,174,22,3,4,3,3,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
174,175,25,3,5,3,3,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
175,176,24,3,4,2,2,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
176,177,29,5,3,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
177,178,26,3,3,3,4,4,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
178,179,28,4,5,4,2,4,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
179,180,28,3,4,2,1,4,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1
180,181,27,2,1,2,1,5,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
181,182,23,3,4,4,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1
182,183,24,3,5,4,2,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
183,184,25,3,4,4,3,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
184,185,57,4,4,4,5,3,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
185,186,24,4,4,4,1,4,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
186,187,22,4,4,2,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
187,188,42,1,1,5,4,5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
188,189,32,4,1,5,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
189,190,26,2,4,5,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
190,191,36,4,3,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
191,192,25,4,3,3,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
192,193,54,4,4,4,5,3,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
193,194,25,1,1,5,5,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
194,195,42,1,1,5,4,5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
195,196,29,2,3,3,4,5,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
196,197,23,3,3,3,3,3,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
197,198,26,3,2,4,3,5,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
198,199,27,3,4,4,4,5,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
199,200,26,3,3,3,4,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
200,201,24,5,3,5,1,3,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1
201,202,28,2,4,3,2,5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
202,203,32,4,1,5,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
203,204,52,4,4,4,5,3,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
204,205,22,4,4,4,4,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
205,206,25,5,3,5,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
206,207,23,3,3,4,2,3,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
