,Unnamed: 0,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Male,Female,,No,Yes,0,1,2,3+,Graduate,Not Graduate,Urban,Rural,Semiurban,target
51,51,3086,0.0,120.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
52,52,4230,0.0,112.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1
53,53,4616,0.0,134.0,360.0,1.0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1
54,54,11500,0.0,286.0,360.0,0.0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1
55,55,2708,1167.0,97.0,360.0,1.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
56,56,2132,1591.0,96.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
57,57,3366,2200.0,135.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1
58,58,8080,2250.0,180.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
59,59,3357,2859.0,144.0,360.0,1.0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
60,60,2500,3796.0,120.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
61,61,3029,0.0,99.0,360.0,1.0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0
62,62,2609,3449.0,165.0,180.0,0.0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1
64,64,4166,0.0,116.0,360.0,0.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1
65,65,5726,4595.0,258.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1
66,66,3200,2254.0,126.0,180.0,0.0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1
67,67,10750,0.0,312.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
68,68,7100,0.0,125.0,60.0,1.0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0
69,69,4300,0.0,136.0,360.0,0.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1
70,70,3208,3066.0,172.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
71,71,1875,1875.0,97.0,360.0,1.0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
72,72,3500,0.0,81.0,300.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
74,74,5266,1774.0,187.0,360.0,1.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
75,75,3750,0.0,113.0,480.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1
76,76,3750,4750.0,176.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1
77,77,1000,3022.0,110.0,360.0,1.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1
78,78,3167,4000.0,180.0,300.0,0.0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1
80,80,3846,0.0,111.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
82,82,1378,1881.0,167.0,360.0,1.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1
84,84,3988,0.0,50.0,240.0,1.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
85,85,2366,2531.0,136.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
87,87,2500,2118.0,104.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
88,88,8566,0.0,210.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
89,89,5695,4167.0,175.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
90,90,2958,2900.0,131.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
91,91,6250,5654.0,188.0,180.0,1.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
92,92,3273,1820.0,81.0,360.0,1.0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
93,93,4133,0.0,122.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
94,94,3620,0.0,25.0,120.0,1.0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0
96,96,2484,2302.0,137.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
97,97,1977,997.0,50.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
98,98,4188,0.0,115.0,180.0,1.0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0
99,99,1759,3541.0,131.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
100,100,4288,3263.0,133.0,180.0,1.0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
101,101,4843,3806.0,151.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
104,104,3816,754.0,160.0,360.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
105,105,3052,1030.0,100.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
106,106,11417,1126.0,225.0,360.0,1.0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
107,107,7333,0.0,120.0,360.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
108,108,3800,3600.0,216.0,360.0,0.0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1
109,109,2071,754.0,94.0,480.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
110,110,5316,0.0,136.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
111,111,2929,2333.0,139.0,360.0,1.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
114,114,5050,0.0,118.0,360.0,1.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
115,115,14583,0.0,185.0,180.0,1.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
116,116,3167,2283.0,154.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
118,118,5568,2142.0,175.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1
119,119,10408,0.0,259.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
120,120,5667,2667.0,180.0,360.0,1.0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
121,121,4166,0.0,44.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
122,122,2137,8980.0,137.0,360.0,0.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
123,123,2957,0.0,81.0,360.0,1.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
124,124,4300,2014.0,194.0,360.0,1.0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
126,126,23803,0.0,370.0,360.0,1.0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
128,128,10513,3850.0,160.0,180.0,0.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1
131,131,2014,1929.0,74.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
132,132,2718,0.0,70.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
133,133,3459,0.0,25.0,120.0,1.0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
134,134,4895,0.0,102.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
135,135,4000,7750.0,290.0,360.0,1.0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1
136,136,4583,0.0,84.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1
137,137,3316,3500.0,88.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
138,138,14999,0.0,242.0,360.0,0.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1
139,139,4200,1430.0,129.0,360.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1
140,140,5042,2083.0,185.0,360.0,1.0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
141,141,5417,0.0,168.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
142,142,6950,0.0,175.0,180.0,1.0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
143,143,2698,2034.0,122.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
144,144,11757,0.0,187.0,180.0,1.0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
145,145,2330,4486.0,100.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
146,146,14866,0.0,70.0,360.0,1.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
147,147,1538,1425.0,30.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
148,148,10000,1666.0,225.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1
149,149,4860,830.0,125.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
150,150,6277,0.0,118.0,360.0,0.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1
151,151,2577,3750.0,152.0,360.0,1.0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
152,152,9166,0.0,244.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1
153,153,2281,0.0,113.0,360.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1
154,154,3254,0.0,50.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
155,155,39999,0.0,600.0,180.0,0.0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
157,157,9538,0.0,187.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
158,158,2980,2083.0,120.0,360.0,1.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
159,159,4583,5625.0,255.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
160,160,1863,1041.0,98.0,360.0,1.0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0
161,161,7933,0.0,275.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1
162,162,3089,1280.0,121.0,360.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
163,163,4167,1447.0,158.0,360.0,1.0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
164,164,9323,0.0,75.0,180.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
166,166,4583,0.0,112.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1
167,167,2439,3333.0,129.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
168,168,2237,0.0,63.0,480.0,0.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1
169,169,8000,0.0,200.0,360.0,1.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
170,170,1820,1769.0,95.0,360.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
171,171,51763,0.0,700.0,300.0,1.0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
172,172,3522,0.0,81.0,180.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1
173,173,5708,5625.0,187.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
174,174,4344,736.0,87.0,360.0,1.0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1
175,175,3497,1964.0,116.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
176,176,2045,1619.0,101.0,360.0,1.0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
177,177,5516,11300.0,495.0,360.0,0.0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1
178,178,3750,0.0,116.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
179,179,2333,1451.0,102.0,480.0,0.0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1
180,180,6400,7250.0,180.0,360.0,0.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1
182,182,4600,0.0,73.0,180.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
183,183,33846,0.0,260.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
184,184,3625,0.0,108.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
185,185,39147,4750.0,120.0,360.0,1.0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
186,186,2178,0.0,66.0,300.0,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1
188,188,674,5296.0,168.0,360.0,1.0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
189,189,9328,0.0,188.0,180.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
190,190,4885,0.0,48.0,360.0,1.0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
191,191,12000,0.0,164.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1
192,192,6033,0.0,160.0,360.0,1.0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1
193,193,3858,0.0,76.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
194,194,4191,0.0,120.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
195,195,3125,2583.0,170.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
196,196,8333,3750.0,187.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
199,199,11000,0.0,83.0,360.0,1.0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1
200,200,2600,2500.0,90.0,360.0,1.0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
201,201,4923,0.0,166.0,360.0,0.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
203,203,3500,1083.0,135.0,360.0,1.0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
204,204,3917,0.0,124.0,360.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
205,205,4408,0.0,120.0,360.0,1.0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
206,206,3244,0.0,80.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
207,207,3975,2531.0,55.0,360.0,1.0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
208,208,2479,0.0,59.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
209,209,3418,0.0,127.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1
210,210,10000,0.0,214.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1
211,211,3430,1250.0,128.0,360.0,0.0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1
212,212,7787,0.0,240.0,360.0,1.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
213,213,5703,0.0,130.0,360.0,1.0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
214,214,3173,3021.0,137.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
215,215,3850,983.0,100.0,360.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
216,216,150,1800.0,135.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1
217,217,3727,1775.0,131.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
218,218,5000,0.0,72.0,360.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
220,220,2221,0.0,60.0,360.0,0.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1
221,221,4009,1717.0,116.0,360.0,1.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
222,222,2971,2791.0,144.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
224,224,6250,0.0,128.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
225,225,3250,0.0,170.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1
226,226,4735,0.0,138.0,360.0,1.0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1
227,227,6250,1695.0,210.0,360.0,1.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
228,228,4758,0.0,158.0,480.0,1.0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
229,229,6400,0.0,200.0,360.0,1.0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
230,230,2491,2054.0,104.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
231,231,3716,0.0,42.0,180.0,1.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
233,233,8333,0.0,280.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
234,234,3155,1779.0,140.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
235,235,5500,1260.0,170.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
238,238,3812,0.0,112.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
239,239,3315,0.0,96.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
240,240,5819,5000.0,120.0,360.0,1.0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
241,241,2510,1983.0,140.0,180.0,1.0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1
242,242,2965,5701.0,155.0,60.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
243,243,6250,1300.0,108.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
244,244,3406,4417.0,123.0,360.0,1.0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0
245,245,6050,4333.0,120.0,180.0,1.0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1
246,246,9703,0.0,112.0,360.0,1.0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
247,247,6608,0.0,137.0,180.0,1.0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
248,248,2882,1843.0,123.0,480.0,1.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
249,249,1809,1868.0,90.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
250,250,1668,3890.0,201.0,360.0,0.0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1
251,251,3427,0.0,138.0,360.0,1.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1
252,252,2583,2167.0,104.0,360.0,1.0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
253,253,2661,7101.0,279.0,180.0,1.0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
254,254,16250,0.0,192.0,360.0,0.0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1
255,255,3083,0.0,255.0,360.0,1.0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0
256,256,6045,0.0,115.0,360.0,0.0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
257,257,5250,0.0,94.0,360.0,1.0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1
258,258,14683,2100.0,304.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1
261,261,2060,2209.0,134.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
262,262,3481,0.0,155.0,36.0,1.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1
263,263,7200,0.0,120.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
264,264,5166,0.0,128.0,360.0,1.0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
265,265,4095,3447.0,151.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
266,266,4708,1387.0,150.0,360.0,1.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
267,267,4333,1811.0,160.0,360.0,0.0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0
268,268,3418,0.0,135.0,360.0,1.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1
269,269,2876,1560.0,90.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
270,270,3237,0.0,30.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
271,271,11146,0.0,136.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
272,272,2833,1857.0,126.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
273,273,2620,2223.0,150.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
274,274,3900,0.0,90.0,360.0,1.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
275,275,2750,1842.0,115.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
276,276,3993,3274.0,207.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
277,277,3103,1300.0,80.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
278,278,14583,0.0,436.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
280,280,4053,2426.0,158.0,360.0,0.0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1
281,281,3927,800.0,112.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
282,282,2301,985.7999877999998,78.0,180.0,1.0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
283,283,1811,1666.0,54.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
285,285,3158,3053.0,89.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
286,286,2600,1717.0,99.0,300.0,1.0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1
287,287,3704,2000.0,120.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
288,288,4124,0.0,115.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
289,289,9508,0.0,187.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
290,290,3075,2416.0,139.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
291,291,4400,0.0,127.0,360.0,0.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1
292,292,3153,1560.0,134.0,360.0,1.0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
293,293,5417,0.0,143.0,480.0,0.0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1
294,294,2383,3334.0,172.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
295,295,4416,1250.0,110.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
296,296,6875,0.0,200.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
297,297,4666,0.0,135.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
298,298,5000,2541.0,151.0,480.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1
